"","Table 4.5: Marine Sector Fish Catch by Major Commercial Groups (Mt)","","","","","","","","","","",""
"Commercial Groups","","2000","2005","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"1. Thora","Seer","3,130","2,970","6,530","6,810","10,200","12,160","14,390","25,650","30,000","8,940","7,440"
"2. Paraw","Carangids","10,450","5,950","11,160","13,020","16,740","18,570","24,580","25,160","29,270","34,050","32,620"
"3. Balaya","Skipjack tuna","49,110","28,040","61,530","62,880","66,910","55,230","53,410","73,350","61,750","54,040","47,730"
"4. Kelawalla","Yellowfin tuna","29,320","17,030","47,590","45,440","45,450","44,320","42,780","45,760","45,200","46,430","39,600"
"5. Other Blood","Other tuna like","","","","","","","","","","",""
"","","27,890","16,560","31,490","32,240","48,930","40,460","40,640","50,200","59,190","46,930","38,750"
"Fish","species","","","","","","","","","","",""
"6.Thalapath","(Other bill fish)","***","***","***","***","***","***","***","***","***","26,040","32,530"
"7.Mora / Maduwa","Shrks/Sketes","28,790","6,430","11,170","12,130","13,290","10,620","9,230","8,030","7,440","5,860","8,980"
"8. Rock Fish","Mullets","14,910","10,570","12,670","15,970","20,150","28,390","34,680","35,450","34,890","34,960","33,920"
"9. Shore S/ V","Small fishes","76,250","24,870","67,090","73,630","77,210","119,810","135,460","118,560","108,420","136,790","153,180"
"10. Issa","Prawns","7,540","4,680","9,240","13,110","17,640","22,680","26,730","29,230","23,940","20,090","19,720"
"11. Pokirissa","Lobsters","1,150","240","920","1,090","890","1,620","1,960","1,890","1,480","630","960"
"12. Kakuluwa","Crabs","**","**","1,820","3,780","6,260","8,390","10,620","9,370","6,450","9,670","11,920"
"13. Others","Other marine","15,140","13,060","13,420","13,070","8,590","23,020","22,740","23,280","51,270","28,460","29,640"
"Total","","263,680","130,400","274,630","293,170","332,260","385,270","417,220","445,930","459,300","452,890","456,990"
"Source: Statistics Unit, Ministry of Fisheries and Aquatic Resources Development","","","","","","","","","","","",""
