Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Variety,,,2018,2019,,"% Change 1st  week September 2019, compared to:",,,,,,
Sinhala Name,,Common Name,1st week September,4th week August,1st week September,Last week ,Last Year,,,,,                                                                             
1,තෝරා,Seer (Nl),1221.43,1491.67,1430,-0.0413429243733534,0.170758864609515,,,,,
2,පරව් (ලොකු),Trevally (L),570,630,606,-0.0380952380952381,0.06315789473684211,,,,,
3,ගල්මාළු (ලොකු),Rock fish (L),450,425,­,­,­,,,,,
4,තලපත්,Sail fish,611.43,754.17,700,-0.0718273068406327,0.14485713818425666,,,,,
5,බලයා,Skipjack tuna,266.67,362.86,365,0.0058975913575483275,0.36873289083886446,,,,,
6,කෙළවල්ලා,Yellowfin tuna,680,619.17,810,0.30820291680798495,0.19117647058823528,,,,,
7,සාලයා (මට්ට),Sardinella,185.71,270,262.14,-0.02911111111111116,0.41155565128426025,,,,,
8,මෝරා,Sharks,537.14,600.83,633.33,0.05409183962185643,0.17907808020255436,,,,,
9,හුරුල්ලා,Herrings,281.67,364.17,393,0.07916632342038055,0.3952497603578655,,,,,
10,කුම්බලා,Indian Mackerel,453.57,530.83,565.71,0.06570841889117042,0.24723857397976068,,,,,
11,කාරල්ලා,Pony fish,160,160,162.5,0.015625,0.015625,,,,,
12,කටුවල්ලා,Katuwalla,170,­,­,­,­,,,,,
13,හාල්මැස්සා,Anchovy,276.67,315,300,-0.047619047619047616,0.08432428524957525,,,,,
14,ඉස්සා (M),"Prawns (M) 3""",865,963.33,1078.57,0.11962671151111239,0.24690173410404617,,,,,
15, කොප්පරා,Marlins,793.33,911,880,-0.03402854006586169,0.10924835818637887,,,,,
16,අලගොඩුවා,Frigate tuna,240,375,391.25,0.043333333333333335,0.6302083333333334,,,,,
17,ඇටවල්ලා,Atawalla,280,380,408.33,0.07455263157894733,0.4583214285714285,,,,,
18,ඇටිස්සා,Red Bream,641.67,680,780,0.14705882352941177,0.21557810089298246,,,,,
19,බෝල්ලා,Big eye scade,318.57,414.29,370.71,-0.1051920152550147,0.1636688953762124,,,,,
20,ගින්නටි පරව්,Ginnati Paraw,477.14,750,778.33,0.03777333333333339,0.6312403068281848,,,,,
21,හබරලි,Needle fish,422.14,581,568.53,-0.02146299483648886,0.34678068887099067,,,,,
22,හැඩැල්ලා,Indian Anchovies,564.29,583.33,676.67,0.16001234292767372,0.19915291782594058,,,,,
23,ජීලාවා,Barracuda,600,700,­,­,­,,,,,
24,ලින්නා,Indian Scad,274.29,277.86,330,0.18764845605700706,0.20310620146560202,,,,,
25,ලේන පරව්,Rainbow Runner,290,375.83,392.86,0.04531304047042554,0.35468965517241385,,,,,
26,සුද්දා,Threadfin  Bream,375.71,451.67,503,0.11364491774968447,0.3387985414282293,,,,,
27,සූඩයා,White Sardinella,134.29,177,184,0.03954802259887006,0.37016903715838867,,,,,
28,දැල්ලා,Squids /Cuttle fish,650,925,895,-0.032432432432432434,0.3769230769230769,,,,,
29,කකුළුවා,Sea Crabs,486,600,550,-0.08333333333333333,0.13168724279835392,,,,,
30,තිලාපියා,Tilapia (M),323.33,346.67,335,-0.033663137854443755,0.03609315559954231,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,
