--- 01-Wholesale.csv ---

Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Variety,,,2022,2023,,"% Change 4th week of Apr. 2023, compared to:",, ,,,,,
Sinhala Name,,Common Name,4th week of Apr.,3rd week of Apr.,4th week of Apr.,Last week ,Last Year,,,, ,,
1,තෝරා,Seer (L),1320.6,1650,1521.43,-0.07792121212121209,0.1520748144782676,,,,,,
2,පරව් (ලොකු),Trevally (L),942.86,1033.33,1242.26,0.20219097480959625,0.3175444922894173,  ,, , ,,
3,ගල්මාළු (ලොකු),Rock fish (L),950,1112.5,1064.29,-0.04333483146067419,0.12030526315789469, ,, ,,,
4,ගල්මාළු (පොඩි),Rock fish (S),793.75,875,858.33,-0.019051428571428525,,, ,,, , 
5,තලපත්,Sail fish,1266.67,1582.14,1585.71,0.0022564374834085077,0.2518730213867858,,,,,,
6,බලයා,Skipjack tuna,650.71,816.67,821.43,0.005828547638581056,0.26235957646263297,,,,,,
7,කෙළවල්ලා,Yellowfin tuna,1112.5,1083.33,1207.14,0.11428650549694015,0.0850696629213484, ,,,,, 
8,සාලයා (මට්ට),Sardinella,267.5,341.67,439.29,0.2857142857142857,0.6422056074766356,,,,,,
9,මෝරා,Sharks,825,1066.67,966.67,-0.09374970703216562,0.17172121212121208,,,,,,
10,හුරුල්ලා,Herrings,600,585.71,689.29,0.1768451964282664,0.1488166666666666,,,,,,
11,කුම්බලා,Indian Mackerel,753.57,792.86,891.67,0.1246247761269328,0.18326101092134758,,,,,,
12,කාරල්ලා,Pony fish,233.33,283.33,408.33,0.4411816609607172,0.7500107144387775,,,,,,
13,කටුවල්ලා,Katuwalla,433.33,407.5,600,0.4723926380368098,0.38462603558488917,,, ,,,
14,හාල්මැස්සා,Anchovy,380,430,500,0.16279069767441862,0.3157894736842105,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1046.43,1328.57,1350,0.01613012487110206,0.2901006278489721,,,,,,
16, කොප්පරා,Marlins,1415,1733.33,1800,0.038463535506799096,0.27208480565371024,, ,,,,
17,අලගොඩුවා,Frigate tuna(L),649,750,712.5,-0.05,0.09784283513097072,,,,,,
18,ඇටවල්ලා,Kawakawa,691,875,900,0.02857142857142857,0.3024602026049204,,, ,,,
19,ඇටිස්සා,Red Bream(L),960,1025,1191.67,0.16260487804878057,0.24132291666666675,,,,,,
20,බෝල්ලා,Big eye scade,737.5,750,842.86,0.12381333333333334,0.14286101694915257,,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,920.83,1100,1120,0.01818181818181818,0.2162939956343733,, ,,, ,
22,හබරලි,Needle fish,690,925,816.67,-0.11711351351351355,0.18357971014492747,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1033.33,900,1300,0.4444444444444444,0.2580685744147563,, , ,,,
24,ජීලාවා,Barracuda(L),920,1066.67,1166.66,0.09374033206146232,0.268108695652174,,, ,,,
25,ලින්නා,Indian Scad(L),644.17,814.29,787.5,-0.03289982684301657,0.22250337643789692,,,,,,
26,ලින්නා,Indian Scad(S),540,650,675.83,0.039738461538461604,0.2515370370370371,,,,,,
27,ලේන පරව්,Rainbow Runner,612.5,764.29,691.67,-0.09501628962828247,0.1292571428571428,,,,,,
28,සුද්දා,Threadfin  Bream,770,1120,1016.67,-0.0922589285714286,0.3203506493506493,,, ,,,
29,සූඩයා,White Sardinella,164.29,270,333.33,0.2345555555555555,1.0289122892446283,,,,,, 
30,දැල්ලා,Squids /Cuttle fish,1114.27,1600,1485.71,-0.07143124999999997,0.3333482908092294,,,,,,
31,කකුළුවා(L),Sea Crabs(L),1850,1600,1942.26,0.2139125,0.049870270270270266,,,, ,,
32,තිලාපියා,Tilapia (M),566.67,400,,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,

--- 02-Retail.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2022,2023,2023,"% Change 4th week of April 2023, compared to:",
Sinhala Name,,Common Name,Average of 4th week of April,Average of 3rd week of April,Average of 4th week of April,Last week ,Last Year
1,තෝරා,Seer,2560,2780,3093,0.11258992805755395,0.208203125
2,පරව් (ලොකු),Trevally (L),1860,2193.33,2410,0.09878586441620736,0.2956989247311828
3,ගල්මාළු (ලොකු),Rock Fish (L),1552.5,2020,1974,-0.02277227722772277,0.2714975845410628
4,තලපත්,Sail fish,1948,2426.67,2777,0.144366559936044,0.425564681724846
5,බලයා,Skipjack tuna,1136,1327,1473,0.11002260738507913,0.2966549295774648
6,කෙළවල්ලා,Yellowfin tuna,1858.33,2295,2360,0.02832244008714597,0.2699574349012286
7,සාලයා (මට්ට),Sardinella,390,560,745,0.33035714285714285,0.9102564102564102
8,මෝරා,Shark,1410,1760,1700,-0.03409090909090909,0.20567375886524822
9,හුරුල්ලා,Herrings,804,876,1110,0.2671232876712329,0.3805970149253731
10,කුම්බලා,Indian mackerel,966.67,975,1105,0.13333333333333333,0.14309950655342574
11,කාරල්ලා,Pony fish,400,,693,,0.7325
12,කටුවල්ලා,Katuwalla,530,,960,,0.8113207547169812
13,හාල්මැස්සා,Anchovies,620,693,733,0.05772005772005772,0.18225806451612903
14,ඉස්සා (M),Prawns (M),1401.66,1706.67,1715,0.004880849842090109,0.22354922021032197
15, කොප්පරා,Marlins,2256.66,3020,3130,0.03642384105960265,0.3870055746102648
16,අලගොඩුවා,Frigate tuna,790,865,805,-0.06936416184971098,0.0189873417721519
17,ඇටවල්ලා,Kawakawa,826.64,1070,1087,0.01588785046728972,0.3149617729604181
18,ඇටිස්සා,Red Bream(L),,1260,1490,0.18253968253968253,
19,බෝල්ලා,Big eye scade,892.5,905,1140,0.2596685082872928,0.2773109243697479
20,ගින්නටි පරව්,Ginnati paraw,1100,1380,1535,0.11231884057971014,0.39545454545454545
21,හබරලි,Needle fish,,,1200,,
22,හැඩැල්ලා,Indian Anchovy,1291.66,1255,1786,0.4231075697211155,0.3827168140222658
23,ජීලාවා,Barracuda,1286.66,2093,2220,0.06067845198279981,0.725397540919901
24,ලින්නා,Indian Scade,812,995,1095,0.10050251256281408,0.3485221674876847
25,ලේන පරව්,Rainbow runner,900,1060,1110,0.04716981132075472,0.23333333333333334
26,සුද්දා,Threadfin bream,933.33,,1490,,0.5964342729795463
27,සූඩයා,White Sardinella,270,460,540,0.17391304347826086,1
28,දැල්ලා,Cuttle fish,1350,2020,2058,0.01881188118811881,0.5244444444444445
29,කකුළුවා,Sea Crabs(L),2520,2570,2577,0.002723735408560311,0.02261904761904762
30,තිලාපියා,Thilapia (M),760,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,, ,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
