Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Variety,,,2021,2022,,"% Change 1st  week of Dec. 2022, compared to:",, ,,,
Sinhala Name,,Common Name,1st week of  Dec.,4th week of  Nov.,1st week of  Dec.,Last week ,Last Year,,,,
1,තෝරා,Seer (L),1325,1610,1375,-0.14596273291925466,0.03773584905660377,,,,
2,පරව් (ලොකු),Trevally (L),760,1133.33,970,-0.14411512975038157,0.27631578947368424,  ,, , 
3,ගල්මාළු (ලොකු),Rock fish (L),637.5,1000,860,-0.14,0.34901960784313724, ,,,
4,ගල්මාළු (පොඩි),Rock fish (S),556,770.83,612.5,-0.20540196930581325,0.10161870503597123,,,,
5,තලපත්,Sail fish,1600,1700,1550,-0.08823529411764706,-0.03125,,,,
6,බලයා,Skipjack tuna,472.14,610.71,520.83,-0.14717296261728152,0.10312619138391167,,,,
7,කෙළවල්ලා,Yellowfin tuna,937.5,1100,1008.33,-0.0833363636363636,0.07555200000000005, ,,,
8,සාලයා (මට්ට),Sardinella,257.5,439.29,337.5,-0.2317148125384143,0.3106796116504854,,,,
9,මෝරා,Sharks,650,790,716.67,-0.09282278481012664,0.1025692307692307,,,,
10,හුරුල්ලා,Herrings,417.5,570.83,518.33,-0.09197133997862761,0.24150898203592824,,,,
11,කුම්බලා,Indian Mackerel,334.29,521.43,555,0.06438064553247809,0.6602351251907026,,,,
12,කාරල්ලා,Pony fish,100,410,341.67,-0.1666585365853658,2.4167,,,,
13,කටුවල්ලා,Katuwalla,225,380,,,,,, ,
14,හාල්මැස්සා,Anchovy,270,412.5,325,-0.21212121212121213,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",910,1385.71,1358.5,-0.019636143204566636,0.4928571428571429,,,,
16, කොප්පරා,Marlins,1712.5,2014.29,1716.67,-0.14775429555823635,0.0024350364963504076,, ,,
17,අලගොඩුවා,Frigate tuna(L),427.5,612.5,481.25,-0.21428571428571427,0.12573099415204678,,,,
18,ඇටවල්ලා,Kawakawa,478,641.67,593.75,-0.0746801315317842,0.24215481171548117,,,,
19,ඇටිස්සා,Red Bream(L),720,1000,987.5,-0.0125,0.3715277777777778,,,,
20,බෝල්ලා,Big eye scade,340,590,529.17,-0.10310169491525431,0.5563823529411763,,,,
21,ගින්නටි පරව්,Ginnati Paraw,605,770,693.75,-0.09902597402597403,0.14669421487603307,, ,,
22,හබරලි,Needle fish,580,775,690,-0.10967741935483871,0.1896551724137931,,,,
23,හැඩැල්ලා,Indian Anchovies,933.33,1091.67,1080,-0.010690043694523137,0.15714698981067785,, ,,
24,ජීලාවා,Barracuda(L),675,966.67,875,-0.094830707480319,0.2962962962962963,,, ,
25,ලින්නා,Indian Scad(L),447.5,603.57,555.83,-0.07909604519774012,0.2420782122905029,,,,
26,ලින්නා,Indian Scad(S),385.71,530,491,-0.07358490566037736,0.2729771071530425,,,,
27,ලේන පරව්,Rainbow Runner,457.5,535.71,495,-0.07599260794086359,0.08196721311475409,,,,
28,සුද්දා,Threadfin  Bream,565.71,821.43,660,-0.19652313648150171,0.16667550511746293,,,,
29,සූඩයා,White Sardinella,128.57,260,206.67,-0.20511538461538467,0.6074511939021544,,,,
30,දැල්ලා,Squids /Cuttle fish,1087.5,1740,1687.5,-0.03017241379310345,0.5517241379310345,,,,
31,කකුළුවා(L),Sea Crabs(L),1000,1683.33,1750,0.03960601902181989,0.75,,,, 
32,තිලාපියා,Tilapia (M),485,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,
