--- 01-Wholesale.csv ---

Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Variety,,,2023,2024,,% Change   compared to:3rd week of Feb.2024,, ,,,,,,,,
Sinhala Name,,Common Name,3rd week of Feb.,2nd week of Feb.,3rd week of Feb.,Last week ,Last Year,,, , , ,,,,
1,තෝරා,Seer (L),1842.86,1585.71,2150,0.35585952034104595,0.16666485788394134,, , ,,,, , ,
2,පරව් (ලොකු),Trevally (L),1010.71,1057.14,1214.29,0.1486558071778571,0.2014227622166595,  , , , , ,, ,,
3,ගල්මාළු (ලොකු),Rock fish (L),971.43,1041.67,1166.67,0.11999961600122878,0.20098205737932753, , , , ,,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),800,850,920,0.08235294117647059,0.15,, ,, , , ,,,
5,තලපත්,Sail fish,1435.71,1671.43,1778.57,0.06410079991384615,0.23880867306071552,,,,, ,,,,
6,බලයා,Skipjack tuna,582.14,585.71,639.29,0.09147871813696185,0.09817226096815196, ,, ,, , ,,,
7,කෙළවල්ලා,Yellowfin tuna,1028.57,1166.67,1321.43,0.1326510495684298,0.28472539545193826, ,,,,,,,,
8,සාලයා (මට්ට),Sardinella,347.86,372.5,367.86,-0.012456375838926137,0.05749439429655608,,,,,,,,,
9,මෝරා,Sharks,900,941.67,900,-0.04425117079231574,0,,, ,, , ,,,
10,හුරුල්ලා,Herrings,561.43,692.86,728.57,0.05153999364951078,0.2977040770888626,,,,,,,,,
11,කුම්බලා,Indian Mackerel,664.29,720.83,839.29,0.16433833220038,0.263439160607566,,,,,,,,,
12,කාරල්ලා,Pony fish,417.86,310,339.29,0.094483870967742,-0.18802948355908675,,,,,,,,,
13,කටුවල්ලා,Katuwalla,400,500,590,0.18,0.475,,, ,,,,,,
14,හාල්මැස්සා,Anchovy,390,420,450,0.07142857142857142,0.15384615384615385,,, ,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1521.43,1485.71,1485.71,0,-0.023477912227312478,,,,,,,,,
16, කොප්පරා,Marlins,1600,1921.43,1964.29,0.022306303117990194,0.22768124999999997,, ,,,,,,,
17,අලගොඩුවා,Frigate tuna(L),575,514.29,712.5,0.38540512162398655,0.2391304347826087,,,,,,,,,
18,ඇටවල්ලා,Kawakawa,639.29,758.33,825,0.08791686996426352,0.2904941419387133,,, ,,,,,,
19,ඇටිස්සා,Red Bream(L),1016.67,1150,1271.43,0.10559130434782614,0.2505827849744756,,,,,,,,,
20,බෝල්ලා,Big eye scade,680,614.29,765,0.24534014878965968,0.125,,,, ,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,1000,920,1120,0.21739130434782608,0.12,, ,,, ,,,,
22,හබරලි,Needle fish,850,835.71,1025,0.22650201624965594,0.20588235294117646,,,,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1114.29,1200,1428.57,0.19047499999999995,0.2820450690574267,, , ,,,,,,
24,ජීලාවා,Barracuda(L),1085.71,1242.86,1187.5,-0.044542426339249715,0.09375431745125307,,, ,,,,,,
25,ලින්නා,Indian Scad(L),628.57,534.29,689.29,0.2901046248292126,0.09660021954595337,,, ,,,,,,
26,ලින්නා,Indian Scad(S),485.71,417.86,585,0.39999042741588087,0.20442239196228207,,,,  ,,,,,
27,ලේන පරව්,Rainbow Runner,657.14,628.57,733.33,0.16666401514548895,0.11594180844264548,,,,,,,,,
28,සුද්දා,Threadfin  Bream,917.86,928.57,1000,0.07692473373035953,0.08949077201316104,,, ,,,,,, 
29,සූඩයා,White Sardinella,248.57,282.86,260,-0.0808173654811568,0.045983022890936184,,,,,, , ,,
30,දැල්ලා,Squids /Cuttle fish,1400,1542.86,1628.57,0.055552674902453913,0.16326428571428567,,,,,,,,,
31,කකුළුවා(L),Sea Crabs(L),2100,1914.29,2085.71,0.08954756071441634,-0.006804761904761887,,,, ,,,,,
32,තිලාපියා,Tilapia (M),500,,350,,-0.3,,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,,,,

--- 02-Retail.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Variety,,,2023,2024,,Compared to Average of 3rd  week of  February 2024,,,,,,,,
Sinhala Name,,Common Name,Average of 3rd  week of  February,Average of 2nd  week of  February,Average of 3rd  week of  February,Last week ,Last Year,,, ,,,,
1,තෝරා,Seer,3193,3396,3720,0.09540636042402827,0.1650485436893204,,,,,,, 
2,පරව් (ලොකු),Trevally (L),2240,2276,2420,0.0632688927943761,0.08035714285714286,, ,, ,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2117,2056,2120,0.0311284046692607,0.0014170996693434106,,,,,,,
4,තලපත්,Sail fish,2510,2706,2845,0.051367331855136734,0.13346613545816732,,,,,,,
5,බලයා,Skipjack tuna,1390,1228,1247,0.015472312703583062,-0.10287769784172662,,,,,,,
6,කෙළවල්ලා,Yellowfin tuna,2120,2263,2370,0.04728236853733982,0.1179245283018868,,,, ,,,
7,සාලයා (මට්ට),Sardinella,613,685,668,-0.024817518248175182,0.08972267536704731,,,,,,,
8,මෝරා,Shark,1807,2015,2067,0.025806451612903226,0.14388489208633093,,,,,,,
9,හුරුල්ලා,Herrings,970,974,1040,0.06776180698151951,0.07216494845360824,,,,,,,
10,කුම්බලා,Indian mackerel,1003,1017,1130,0.1111111111111111,0.12662013958125623,,,,,,,
11,කාරල්ලා,Pony fish,,460,470,0.021739130434782608,,,,,,,,
12,කටුවල්ලා,Katuwalla,,,1160,,,,,,,,,
13,හාල්මැස්සා,Anchovies,700,890,920,0.033707865168539325,0.3142857142857143,,,,,,,
14,ඉස්සා (M),Prawns (M),1984,1890,1900,0.005291005291005291,-0.04233870967741935,,,,,,,
15, කොප්පරා,Marlins,3073,3080,3190,0.03571428571428571,0.03807354376830459,,,,,,,
16,අලගොඩුවා,Frigate tuna,790,780,1065,0.36538461538461536,0.34810126582278483,,,,,,,
17,ඇටවල්ලා,Kawakawa,978,920,1047,0.13804347826086957,0.0705521472392638,,,,,,,
18,ඇටිස්සා,Red Bream(L),1827,1760,1820,0.03409090909090909,-0.0038314176245210726,,,, ,,,
19,බෝල්ලා,Big eye scade,1010,940,1007,0.07127659574468086,-0.0029702970297029703,,,,,,,
20,ගින්නටි පරව්,Ginnati paraw,1300,1140,1170,0.02631578947368421,-0.1,,,,,,,
21,හබරලි,Needle fish,1190,1210,1220,0.008264462809917356,0.025210084033613446,,,,,,,
22,හැඩැල්ලා,Indian Anchovy,1623,1635,1793,0.09663608562691131,0.10474430067775724,,,,,,,
23,ජීලාවා,Barracuda,1693,1960,2048,0.044897959183673466,0.20968694624926165,,,,,,,
24,ලින්නා,Indian Scade,918,815,913,0.12024539877300613,-0.0054466230936819175,,,,,,,
25,ලේන පරව්,Rainbow runner,1007,1080,1133,0.049074074074074076,0.12512413108242304,,,,,,,
26,සුද්දා,Threadfin bream,1290,1290,1287,-0.002325581395348837,-0.002325581395348837,,,,,,,
27,සූඩයා,White Sardinella,400,440,415,-0.056818181818181816,0.0375,,,,,,,
28,දැල්ලා,Cuttle fish,1980,1893,1907,0.007395668251452721,-0.03686868686868687,,,,,,,
29,කකුළුවා,Sea Crabs(L),2475,2167,2390,0.10290724503922473,-0.03434343434343434,,,,,,,
30,තිලාපියා,Thilapia (M),,990,920,-0.0707070707070707,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
