Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2018,2019,,"% Change 3rd  week April 2019, compared to:",
Sinhala Name,,Common Name,3rd week April,2nd week April,3rd week April,Last week ,Last Year
1,තෝරා,Seer (Nl),1025,1225,1300,0.061224489795918366,0.2682926829268293
2,පරව් (ලොකු),Trevally (L),475,500,576.67,0.15333999999999992,0.2140421052631578
3,ගල්මාළු (ලොකු),Rock fish (L),480,500,­,­,­
4,තලපත්,Sail fish,575,720,675,-0.0625,0.17391304347826086
5,බලයා,Skipjack tuna,355,326.67,370,0.13264150365812588,0.04225352112676056
6,කෙළවල්ලා,Yellowfin tuna,552,602.5,633.33,0.05117012448132787,0.1473369565217392
7,සාලයා (මට්ට),Sardinella,130,175,176.67,0.009542857142857072,0.35899999999999993
8,මෝරා,Sharks,500,600,­,­,­
9,හුරුල්ලා,Herrings,290,345,380,0.10144927536231885,0.3103448275862069
10,කුම්බලා,Indian Mackerel,367,493.75,533.33,0.08016202531645578,0.45321525885558595
11,කාරල්ලා,Pony fish,120,150,120,-0.2,0
12,කටුවල්ලා,Katuwalla,280,265,200,-0.24528301886792453,-0.2857142857142857
13,හාල්මැස්සා,Anchovy,­,­,230,­,­
14,ඉස්සා (M),"Prawns (M) 3""",800,862.5,855,-0.008695652173913044,0.06875
15, කොප්පරා,Marlins,725,790,817.5,0.03481012658227848,0.12758620689655173
16,අලගොඩුවා,Frigate tuna,285,240,410,0.7083333333333334,0.43859649122807015
17,ඇටවල්ලා,Atawalla,300,390,350,-0.10256410256410256,0.16666666666666666
18,ඇටිස්සා,Red Bream,575,600,665,0.10833333333333334,0.1565217391304348
19,බෝල්ලා,Big eye scade,385,412.5,460,0.11515151515151516,0.19480519480519481
20,ගින්නටි පරව්,Ginnati Paraw,625,­,700,­,0.12
21,හබරලි,Needle fish,440,446.25,400,-0.10364145658263306,-0.09090909090909091
22,හැඩැල්ලා,Indian Anchovies,825,­,676.67,­,-0.17979393939393945
23,ජීලාවා,Barracuda,450,550,575,0.045454545454545456,0.2777777777777778
24,ලින්නා,Indian Scad,347,363.33,335,-0.07797319241460927,-0.0345821325648415
25,ලේන පරව්,Rainbow Runner,330,320,300,-0.0625,-0.09090909090909091
26,සුද්දා,Threadfin  Bream,490,426.67,500,0.17186584479808747,0.02040816326530612
27,සූඩයා,White Sardinella,77,150,­,­,­
28,දැල්ලා,Squids /Cuttle fish,824,731.25,766.67,0.048437606837606784,-0.06957524271844664
29,කකුළුවා,Sea Crabs,800,600,525,-0.125,-0.34375
30,තිලාපියා,Tilapia (M),320,410,376.67,-0.08129268292682923,0.17709375000000005
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,
