Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Variety,,,2023,2024,,Compared to Average of 4th week of June 2024,,, ,,,,,,,
Sinhala Name,,Common Name,Average of 4th  week of  June,Average of 3rd  week of  June,Average of 4th  week of  June,Last week ,Last Year,,, ,,,,,,
1,තෝරා,Seer,4366,3490,3960,0.1346704871060172,-0.0929912963811269,,, ,, ,, ,,
2,පරව් (ලොකු),Trevally (L),2910,2420,2510,0.0371900826446281,-0.13745704467353953,, , , ,,,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2360,2160,2153.33,-0.0030879629629629968,-0.08757203389830512,,, ,,,,,,
4,තලපත්,Sail fish,3397,3006.67,3116.67,0.036585325293430934,-0.08252281424786574,,,, ,,,,,
5,බලයා,Skipjack tuna,1632,1620,1660,0.024691358024691357,0.01715686274509804,,,,,,,,,
6,කෙළවල්ලා,Yellowfin tuna,3027,2263.33,2230,-0.014726089434594128,-0.26329699372315823,,,, , ,,,, 
7,සාලයා (මට්ට),Sardinella,783,712,755,0.060393258426966294,-0.035759897828863345,,,,, ,,, ,
8,මෝරා,Shark,1980,1984,2146.67,0.08199092741935488,0.08417676767676771,,,,,,,,,
9,හුරුල්ලා,Herrings,1366.67,1006.67,1213.33,0.2052907109579107,-0.11219972634213098,,,,,,,,,
10,කුම්බලා,Indian mackerel,1410,1246.67,1324,0.06202924591110713,-0.06099290780141844,,,,,,,,,
11,කාරල්ලා,Pony fish,700,,400,,-0.42857142857142855,,,,,,,,,
12,කටුවල්ලා,Katuwalla,,680,,, ,,,,,,,,,
13,හාල්මැස්සා,Anchovies,1216,,,,,,,,,,,,,
14,ඉස්සා (M),Prawns (M),1850,1880,1993.33,0.060281914893616985,0.07747567567567563,,,,,,,,,
15, කොප්පරා,Marlins,4080,3530,3685,0.043909348441926344,-0.09681372549019608,,,,,,,,,
16,අලගොඩුවා,Frigate tuna,1380,920,1110,0.20652173913043478,-0.1956521739130435,,,,,,,,,
17,ඇටවල්ලා,Kawakawa,1420,1010,1206.67,0.19472277227722778,-0.15023239436619712,,,,,,,,,
18,ඇටිස්සා,Red Bream(L),2000,1810,,,,,,, ,,,,,
19,බෝල්ලා,Big eye scade,1407,1240,1305,0.05241935483870968,-0.07249466950959488,,,,,,,,,
20,ගින්නටි පරව්,Ginnati paraw,1720,1573.33,1686.67,0.07203828821671242,-0.019377906976744144,,,,,,,, ,
21,හබරලි,Needle fish,1600,1240,,,,,,,,,,,,
22,හැඩැල්ලා,Indian Anchovy,2173,1553.33,1593.33,0.025751128221305198,-0.26676023930050624,,,,,,,,,
23,ජීලාවා,Barracuda,2780,2290,2380,0.039301310043668124,-0.14388489208633093,,,,,,,,,
24,ලින්නා,Indian Scade,1378,904,987.5,0.09236725663716815,-0.28338171262699563,,,,,,,,,
25,ලේන පරව්,Rainbow runner,1493,1105,1266.67,0.14630769230769236,-0.15159410582719351,,,,,,,,,
26,සුද්දා,Threadfin bream,1770,1493.33,1520,0.017859414864765374,-0.14124293785310735,,,,,,,,,
27,සූඩයා,White Sardinella,460,490,530,0.08163265306122448,0.15217391304347827,,,,,,,,,
28,දැල්ලා,Cuttle fish,1876.67,2095,2140,0.021479713603818614,0.1403176903771041,,,,,,,,,
29,කකුළුවා,Sea Crabs(L),2630,2840,2790,-0.017605633802816902,0.060836501901140684,,,,,,,,,
30,තිලාපියා,Thilapia (M),,1050,1100,0.047619047619047616,,,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,,,, ,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,
,,,,,,,,,,,,,, ,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
