Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Variety,,,2022,2023,,% Change   compared to:2nd week of Oct.2023,, ,,,,,,
Sinhala Name,,Common Name,2nd week of Oct.,1st week of Oct.,2nd week of Oct.,Last week ,Last Year,,, , , ,,
1,තෝරා,Seer (L),1800,1908.33,1607.14,-0.1578290966447102,-0.10714444444444439,, ,,,,, 
2,පරව් (ලොකු),Trevally (L),1175,1262.5,1040,-0.17623762376237623,-0.1148936170212766,  , , ,, ,, 
3,ගල්මාළු (ලොකු),Rock fish (L),1150,1290,1116.67,-0.13436434108527126,-0.028982608695652112, , , , ,,,
4,ගල්මාළු (පොඩි),Rock fish (S),1000,1133.33,837.5,-0.26102723831540675,-0.1625,, ,, , , ,
5,තලපත්,Sail fish,1791.67,1721.43,1750,0.016596666724757868,-0.023257631148593253,,,,, ,,
6,බලයා,Skipjack tuna,650,703.57,721.43,0.02538482311639197,0.10989230769230761,,,,, , ,
7,කෙළවල්ලා,Yellowfin tuna,1150,1278.57,987.5,-0.22765276832711542,-0.14130434782608695, ,,,,, ,
8,සාලයා (මට්ට),Sardinella,480,307.86,235.71,-0.23435977392321186,-0.5089374999999999,,,,,,,
9,මෝරා,Sharks,825,900,850,-0.05555555555555555,0.030303030303030304,,,,, , ,
10,හුරුල්ලා,Herrings,541.67,511.43,340,-0.3351973877167941,-0.3723115550058153,,,,,,,
11,කුම්බලා,Indian Mackerel,662.5,721.43,575,-0.20297187530321717,-0.1320754716981132,,,,,,,
,කාරල්ලා,Pony fish,383.33,,220,,-0.4260819659301385,,,,,,,
,කටුවල්ලා,Katuwalla,600,,350,,-0.4166666666666667,,, ,,,,
14,හාල්මැස්සා,Anchovy,575,479.17,396,-0.17357096646284204,-0.31130434782608696,,, ,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1425,1564.29,1390,-0.11141795958549883,-0.02456140350877193,,,,,,,
16, කොප්පරා,Marlins,2108.33,2153.57,2103.57,-0.023217262499013264,-0.0022577110793849937,, ,,,,,
17,අලගොඩුවා,Frigate tuna(L),800,650,610,-0.06153846153846154,-0.2375,,,,,,,
18,ඇටවල්ලා,Kawakawa,862.5,725,716.67,-0.01148965517241385,-0.16907826086956526,,, ,,,,
19,ඇටිස්සා,Red Bream(L),1158.33,1460,1166.67,-0.20091095890410954,0.007200020719484211,,,,,,,
20,බෝල්ලා,Big eye scade,591.67,500,415,-0.17,-0.2985955008704176,,,, ,,,
21,ගින්නටි පරව්,Ginnati Paraw,760,1110,935.71,-0.15701801801801799,0.23119736842105268,, ,,, ,,
22,හබරලි,Needle fish,850,900,757.14,-0.15873333333333334,-0.10924705882352943,,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1066.67,1114.29,1064.29,-0.04487162228863222,-0.002231243027365642,, , ,,,,
24,ජීලාවා,Barracuda(L),975,1175,1140,-0.029787234042553193,0.16923076923076924,,, ,,,,
25,ලින්නා,Indian Scad(L),670,457.14,446,-0.02436890230563938,-0.33432835820895523,,, ,,,,
26,ලින්නා,Indian Scad(S),500,375,380,0.013333333333333334,-0.24,,,,,,,
27,ලේන පරව්,Rainbow Runner,754.17,660,578.57,-0.1233787878787878,-0.23283874988397832,,,,,,,
28,සුද්දා,Threadfin  Bream,825,808.33,716.67,-0.11339428203827655,-0.13130909090909096,,, ,,,,
29,සූඩයා,White Sardinella,287.5,271.43,191.67,-0.2938510849942896,-0.33332173913043484,,,,,, ,
30,දැල්ලා,Squids /Cuttle fish,1400,1650,1564.29,-0.051945454545454565,0.11734999999999997,,,,,,,
31,කකුළුවා(L),Sea Crabs(L),1760,2125,2000,-0.058823529411764705,0.13636363636363635,,,, ,,,
32,තිලාපියා,Tilapia (M),,,350,,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,,
