Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Variety,,,2023,2024,,Compared to Average of 4th week of  Aug. 2024,, ,,,,,,,
Sinhala Name,,Common Name,Average of 4thweek of  Aug.,Average of 3rd week of  Aug.,Average of 4thweek of  Aug.,Last week ,Last Year,, ,, ,,,,
1,තෝරා,Seer,3553,3826.67,3896,0.01811758003695117,0.0965381367858148,, ,, ,, ,,
2,පරව් (ලොකු),Trevally (L),2496,2495,2516,0.008416833667334669,0.008012820512820512, , , ,, ,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2210,2090,2165,0.03588516746411483,-0.020361990950226245,, ,,,,,,
4,තලපත්,Sail fish,2912,2846.67,3096.67,0.08782191121556064,0.06341689560439563,,, ,,,,,
5,බලයා,Skipjack tuna,1420,1213.33,1398,0.15220096758507584,-0.015492957746478873,,, ,,,,,
6,කෙළවල්ලා,Yellowfin tuna,2630,2388.33,2390,0.000699233355524602,-0.09125475285171103,,, , ,,,, 
7,සාලයා (මට්ට),Sardinella,705,655,613.33,-0.06361832061068697,-0.1300283687943262,,,, ,,, ,
8,මෝරා,Shark,1947,1840,1720,-0.06521739130434782,-0.11658962506420134,,,,,,,,
9,හුරුල්ලා,Herrings,990,910,1015,0.11538461538461539,0.025252525252525252,,,,,,,,
10,කුම්බලා,Indian mackerel,1240,1093.33,1128,0.031710462531898034,-0.09032258064516129,,,,,,,,
11,කාරල්ලා,Pony fish,700,,,,,,,,,,,,
12,කටුවල්ලා,Katuwalla,,,,, ,,,,,,,,
13,හාල්මැස්සා,Anchovies,860,820,,,,,,,,,,,
14,ඉස්සා (M),Prawns (M),1853,2036,2046.67,0.005240667976424397,0.10451699946033463,,,,,,,,
15, කොප්පරා,Marlins,3910,3390,3640,0.07374631268436578,-0.06905370843989769,,,,,,,,
16,අලගොඩුවා,Frigate tuna,880,820,910,0.10975609756097561,0.03409090909090909,,,,,,,,
17,ඇටවල්ලා,Kawakawa,920,980,1035,0.05612244897959184,0.125,,,,,,,,
18,ඇටිස්සා,Red Bream(L),2160,1826.67,1895,0.03740686604586484,-0.12268518518518519,,, ,,,,,
