Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Variety,,,2024,2025,,% Change   compared to:3rdweek of May 2025,, ,,,,,,
Sinhala Name,,Common Name,3rd week of May,2nd week of May,3rd week of May,Last week ,Last Year,, , ,,,,
1,තෝරා,Seer,3945,3512.5,3832.5,0.0911032028469751,-0.028517110266159697,, , ,, ,,
2,පරව් (ලොකු),Trevally (L),2596.67,2510,2876.67,0.14608366533864545,0.10783041356814689, , , , ,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2210,2350,2393.33,0.018438297872340394,0.0829547511312217,, ,,, ,,
4,තලපත්,Sail fish,2846.67,2925,2980,0.018803418803418803,0.046837181689482775,,, ,, ,,
5,බලයා,Skipjack tuna,1533.33,1733.33,1850,0.0673097448264324,0.20652436200948268,,,, ,,,
6,කෙළවල්ලා,Yellowfin tuna,2376,2645,2826.67,0.06868431001890361,0.18967592592592597,,, ,, ,, 
7,සාලයා (මට්ට),Sardinella,745,696.67,733.33,0.0526217577906327,-0.015664429530201286,,, , ,, ,
8,මෝරා,Shark,2060,1893.33,1920,0.014086292405444414,-0.06796116504854369,,,,,,,
9,හුරුල්ලා,Herrings,1105,,1560,,0.4117647058823529,, ,,,,,
10,කුම්බලා,Indian mackerel,1200,1330,1410,0.06015037593984962,0.175,,,,,,,
11,කාරල්ලා,Pony fish,,465,,,,,, ,,,,
12,කටුවල්ලා,Katuwalla,880,,,,,, ,,,,,
13,හාල්මැස්සා,Anchovies,910,700,750,0.07142857142857142,-0.17582417582417584,,,, ,,,
14,ඉස්සා (M),Prawns (M),2095,2405,2437.5,0.013513513513513514,0.16348448687350836,, , ,,,,
15, කොප්පරා,Marlins,3530,3250,3240,-0.003076923076923077,-0.0821529745042493,,,,,,,
16,අලගොඩුවා,Frigate tuna,995,1160,1293.33,0.11493965517241372,0.29982914572864316,,, ,,,,
17,ඇටවල්ලා,Kawakawa,1350,1290,1380,0.06976744186046512,0.022222222222222223,,, ,,,,
18,ඇටිස්සා,Red Bream(L),1780,,1890,,0.06179775280898876,,,,, ,,
19,බෝල්ලා,Big eye scade,1213.33,,,,,,,,, ,,
20,ගින්නටි පරව්,Ginnati paraw,1626.67,1700,1693.33,-0.003923529411764748,0.040979424222491255,,, ,,, ,
21,හබරලි,Needle fish,1320,1280,1390,0.0859375,0.05303030303030303,,, ,,,,
22,හැඩැල්ලා,Indian Anchovy,1620,2020,2060,0.019801980198019802,0.2716049382716049,,                                                                                                                                                                                                                                                                                                                                     ,,,,,
23,ජීලාවා,Barracuda(L),2113.33,2470,2510,0.016194331983805668,0.18769903422560608,,,,,,,
24,ලින්නා,Indian Scade,945,1076.67,1216,0.12940826808585723,0.2867724867724868,,, ,,,,
25,ලේන පරව්,Rainbow runner,1180,1095,1113.33,0.016739726027397196,-0.056500000000000064,,,,,,,
26,සුද්දා,Threadfin bream,1365,,,,,,,,,,,
27,සූඩයා,White Sardinella,510,466.67,470,0.0071356633166905605,-0.0784313725490196,,,,, ,,
28,දැල්ලා,Cuttle fish,1993.33,2180,2190,0.0045871559633027525,0.09866404458870337,,,,,,,
29,කකුළුවා,Sea Crabs(L),2790,2660,2715,0.020676691729323307,-0.026881720430107527,,,,,,,
30,තිලාපියා,Thilapia (M),1120,,,,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,, ,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,
,,,,,,,, ,,,, ,,
