Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Variety,,,2025,2026,,% Change   compared to:2nd week of Mar. 2026,, ,,
Sinhala Name,,Common Name,2nd week of Mar.,1st week of Mar.,2nd week of Mar.,Last week ,Last Year,,, 
1,තෝරා,Seer,3060,3816,3824,0.0020964360587002098,0.2496732026143791,,,
2,පරව් (ලොකු),Trevally (L),2046.67,2336,2196,-0.059931506849315065,0.07296242188530634, ,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2090,2340,1926.6666666666667,-0.1766381766381766,-0.07814992025518337,,,
4,තලපත්,Sail fish,2532.5,3013.33,2883.3333333333335,-0.043140534447493786,0.13853241197762428,,,
5,බලයා,Skipjack tuna,1235,1570,1560,-0.006369426751592357,0.2631578947368421,,,
6,කෙළවල්ලා,Yellowfin tuna,2112,2380,2480,0.04201680672268908,0.17424242424242425,,,
7,සාලයා (මට්ට),Sardinella,604,780,686.6666666666666,-0.1196581196581197,0.13686534216335536,,,
8,මෝරා,Shark,1966.67,2060,2040,-0.009708737864077669,0.037286377480716094,,,
9,හුරුල්ලා,Herrings,1160,1204,1180,-0.019933554817275746,0.017241379310344827,,,
10,කුම්බලා,Indian mackerel,1040,1340,1300,-0.029850746268656716,0.25,,,
11,කාරල්ලා,Pony fish,395,,415,,0.05063291139240506,,,
12,කටුවල්ලා,Katuwalla,,766.67,773.3333333333334,0.008691266559710713,,,,
13,හාල්මැස්සා,Anchovies,545,,648,,0.1889908256880734,,,
14,ඉස්සා (M),Prawns (M),2320,2916,2940,0.00823045267489712,0.2672413793103448,,,
15, කොප්පරා,Marlins,2720,3340,2990,-0.10479041916167664,0.09926470588235294,,,
16,අලගොඩුවා,Frigate tuna,1080,1250,1220,-0.024,0.12962962962962962,,,
17,ඇටවල්ලා,Kawakawa,1116,1260,1230,-0.023809523809523808,0.10215053763440861,,,
18,ඇටිස්සා,Red Bream(L),1640,1790,1720,-0.03910614525139665,0.04878048780487805,,,
19,බෝල්ලා,Big eye scade,1060,1310,1290,-0.015267175572519083,0.2169811320754717,,,
20,ගින්නටි පරව්,Ginnati paraw,1110,1570,1466.6666666666667,-0.06581740976645431,0.3213213213213214,,,
21,හබරලි,Needle fish,1060,1505,1510,0.0033222591362126247,0.42452830188679247,,,
22,හැඩැල්ලා,Indian Anchovy,2110,2190,2205,0.00684931506849315,0.045023696682464455,,,
23,ජීලාවා,Barracuda(L),2080,2490,2226.6666666666665,-0.10575635876840703,0.07051282051282044,,,
24,ලින්නා,Indian Scade,898.33,997.5,983.3333333333334,-0.014202172096908902,0.09462372773182831,,,
25,ලේන පරව්,Rainbow runner,936.67,1320,1220,-0.07575757575757576,0.3024864680196868,,,
26,සුද්දා,Threadfin bream,996,1360,1330,-0.022058823529411766,0.3353413654618474,,,
27,සූඩයා,White Sardinella,390,470,436.6666666666667,-0.0709219858156028,0.1196581196581197,,,
28,දැල්ලා,Cuttle fish,2025,2210,2250,0.01809954751131222,0.1111111111111111,,,
29,කකුළුවා,Sea Crabs(L),2640,3190,3160,-0.009404388714733543,0.19696969696969696,,,
30,තිලාපියා,Thilapia (M),,990,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,
,,,,,,, ,,,
,,,,,,, , ,,
