Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Variety,,,2022,2023,,% Change   compared to:4th week of Oct.2023,, ,,,,,,,,
Sinhala Name,,Common Name,4th week of Oct.,3rd week of Oct.,4th week of Oct.,Last week ,Last Year,,, , , ,,,,
1,තෝරා,Seer (L),1860,1200,1616.6666666666667,0.34722222222222227,-0.1308243727598566,, ,,,,, ,,
2,පරව් (ලොකු),Trevally (L),1280,950,975,0.02631578947368421,-0.23828125,  , , ,, ,, ,,
3,ගල්මාළු (ලොකු),Rock fish (L),1200,940,950,0.010638297872340425,-0.20833333333333334, , , , ,,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),925,700,716.67,0.023814285714285656,-0.22522162162162165,, ,, , , ,,,
5,තලපත්,Sail fish,1800,1592.86,1366.6666666666667,-0.1420045285419517,-0.2407407407407407,,,,, ,,,,
6,බලයා,Skipjack tuna,660.71,596.43,637.5,0.06885971530607121,-0.03512887651163148,,, ,, , ,,,
7,කෙළවල්ලා,Yellowfin tuna,1192.86,925,890,-0.03783783783783784,-0.2538940026490954, ,,,,, ,,,
8,සාලයා (මට්ට),Sardinella,482.14,217.57,225,0.034149928758560495,-0.5333305678848467,,,,,,,,,
9,මෝරා,Sharks,960,850,800,-0.058823529411764705,-0.16666666666666666,,,,, , ,,,
10,හුරුල්ලා,Herrings,639.29,325,358.33,0.1025538461538461,-0.43948755650800103,,,,,,,,,
11,කුම්බලා,Indian Mackerel,605,437.56,466.67,0.06652801901453519,-0.22864462809917352,,,,,,,,,
,කාරල්ලා,Pony fish,391.67,325,235,-0.27692307692307694,-0.4000051063395205,,,,,,,,,
,කටුවල්ලා,Katuwalla,554.17,500,475,-0.05,-0.1428622985726401,,, ,,,,,,
14,හාල්මැස්සා,Anchovy,525,366.67,321.67,-0.12272615703493604,-0.3872952380952381,,, ,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1300,1264.29,1308.33,0.03483378022447379,0.0064076923076922514,,,,,,,,,
16, කොප්පරා,Marlins,2192.86,1778.57,1541.6666666666667,-0.13319876829887675,-0.29696074228784936,, ,,,,,,,
17,අලගොඩුවා,Frigate tuna(L),702.5,533.33,460,-0.13749460934130844,-0.34519572953736655,,,,,,,,,
18,ඇටවල්ලා,Kawakawa,757.14,640,620,-0.03125,-0.1811289853923977,,, ,,,,,,
19,ඇටිස්සා,Red Bream(L),1333.33,1083.33,1016.67,-0.06153249702306774,-0.23749559373898432,,,,,,,,,
20,බෝල්ලා,Big eye scade,632,363.33,391.34,0.07709245038945309,-0.3807911392405064,,,, ,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,696.43,800,775,-0.03125,0.11281823011645112,, ,,, ,,,,
22,හබරලි,Needle fish,814.29,710.71,708.33,-0.0033487639121441873,-0.1301256309177319,,,,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1085.71,950,1205,0.26842105263157895,0.10987280212948206,, , ,,,,,,
24,ජීලාවා,Barracuda(L),1020,975,850,-0.1282051282051282,-0.16666666666666666,,, ,,,,,,
25,ලින්නා,Indian Scad(L),725,415.71,401.67,-0.033773544057155144,-0.44597241379310343,,, ,,,,,,
26,ලින්නා,Indian Scad(S),633.33,320,305,-0.046875,-0.5184185179922,,,,,,,,,
27,ලේන පරව්,Rainbow Runner,666.67,490.71,500,0.018931751951254346,-0.25000374998125,,,,,,,,,
28,සුද්දා,Threadfin  Bream,807.14,628.57,620,-0.01363412189573166,-0.23185568798473621,,, ,,,,,, 
29,සූඩයා,White Sardinella,315,162.5,150,-0.07692307692307693,-0.5238095238095238,,,,,, ,,,
30,දැල්ලා,Squids /Cuttle fish,1433.33,1450,1400,-0.034482758620689655,-0.023253542450098672,,,,,,,,,
31,කකුළුවා(L),Sea Crabs(L),1950,1733.33,1866.62,0.07689822480427845,-0.04275897435897442,,,, ,,,,,
32,තිලාපියා,Tilapia (M),500,350,350,0,-0.3,,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,,,,
