Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Variety,,,2021,2022,,"% Change 4th week of May. 2022, compared to:",, ,,,
Sinhala Name,,Common Name,4th week of May,3rd week of May,4th week of May,Last week ,Last Year,,,,
1,තෝරා,Seer (Nl),1166.67,1800,1891.67,0.050927777777777815,0.6214267959234402,,,,
2,පරව් (ලොකු),Trevally (L),800,1466.67,1228.57,-0.16234054013513613,0.5357124999999999,  ,,,
3,ගල්මාළු (ලොකු),Rock fish (L),560,,1320,,1.3571428571428572, ,,,
4,ගල්මාළු (පොඩි),Rock fish (S),,,1133.33,,,,,,
5,තලපත්,Sail fish,925,1475,1716.67,0.16384406779661023,0.8558594594594595,,,,
6,බලයා,Skipjack tuna,455,1175,1150,-0.02127659574468085,1.5274725274725274,, ,, 
7,කෙළවල්ලා,Yellowfin tuna,850,,1521.43,,0.7899176470588236,,,,
8,සාලයා (මට්ට),Sardinella,182.5,476.25,457.14,-0.04012598425196853,1.504876712328767,,,,
9,මෝරා,Sharks,700,,1380,,0.9714285714285714,,,,
10,හුරුල්ලා,Herrings,526.67,875,928.57,0.0612228571428572,0.763096436098506,,,,
11,කුම්බලා,Indian Mackerel,550,1083.33,1142.86,0.05495093831057939,1.0779272727272726,,,,
12,කාරල්ලා,Pony fish,375,350,390,0.11428571428571428,0.04,,,,
13,කටුවල්ලා,Katuwalla,300,600,490,-0.18333333333333332,0.6333333333333333,,,,
14,හාල්මැස්සා,Anchovy,325,600,607.14,0.011899999999999977,0.8681230769230769,,,,
15,ඉස්සා (M),"Prawns (M) 3""",883.33,1068.75,1214.29,0.13617777777777773,0.3746731119740073,,,,
16, කොප්පරා,Marlins,1018.75,1687.5,1950,0.15555555555555556,0.9141104294478528,,,,
17,අලගොඩුවා,Frigate tuna(L),493.33,762.5,983.33,0.2896131147540984,0.9932499543915839,,,,
18,ඇටවල්ලා,Atawalla,550,816.67,918.75,0.12499540818200748,0.6704545454545454,,,,
19,ඇටිස්සා,Red Bream(L),783.33,1200,1366.27,0.1385583333333333,0.7441818901357026,,,,
20,බෝල්ලා,Big eye scade,462.5,1000,975,-0.025,1.1081081081081081,,,,
21,ගින්නටි පරව්,Ginnati Paraw,700,1400,1362.5,-0.026785714285714284,0.9464285714285714,,,,
22,හබරලි,Needle fish,550,,1016.67,,0.848490909090909,,,,
23,හැඩැල්ලා,Indian Anchovies,900,1162.5,1225,0.053763440860215055,0.3611111111111111,,,,
24,ජීලාවා,Barracuda(L),600,1300,1300,0,1.1666666666666667,,, ,
25,ලින්නා,Indian Scad(L),366.25,925,818.86,-0.11474594594594593,1.2357952218430035,,,,
26,ලින්නා,Indian Scad(S),,,718.33,,,,,,
27,ලේන පරව්,Rainbow Runner,450,937.5,825,-0.12,0.8333333333333334,,,,
28,සුද්දා,Threadfin  Bream,566.67,1100,1087.5,-0.011363636363636364,0.9191063581978931,,,,
29,සූඩයා,White Sardinella,120,,270,,1.25,,,,
30,දැල්ලා,Squids /Cuttle fish,837.5,1550,1528.57,-0.013825806451612944,0.8251582089552238,,,,
31,කකුළුවා(L),Sea Crabs(L),826.67,2300,2020,-0.12173913043478261,1.443538534118814,,,,
32,තිලාපියා,Tilapia (M),380,,800,,1.105263157894737,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,
