Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2019,2020,,"% Change 3rd  week January 2020, compared to:",
Sinhala Name,,Common Name,3rd Week January ,2nd Week January ,3rd Week January ,Last week ,Last Year
1,තෝරා,Seer (Nl),1620.83,1591.67,1585.71,-0.0037444947759271937,-0.021667910885163708
2,පරව් (ලොකු),Trevally (L),568,640,625,-0.0234375,0.10035211267605634
3,ගල්මාළු (ලොකු),Rock fish (L),450,­,450,­,0
4,තලපත්,Sail fish,621,651,663.33,0.01894009216589868,0.06816425120772954
5,බලයා,Skipjack tuna,273.75,340,438,0.28823529411764703,0.6
6,කෙළවල්ලා,Yellowfin tuna,652,450,610,0.35555555555555557,-0.06441717791411043
7,සාලයා (මට්ට),Sardinella,126,245,195,-0.20408163265306123,0.5476190476190477
8,මෝරා,Sharks,545,600,600,0,0.10091743119266056
9,හුරුල්ලා,Herrings,270,460,446.67,-0.028978260869565182,0.6543333333333334
10,කුම්බලා,Indian Mackerel,472,550,566,0.02909090909090909,0.19915254237288135
11,කාරල්ලා,Pony fish,155,144,215,0.4930555555555556,0.3870967741935484
12,කටුවල්ලා,Katuwalla,350,400,400,0,0.14285714285714285
13,හාල්මැස්සා,Anchovy,­,220,308.33,0.4014999999999999,­
14,ඉස්සා (M),"Prawns (M) 3""",816,1033.33,921.43,-0.10829067190539322,0.12920343137254897
15, කොප්පරා,Marlins,814,814,845,0.038083538083538086,0.038083538083538086
16,අලගොඩුවා,Frigate tuna,245,450,390,-0.13333333333333333,0.5918367346938775
17,ඇටවල්ලා,Atawalla,265,440,405,-0.07954545454545454,0.5283018867924528
18,ඇටිස්සා,Red Bream,655,725,675,-0.06896551724137931,0.030534351145038167
19,බෝල්ලා,Big eye scade,438,450,480,0.06666666666666667,0.0958904109589041
20,ගින්නටි පරව්,Ginnati Paraw,537.5,425,545,0.2823529411764706,0.013953488372093023
21,හබරලි,Needle fish,431,497.5,510,0.02512562814070352,0.18329466357308585
22,හැඩැල්ලා,Indian Anchovies,837.5,1010,1000,-0.009900990099009901,0.19402985074626866
23,ජීලාවා,Barracuda,600,630,650,0.031746031746031744,0.08333333333333333
24,ලින්නා,Indian Scad,234,315,332.5,0.05555555555555555,0.42094017094017094
25,ලේන පරව්,Rainbow Runner,312.5,388.33,414.17,0.06654134370252114,0.3253440000000001
26,සුද්දා,Threadfin  Bream,473.33,640,598,-0.065625,0.26338917879703383
27,සූඩයා,White Sardinella,103.75,182.5,149,-0.18356164383561643,0.43614457831325304
28,දැල්ලා,Squids /Cuttle fish,600,760,767.86,0.010342105263157913,0.27976666666666666
29,කකුළුවා,Sea Crabs,509,453.33,475,0.04780182207222115,-0.06679764243614932
30,තිලාපියා,Tilapia (M),400,450,450,0,0.125
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,
