Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2018,2019,,"% Change 04th week January 2019, compared to:",
Sinhala Name,,Common Name, 4th Week January, 3rd  Week January, 4th Week January,Last week ,Last Year
1,තෝරා,Seer,1437,1885,1766.67,-0.06277453580901853,0.2294154488517746
2,පරව් (ලොකු),Trevally (L),1040,1068,1150,0.07677902621722846,0.10576923076923077
3,ගල්මාළු (ලොකු),Rock Fish (L),680,960,­,­,­
4,තලපත්,Sail fish,1095,1105,1117.5,0.011312217194570135,0.02054794520547945
5,බලයා,Skipjack tuna,720,655,675,0.030534351145038167,-0.0625
6,කෙළවල්ලා,Yellowfin tuna,975,941.67,997.78,0.05958562978538131,0.023364102564102537
7,සාලයා (මට්ට),Sardinella,180,245,200,-0.1836734693877551,0.1111111111111111
8,මෝරා,Shark,733,840,775,-0.07738095238095238,0.0572987721691678
9,හුරුල්ලා,Herrings,413,401.67,410,0.02073841710857167,-0.007263922518159807
10,කුම්බලා,Indian mackerel,434,580,536,-0.07586206896551724,0.2350230414746544
11,කාරල්ලා,Pony fish,180,160,180,0.125,0
12,කටුවල්ලා,Katuwalla,440,­,560,­,0.2727272727272727
13,හාල්මැස්සා,Anchovies,400,­,­,­,­
14,ඉස්සා (M),Prawns (M),1163,1090,1105,0.013761467889908258,-0.04987102321582115
15, කොප්පරා,Marlins,790,890,950,0.06741573033707865,0.20253164556962025
16,අලගොඩුවා,Frigate tuna,360,370,380,0.02702702702702703,0.05555555555555555
17,ඇටවල්ලා,Kawakawa,360,360,330,-0.08333333333333333,-0.08333333333333333
18,ඇටිස්සා,Red Bream,680,706.67,770,0.08961750180423683,0.1323529411764706
19,බෝල්ලා,Big eye scade,373,473.33,382.5,-0.19189571757547585,0.02546916890080429
20,ගින්නටි පරව්,Ginnati paraw,760,840,650,-0.2261904761904762,-0.14473684210526316
21,හබරලි,Needle fish,520,575,546.67,-0.04926956521739138,0.051288461538461456
22,හැඩැල්ලා,Indian Anchovy,910,960,946.67,-0.013885416666666709,0.04029670329670325
23,ජීලාවා,Barracuda,690,750,811.67,0.08222666666666661,0.1763333333333333
24,ලින්නා,Indian Scade,347,384,337.5,-0.12109375,-0.027377521613832854
25,ලේන පරව්,Rainbow runner,400,433.33,410,-0.05383887568365907,0.025
26,සුද්දා,Threadfin bream,550,760,640,-0.15789473684210525,0.16363636363636364
27,සූඩයා,White Sardinella,350,­,­,­,­
28,දැල්ලා,Cuttle fish,800,826.67,826.67,0,0.03333749999999995
29,කකුළුවා,Sea Crabs,800,800,820,0.025,0.025
30,තිලාපියා,Thilapia (M),­,485,505,0.041237113402061855,­
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,
Maharagama and Dematagoda fish markets.,,,440,,,,
