Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Variety,,,2019,2020,2021,,"% Change 2nd week of October 2021, compared to:",,
Sinhala Name,,Common Name,October 2nd week average,October 2nd week average,October 1st week average,October 2nd week average,Last week ,Last Year,2019.0
1,තෝරා,Seer,1473.33,1500,2260,2296.67,0.016225663716814193,0.5311133333333334,0.558829318618368
2,පරව් (ලොකු),Trevally (L),986.67,1080,1480,1590,0.07432432432432433,0.4722222222222222,0.6114810422937761
3,ගල්මාළු (ලොකු),Rock Fish (L),660,1100,1280,1290,0.0078125,0.17272727272727273,0.9545454545454546
4,තලපත්,Sail fish,1150,1216,1608,1635,0.016791044776119403,0.34457236842105265,0.4217391304347826
5,බලයා,Skipjack tuna,713.33,685,800,840,0.05,0.22627737226277372,0.17757559614764548
6,කෙළවල්ලා,Yellowfin tuna,1088,1090,1400,1506,0.07571428571428572,0.381651376146789,0.38419117647058826
7,සාලයා (මට්ට),Sardinella,210,300,310,325,0.04838709677419355,0.08333333333333333,0.5476190476190477
8,මෝරා,Shark,826.67,690,1116.66,1140,0.02090161732308842,0.6521739130434783,0.3790266974729941
9,හුරුල්ලා,Herrings,462.5,430,493.33,540,0.09460199055399027,0.2558139534883721,0.16756756756756758
10,කුම්බලා,Indian mackerel,433.33,560,665,725,0.09022556390977443,0.29464285714285715,0.6730897929984078
11,කාරල්ලා,Pony fish,360,,,500,,,
12,කටුවල්ලා,Katuwalla,­,,,,,,
13,හාල්මැස්සා,Anchovies,390,,,450,,,
14,ඉස්සා (M),Prawns (M),1310.8,1086.66666666667,1246.67,1291.25,0.035759262675768184,0.18826687116564061,-0.01491455599633808
15, කොප්පරා,Marlins,960,1190,1680,1800,0.07142857142857142,,0.875
16,අලගොඩුවා,Frigate tuna,360,300,516,530,0.027131782945736434,,
17,ඇටවල්ලා,Kawakawa,386.67,480,520,535,0.028846153846153848,,0.383608761993431
18,ඇටිස්සා,Red Bream,­,,920,,,,
19,බෝල්ලා,Big eye scade,386.67,,500,600,0.2,,0.5517107611141283
20,ගින්නටි පරව්,Ginnati paraw,800,,695,,,,
21,හබරලි,Needle fish,475,,700,700,0,,0.47368421052631576
22,හැඩැල්ලා,Indian Anchovy,720,,1050,1100,0.047619047619047616,,0.5277777777777778
23,ජීලාවා,Barracuda,587.5,600,1260,1240,-0.015873015873015872,1.0666666666666667,1.1106382978723404
24,ලින්නා,Indian Scade,352,408,500,560,0.12,0.37254901960784315,0.5909090909090909
25,ලේන පරව්,Rainbow runner,480,,600,640,0.06666666666666667,,0.3333333333333333
26,සුද්දා,Threadfin bream,546.67,440,760,785,0.03289473684210526,0.7840909090909091,0.4359668538606473
27,සූඩයා,White Sardinella,150,180,,,,,
28,දැල්ලා,Cuttle fish,870,760,1205,1133.33,-0.059477178423236576,,0.30267816091954014
29,කකුළුවා,Sea Crabs(L),1256.67,,1720,,,,
30,තිලාපියා,Thilapia (M),420,,690,640,-0.07246376811594203,,0.5238095238095238
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,440,,,,,
(price collection was done by over the phone due to prevailling covid pandemic ),,,,,,,,,
