Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Variety,,,2019,2020,2021,,"% Change 2nd week Oct. 2021, compared to:",,, 
Sinhala Name,,Common Name,2nd week of Oct.,2nd week of Oct.,1st week of Oct.,2nd week of Oct.,Last week ,Last Year,2019.0,
1,තෝරා,Seer (Nl),1008.33,1092.85,1155,1150,-0.004329004329004329,0.05229445944091147,0.14049963801533225,
2,පරව් (ලොකු),Trevally (L),470,605,656.25,733.33,0.11745523809523815,0.21211570247933892,0.5602765957446809,
3,ගල්මාළු (ලොකු),Rock fish (L),425,,700,662.5,-0.05357142857142857,,0.5588235294117647, 
4,ගල්මාළු (පොඩි),Rock fish (S),,,700,587.5,-0.16071428571428573,,,
5,තලපත්,Sail fish,731.67,673.33,1135.71,1129.17,-0.005758512296272784,0.676993450462626,0.5432777071630654,
6,බලයා,Skipjack tuna,338.33,382.15,357.14,375.71,0.05199641597132775,-0.016852021457542846,0.11048384713149882,
7,කෙළවල්ලා,Yellowfin tuna,560,562.5,700,800,0.14285714285714285,0.4222222222222222,0.42857142857142855,
8,සාලයා (මට්ට),Sardinella,172,203.33,126,160.71,0.27547619047619054,-0.20960999360645258,-0.06563953488372089,
9,මෝරා,Sharks,600,571.42,618.75,676.67,0.09360808080808074,0.18419026285394283,0.12778333333333328,
10,හුරුල්ලා,Herrings,353,355,310,351.43,0.1336451612903226,-0.010056338028168995,-0.00444759206798865,
11,කුම්බලා,Indian Mackerel,342.5,426.66,343.57,436.43,0.27027971010274476,0.02289879529367642,0.2742481751824818,
12,කාරල්ලා,Pony fish,130,170,150,271.67,0.8111333333333335,0.5980588235294119,1.0897692307692308,
13,කටුවල්ලා,Katuwalla,­,350,150,,,,,
14,හාල්මැස්සා,Anchovy,250,333,270,325,0.2037037037037037,-0.024024024024024024,0.3,
15,ඉස්සා (M),"Prawns (M) 3""",1037.5,966.66,941.67,946.43,0.005054849363365076,-0.02092773053607268,-0.0877783132530121,
16, කොප්පරා,Marlins,862,885,1271.43,1354.17,0.06507633137490858,0.5301355932203391,0.5709628770301625,
17,අලගොඩුවා,Frigate tuna(L),258.33,390,310,340,0.0967741935483871,-0.1282051282051282,0.31614601478728765,
18,ඇටවල්ලා,Atawalla,310,345,375,420,0.12,0.21739130434782608,0.3548387096774194,
19,ඇටිස්සා,Red Bream(L),600,713.33,771.67,725,-0.06047922039213648,0.016359889532194017,0.20833333333333334,
20,බෝල්ලා,Big eye scade,225,337.14,295,338.57,0.14769491525423725,0.004241561369164166,0.5047555555555555,
21,ගින්නටි පරව්,Ginnati Paraw,550,608.33,490,525,0.07142857142857142,-0.13698157250176718,-0.045454545454545456,
22,හබරලි,Needle fish,350.83,496.66,546.67,589.29,0.07796293925037044,0.1865058591390487,0.6797024199754866,
23,හැඩැල්ලා,Indian Anchovies,656.25,906,700,900,0.2857142857142857,-0.006622516556291391,0.37142857142857144,
24,ජීලාවා,Barracuda(L),487.5,720,637.5,591.67,-0.07189019607843143,-0.17823611111111118,0.2136820512820512,
25,ලින්නා,Indian Scad(L),195.83,352.85,387.83,445,0.14740994765747883,0.26115913277596703,1.2723791043251798,
26,ලින්නා,Indian Scad(S),,,343.33,379.17,0.1043893630035244,,,
27,ලේන පරව්,Rainbow Runner,275.83,360,418,458,0.09569377990430622,0.2722222222222222,0.660443026501831,
28,සුද්දා,Threadfin  Bream,352.5,438.33,481.43,495,0.02818685997964396,0.12928615426733286,0.40425531914893614,
29,සූඩයා,White Sardinella,108,135,93.33,127.5,0.366120218579235,-0.05555555555555555,0.18055555555555555,
30,දැල්ලා,Squids /Cuttle fish,795,737.85,1000,965,-0.035,0.30785389984414174,0.2138364779874214,
31,කකුළුවා(L),Sea Crabs(L),600,646.66,1200,1100,-0.08333333333333333,0.7010484644171591,0.8333333333333334,
32,තිලාපියා,Tilapia (M),315,381.66,416.67,425,0.01999184006527944,0.11355656867368855,0.3492063492063492,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,
