--- 01-Wholesale.csv ---

Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Variety,,,2023.0,2024,,% Change   compared to:1st week of Mar.2024,, ,,,,,,,,
Sinhala Name,,Common Name,,4th week of Feb.,1st week of Mar.,Last week ,Last Year,,, , , ,,,,
1,තෝරා,Seer (L),1870.0,1858.33,2180,0.17309627461215182,0.1657754010695187,, , ,,,, , ,
2,පරව් (ලොකු),Trevally (L),1120.0,1100,1067.86,-0.02921818181818191,-0.04655357142857152,  , , , , ,, ,,
3,ගල්මාළු (ලොකු),Rock fish (L),1150.0,1025,1125,0.0975609756097561,-0.021739130434782608, , , , ,,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),887.5,716.67,1033.33,0.44184910767856894,0.1643154929577464,, ,, , , ,,,
5,තලපත්,Sail fish,1340.0,1733.33,1692.86,-0.023348121823311214,0.26332835820895517,,,,, ,,,,
6,බලයා,Skipjack tuna,620.83,541.67,525,-0.030775195229567745,-0.15435787574698392, ,, ,, , ,,,
7,කෙළවල්ලා,Yellowfin tuna,940.0,1041.67,1191.67,0.14399953920147454,0.26773404255319155, ,,,,,,,,
8,සාලයා (මට්ට),Sardinella,423.33,313,265.83,-0.15070287539936109,-0.37205017362341436,,,,,,,,,
9,මෝරා,Sharks,906.25,808.33,930,0.15052020833075594,0.02620689655172414,,, ,, , ,,,
10,හුරුල්ලා,Herrings,716.67,591.67,703.57,0.18912569506650684,-0.018278984748908017,,,,,,,,,
11,කුම්බලා,Indian Mackerel,837.5,616.67,750,0.21620964211004273,-0.1044776119402985,,,,,,,,,
12,කාරල්ලා,Pony fish,350.0,250,329.17,0.3166800000000001,-0.059514285714285665,,,,,,,,,
13,කටුවල්ලා,Katuwalla,465.0,450,503.57,0.11904444444444442,0.08294623655913977,,, ,,,,,,
14,හාල්මැස්සා,Anchovy,483.33,416.67,454.17,0.08999928000575995,-0.06033145056172795,,, ,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1541.67,1541.67,1635.71,0.06099878702964964,0.06099878702964964,,,,,,,,,
16, කොප්පරා,Marlins,1583.33,2016.67,1878.57,-0.06847922565417254,0.18646776098475998,, ,,,,,,,
17,අලගොඩුවා,Frigate tuna(L),625.0,500,575,0.15,-0.08,,,,,,,,,
18,ඇටවල්ලා,Kawakawa,700.0,650,750,0.15384615384615385,0.07142857142857142,,, ,,,,,,
19,ඇටිස්සා,Red Bream(L),1104.17,1066.67,1214.29,0.13839331752088263,0.09973101967994048,,,,,,,,,
20,බෝල්ලා,Big eye scade,787.5,650,703.57,0.0824153846153847,-0.10657777777777772,,,, ,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,910.0,975,1033.33,0.059825641025640953,0.13552747252747244,, ,,, ,,,,
22,හබරලි,Needle fish,916.67,775,987.5,0.27419354838709675,0.07726880993160029,,,,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1175.0,1250,1320,0.056,0.12340425531914893,, , ,,,,,,
24,ජීලාවා,Barracuda(L),1130.0,1066.67,1058.53,-0.007631226152418367,-0.0632477876106195,,, ,,,,,,
25,ලින්නා,Indian Scad(L),685.0,565,621.43,0.09987610619469017,-0.09280291970802927,,, ,,,,,,
26,ලින්නා,Indian Scad(S),616.0,455,490,0.07692307692307693,-0.20454545454545456,,,,  ,,,,,
27,ලේන පරව්,Rainbow Runner,700.0,616.67,739.29,0.19884216842071126,0.056128571428571375,,,,,,,,,
28,සුද්දා,Threadfin  Bream,880.0,750,917.86,0.22381333333333336,0.04302272727272729,,, ,,,,,, 
29,සූඩයා,White Sardinella,320.0,218,209.17,-0.04050458715596336,-0.34634375000000006,,,,,, , ,,
30,දැල්ලා,Squids /Cuttle fish,1550.0,1400,1560,0.11428571428571428,0.0064516129032258064,,,,,,,,,
31,කකුළුවා(L),Sea Crabs(L),2062.5,1933.33,2066.67,0.06896908442945598,0.002021818181818217,,,, ,,,,,
32,තිලාපියා,Tilapia (M),500.0,,400,,-0.2,,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,,,,

--- 02-Retail.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Variety,,,2023,2024,,Compared to Average of 1st  week of March 2024,,,,,,,,,
Sinhala Name,,Common Name,Average of 1st  week of  March,Average of 4th  week of  February,Average of 1st  week of  March,Last week ,Last Year,,, ,,,,,
1,තෝරා,Seer,3325,3460,3595,0.03901734104046243,0.081203007518797,,,,,,, ,
2,පරව් (ලොකු),Trevally (L),2350,2220,2296,0.03423423423423423,-0.02297872340425532,, ,, ,,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2125,2093.33,2180,0.041402932170274194,0.02588235294117647,,,,,,,,
4,තලපත්,Sail fish,2320,2583,2670,0.03368176538908246,0.15086206896551724,,,,,,,,
5,බලයා,Skipjack tuna,1420,1206.67,1185,-0.017958513926757166,-0.16549295774647887,,,,,,,,
6,කෙළවල්ලා,Yellowfin tuna,1975,2196.67,2220,0.010620621213017852,0.1240506329113924,,,, ,,,,
7,සාලයා (මට්ට),Sardinella,685,580,533.33,-0.08046551724137924,-0.22141605839416054,,,,,,,,
8,මෝරා,Shark,1997,1790,1835,0.025139664804469275,-0.08112168252378568,,,,,,,,
9,හුරුල්ලා,Herrings,1062.5,950,983.33,0.035084210526315836,-0.07451294117647055,,,,,,,,
10,කුම්බලා,Indian mackerel,1127,930,990,0.06451612903225806,-0.12156166814551908,,,,,,,,
11,කාරල්ලා,Pony fish,520,,480,,-0.07692307692307693,,,,,,,,
12,කටුවල්ලා,Katuwalla,887.5,,860,,-0.030985915492957747,,,,,,,,
13,හාල්මැස්සා,Anchovies,720,863.33,842.5,-0.02412750628380809,0.1701388888888889,,,,,,,,
14,ඉස්සා (M),Prawns (M),1908,1972.5,1976,0.0017743979721166034,0.03563941299790356,,,,,,,,
15, කොප්පරා,Marlins,,3183.33,3206.67,0.007331944850204077,,,,,,,,,
16,අලගොඩුවා,Frigate tuna,890,880,920,0.045454545454545456,0.033707865168539325,,,,,,,,
17,ඇටවල්ලා,Kawakawa,1080,910,1095,0.2032967032967033,0.013888888888888888,,,,,,,,
18,ඇටිස්සා,Red Bream(L),1830,1710,1805,0.05555555555555555,-0.01366120218579235,,,, ,,,,
19,බෝල්ලා,Big eye scade,1035,990,996.67,0.0067373737373736965,-0.03703381642512081,,,,,,,,
20,ගින්නටි පරව්,Ginnati paraw,1360,1040,1260,0.21153846153846154,-0.07352941176470588,,,,,,,, 
21,හබරලි,Needle fish,1120,1120,1280,0.14285714285714285,0.14285714285714285,,,,,,,,
22,හැඩැල්ලා,Indian Anchovy,1660,1763,1755,-0.0045377197958026095,0.0572289156626506,,,,,,,,
23,ජීලාවා,Barracuda,1875,2083,,,,,,,,,,,
24,ලින්නා,Indian Scade,905,768,852,0.109375,-0.05856353591160221,,,,,,,,
25,ලේන පරව්,Rainbow runner,1080,960,1106.67,0.15278125000000006,0.024694444444444512,,,,,,,,
26,සුද්දා,Threadfin bream,1290,1220,1320,0.08196721311475409,0.023255813953488372,,,,,,,,
27,සූඩයා,White Sardinella,460,370,365,-0.013513513513513514,-0.20652173913043478,,,,,,,,
28,දැල්ලා,Cuttle fish,2067,1727,1840,0.06543138390272148,-0.10982099661344945,,,,,,,,
29,කකුළුවා,Sea Crabs(L),,2447.5,2580,0.054136874361593465,,,,,,,,,
30,තිලාපියා,Thilapia (M),1100,,820,,-0.2545454545454545,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
