Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2022,2023,2023,"% Change 4th week of Jan. 2023, compared to:",
Sinhala Name,,Common Name,Average of 4th week of Jan.,Average of 3rd week of Jan.,Average of 4th week of Jan.,Last week ,Last Year
1,තෝරා,Seer,2198.5,3536,3205,-0.09360859728506787,0.4578121446440755
2,පරව් (ලොකු),Trevally (L),1520,2245,2453.33,0.09279732739420932,0.6140328947368421
3,ගල්මාළු (ලොකු),Rock Fish (L),1226.67,2245,2352,0.047661469933184854,0.9173860940595269
4,තලපත්,Sail fish,1823.33,2762,2586,-0.06372194062273714,0.4182841284901801
5,බලයා,Skipjack tuna,960,1315,1310,-0.0038022813688212928,0.3645833333333333
6,කෙළවල්ලා,Yellowfin tuna,1528.33,2172,2315,0.06583793738489871,0.5147252229557754
7,සාලයා (මට්ට),Sardinella,310,593.33,594,0.0011292198270776111,0.9161290322580645
8,මෝරා,Shark,1250,1740,1780,0.022988505747126436,0.424
9,හුරුල්ලා,Herrings,620,1005,1086.67,0.08126368159203988,0.7526935483870969
10,කුම්බලා,Indian mackerel,629,1073.33,1110,0.03416470237485217,0.7647058823529411
11,කාරල්ලා,Pony fish,240,,480,,1
12,කටුවල්ලා,Katuwalla,533.33,760,,,-1
13,හාල්මැස්සා,Anchovies,,760,760,0,
14,ඉස්සා (M),Prawns (M),1184,1886,1895,0.004772004241781549,0.6005067567567568
15, කොප්පරා,Marlins,2080,3526.67,3230,-0.0841218486560977,0.5528846153846154
16,අලගොඩුවා,Frigate tuna,576.66,940,1020,0.0851063829787234,0.7688065757985643
17,ඇටවල්ලා,Kawakawa,671.67,1095,1253,0.14429223744292238,0.8654994268018522
18,ඇටිස්සා,Red Bream,1000,,1760,,0.76
19,බෝල්ලා,Big eye scade,582.5,1100,1167,0.060909090909090906,1.0034334763948498
20,ගින්නටි පරව්,Ginnati paraw,,1200,,,
21,හබරලි,Needle fish,680,,,,
22,හැඩැල්ලා,Indian Anchovy,1210,1970,1853,-0.05939086294416244,0.531404958677686
23,ජීලාවා,Barracuda,1255,2095,2267,0.08210023866348448,0.8063745019920319
24,ලින්නා,Indian Scade,616,1018.33,1017,-0.001306059921636445,0.650974025974026
25,ලේන පරව්,Rainbow runner,,1080,1140,0.05555555555555555,
26,සුද්දා,Threadfin bream,762.5,1387.5,1445,0.04144144144144144,0.8950819672131147
27,සූඩයා,White Sardinella,,390,405,0.038461538461538464,
28,දැල්ලා,Cuttle fish,1280,2060,2090,0.014563106796116505,0.6328125
29,කකුළුවා,Sea Crabs(L),2160,2615,2630,0.0057361376673040155,0.2175925925925926
30,තිලාපියා,Thilapia (M),550,1075,1115,0.037209302325581395,1.0272727272727273
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,
**Retail Price collection done by over the phone,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,, ,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
