Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Variety,,,2025,2026,,% Change   compared to:1st week of Mar. 2026,, 
Sinhala Name,,Common Name,1st  week of March,4th  week of Feb.,1st  week of March,Last week ,Last Year,
1,තෝරා,Seer (Ni-L),1525,2430,1875,-0.22839506172839505,0.22950819672131148,
2,පරව් (ලොකු),Trevally (L),1150,1335.71428571429,1108.33,-0.17023422459893325,-0.03623478260869571,  
3,ගල්මාළු (ලොකු),Rock fish (L),1250,1316.66666666667,1200,-0.08860759493671112,-0.04, 
4,ගල්මාළු (පොඩි),Rock fish (S),833.3333333333334,1021.42857142857,841.67,-0.17598741258741143,0.010003999999999905,
5,තලපත්,Sail fish,1270,1900,1675,-0.11842105263157894,0.3188976377952756,
6,බලයා,Skipjack tuna,685.7142857142857,885.714285714286,855,-0.03467741935483903,0.2468750000000001, 
7,කෙළවල්ලා,Yellowfin tuna,1035.7142857142858,1207.14285714286,1130,-0.06390532544378925,0.09103448275862062, 
8,සාලයා (මට්ට),Sardinella,482.14285714285717,435.714285714286,435,-0.0016393442622957518,-0.09777777777777782,
9,මෝරා,Sharks,1050,1233.33333333333,1150,-0.0675675675675651,0.09523809523809523,
10,හුරුල්ලා,Herrings,900,966.666666666667,950,-0.017241379310345136,0.05555555555555555,
11,කුම්බලා,Indian Mackerel,900,1257.14285714286,1162.5,-0.07528409090909306,0.2916666666666667,
12,කාරල්ලා,Pony fish,216.66666666666666,346.428571428571,262.5,-0.24226804123711243,0.2115384615384616,
13,කටුවල්ලා,Katuwalla,475,580,441.67,-0.23849999999999996,-0.07016842105263155,
14,හාල්මැස්සා,Anchovy,307.14285714285717,375,483.33,0.28887999999999997,0.5736325581395347,
15,ඉස්සා (M),"Prawns (M) 3""",1792.857142857143,2057.14285714286,2516.67,0.2233812499999983,0.4037203187250996,
16, කොප්පරා,Marlins,1417.857142857143,2228.57142857143,1916.67,-0.13995576923076966,0.35180755667506297,
17,අලගොඩුවා,Frigate tuna(L),650,875,737.5,-0.15714285714285714,0.1346153846153846,
18,ඇටවල්ලා,Kawakawa,787.5,1054.16666666667,1000,-0.051383399209489096,0.2698412698412698,
19,ඇටිස්සා,Red Bream(L),1191.6666666666667,1420,1180,-0.16901408450704225,-0.009790209790209854,
20,බෝල්ලා,Big eye scade,860,1133.33333333333,940,-0.17058823529411526,0.09302325581395349,
21,ගින්නටි පරව්,Ginnati Paraw,883.3333333333334,1200,1200,0,0.35849056603773577,
22,හබරලි,Needle fish,895.8333333333334,1135.71428571429,920,-0.18993710691824212,0.026976744186046467, 
23,හැඩැල්ලා,Indian Anchovies,1958.3333333333333,1640,1808.33,0.10264024390243898,-0.07659744680851063,
24,ජීලාවා,Barracuda(L),1237.5,1250,1130,-0.096,-0.08686868686868687,
25,ලින්නා,Indian Scad(L),771.4285714285714,985.714285714286,862.5,-0.12500000000000025,0.11805555555555554,
26,ලින්නා,Indian Scad(S),675,785.714285714286,708.33,-0.09848909090909119,0.04937777777777784,
27,ලේන පරව්,Rainbow Runner,700,914.285714285714,850,-0.07031249999999971,0.21428571428571427,
28,සුද්දා,Threadfin  Bream,837.5,1150,960,-0.16521739130434782,0.14626865671641792,
29,සූඩයා,White Sardinella,365,306.25,299,-0.0236734693877551,-0.18082191780821918, 
30,දැල්ලා,Squids /Cuttle fish(Peeli),1766.6666666666667,1940,1640,-0.15463917525773196,-0.07169811320754721,
31,කකුළුවා(L),Sea Crabs(L),1790,2207.14285714286,2362.5,0.07038834951456169,0.3198324022346369,
32,තිලාපියා,Tilapia (M),450,500,0,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,
