--- 01-Wholesale.csv ---

Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Variety,,,2021,2022,,"% Change 4th week of Mar. 2022, compared to:",, ,
Sinhala Name,,Common Name,3rd  week of Mar.,3rd  week of Mar.,4th  week of Mar.,Last week ,Last Year,,
1,තෝරා,Seer (Nl),,1200,1275,0.0625,,,
2,පරව් (ලොකු),Trevally (L),440,804.17,759.17,-0.05595831727122375,0.7253863636363636,  , 
3,ගල්මාළු (ලොකු),Rock fish (L),425,800,795,-0.00625,0.8705882352941177, ,
4,ගල්මාළු (පොඩි),Rock fish (S),,600,568.75,-0.052083333333333336,,,
5,තලපත්,Sail fish,653,1200,1250,0.041666666666666664,0.9142419601837672,,
6,බලයා,Skipjack tuna,313.33,516.67,532.14,0.029941742311339982,0.6983372163533655,,
7,කෙළවල්ලා,Yellowfin tuna,512,875,1050,0.2,1.05078125,,
8,සාලයා (මට්ට),Sardinella,138.33,257.5,240,-0.06796116504854369,0.734981565820863,,
9,මෝරා,Sharks,540,750,700,-0.06666666666666667,0.2962962962962963,,
10,හුරුල්ලා,Herrings,430,600,437.17,-0.2713833333333333,0.0166744186046512,,
11,කුම්බලා,Indian Mackerel,422.5,560,589.29,0.052303571428571366,0.3947692307692307,,
12,කාරල්ලා,Pony fish,100,250,280,0.12,1.8,,
13,කටුවල්ලා,Katuwalla,275,366.67,350,-0.04546322306160857,0.2727272727272727,,
14,හාල්මැස්සා,Anchovy,203.33,250,310,0.24,0.5246151576255348,,
15,ඉස්සා (M),"Prawns (M) 3""",858.33,1016.67,971.43,-0.04449821475995162,0.13176750200971643,,
16, කොප්පරා,Marlins,770,1375,1420,0.03272727272727273,0.8441558441558441,,
17,අලගොඩුවා,Frigate tuna(L),370,350,385,0.1,0.04054054054054054,,
18,ඇටවල්ලා,Atawalla,410,556.25,479.17,-0.1385707865168539,0.16870731707317077,,
19,ඇටිස්සා,Red Bream(L),512.5,816.67,760.71,-0.06852216929726808,0.4843121951219513,,
20,බෝල්ලා,Big eye scade,381.67,533.33,500.83,-0.060937880861755486,0.31220688028925503,,
21,ගින්නටි පරව්,Ginnati Paraw,528.33,650,706.25,0.08653846153846154,0.3367592224556621,,
22,හබරලි,Needle fish,445,675,656.25,-0.027777777777777776,0.4747191011235955,,
23,හැඩැල්ලා,Indian Anchovies,,975,916.67,-0.059825641025641065,,,
24,ජීලාවා,Barracuda(L),550,625,550,-0.12,0,,
25,ලින්නා,Indian Scad(L),272,531.67,446.67,-0.15987360580811397,0.6421691176470589,,
26,ලින්නා,Indian Scad(S),,375,351.25,-0.06333333333333334,,, 
27,ලේන පරව්,Rainbow Runner,350,546.67,415,-0.24085828744946672,0.18571428571428572,,
28,සුද්දා,Threadfin  Bream,440,626,650,0.038338658146964855,0.4772727272727273,,
29,සූඩයා,White Sardinella,91.67,172.5,142.5,-0.17391304347826086,0.5544889276753572,,
30,දැල්ලා,Squids /Cuttle fish,675,1000,1058.3,0.058299999999999956,0.5678518518518518,,
31,කකුළුවා(L),Sea Crabs(L),,2183.33,1700,-0.221372857057797,,,
32,තිලාපියා,Tilapia (M),375,433.33,416.67,-0.03844644958807368,0.11112000000000004,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,

--- 02-Retail.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Variety,,,2020,2021,2022,,"% Change 4th week of March 2022, compared to:",,
Sinhala Name,,Common Name,March  4th week average,March  4th week average,March  3rd week average,March  4th week average,Last week ,Last Year,2020.0
1,තෝරා,Seer,1501,1406.66,2248,2310,0.027580071174377226,0.6421878776676666,0.5389740173217855
2,පරව් (ලොකු),Trevally (L),862,1084,1675,1625,-0.029850746268656716,0.49907749077490776,0.8851508120649652
3,ගල්මාළු (ලොකු),Rock Fish (L),888,986.67,1370,1370,0,0.3885088226053291,0.5427927927927928
4,තලපත්,Sail fish,1054,1272,1920,1924,0.0020833333333333333,0.5125786163522013,0.825426944971537
5,බලයා,Skipjack tuna,518,633.33,973.33,1010,0.03767478655748817,0.5947452355012394,0.9498069498069498
6,කෙළවල්ලා,Yellowfin tuna,834,1059.17,1592,1610,0.011306532663316583,0.5200581587469433,0.9304556354916067
7,සාලයා (මට්ට),Sardinella,181,205,376,380,0.010638297872340425,0.8536585365853658,1.0994475138121547
8,මෝරා,Shark,823,875,,1260,,0.44,
9,හුරුල්ලා,Herrings,566,590,760,726.67,-0.04385526315789479,0.2316440677966101,0.28386925795053
10,කුම්බලා,Indian mackerel,614,547.67,812,760,-0.06403940886699508,0.3876969708035862,0.23778501628664495
11,කාරල්ලා,Pony fish,349,183.33,,,,,
12,කටුවල්ලා,Katuwalla,328,353.33,540,580,0.07407407407407407,0.6415249200464156,0.7682926829268293
13,හාල්මැස්සා,Anchovies,540,345,560,600,0.07142857142857142,0.7391304347826086,0.1111111111111111
14,ඉස්සා (M),Prawns (M),,1195,1384,1358,-0.01878612716763006,0.13640167364016736,
15, කොප්පරා,Marlins,901,1153.33,2266.66,2280,0.0058853114273866155,0.9768843262552783,1.5305216426193118
16,අලගොඩුවා,Frigate tuna,,425,606.66,,,,
17,ඇටවල්ලා,Kawakawa,,507.5,713.33,733.33,0.02803751419399156,0.4449852216748769,
18,ඇටිස්සා,Red Bream,778,703.33,,,,,
19,බෝල්ලා,Big eye scade,464,447.92,720,720,0,0.6074298981961064,0.5517241379310345
