Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Variety,,,2019,2020,2021,,"% Change 2nd  week of November 2021, compared to:",,
Sinhala Name,,Common Name,November 2nd week average,November 2nd week average,November 1st week average,November 2nd week average,Last week ,Last Year,2019.0
1,තෝරා,Seer,1417.5,1600,2356.67,2490,0.05657559183084603,0.55625,0.7566137566137566
2,පරව් (ලොකු),Trevally (L),975,1140,1466.67,1590,0.08408844525353346,0.39473684210526316,0.6307692307692307
3,ගල්මාළු (ලොකු),Rock Fish (L),740,1140,1335,1350,0.011235955056179775,0.18421052631578946,0.8243243243243243
4,තලපත්,Sail fish,1132.5,1220,1746,1847.5,0.05813287514318442,0.514344262295082,0.6313465783664459
5,බලයා,Skipjack tuna,810,658.59,846.67,890,0.05117696387022103,0.3513718702075646,0.09876543209876543
6,කෙළවල්ලා,Yellowfin tuna,1058.17,930,1320,1406,0.06515151515151515,0.5118279569892473,0.32870899760907973
7,සාලයා (මට්ට),Sardinella,272,280,310,340,0.0967741935483871,0.21428571428571427,0.25
8,මෝරා,Shark,880,880,,1180,,0.3409090909090909,0.3409090909090909
9,හුරුල්ලා,Herrings,450,450,580,600,0.034482758620689655,0.3333333333333333,0.3333333333333333
10,කුම්බලා,Indian mackerel,404,440,593.33,633.75,0.06812397822459669,0.4403409090909091,0.5686881188118812
11,කාරල්ලා,Pony fish,160,,,,,,
12,කටුවල්ලා,Katuwalla,­,,,,,,
13,හාල්මැස්සා,Anchovies,350,300,,450,,0.5,
14,ඉස්සා (M),Prawns (M),1428,1120,1316.25,1290,-0.019943019943019943,0.15178571428571427,-0.09663865546218488
15, කොප්පරා,Marlins,1050,880,1800,1890,0.05,1.1477272727272727,0.8
16,අලගොඩුවා,Frigate tuna,400,450,,,,,
17,ඇටවල්ලා,Kawakawa,480,400,586.67,603.33,0.028397565922921034,0.5083250000000001,0.2569375000000001
18,ඇටිස්සා,Red Bream,698,700,,,,,
19,බෝල්ලා,Big eye scade,348.33,380,535,610,0.14018691588785046,0.6052631578947368,0.7512129302672753
20,ගින්නටි පරව්,Ginnati paraw,700,494.1,780,,,,
21,හබරලි,Needle fish,580,430.4,640,,,,
22,හැඩැල්ලා,Indian Anchovy,1120,,1160,1210,0.04310344827586207,,
23,ජීලාවා,Barracuda,747.5,640.17,1180,1190,0.00847457627118644,0.8588812346720404,0.5919732441471572
24,ලින්නා,Indian Scade,386,400,527.5,604,0.14502369668246445,0.51,0.5647668393782384
25,ලේන පරව්,Rainbow runner,490,423.98,650,660,0.015384615384615385,0.5566772017547997,0.3469387755102041
26,සුද්දා,Threadfin bream,509.6,495,735,740,0.006802721088435374,0.494949494949495,0.4521193092621663
27,සූඩයා,White Sardinella,200,180,,260,,0.4444444444444444,
28,දැල්ලා,Cuttle fish,800,700,1170,1225,0.04700854700854701,0.75,
29,කකුළුවා,Sea Crabs(L),850,,1657.5,1765,0.06485671191553545,,
30,තිලාපියා,Thilapia (M),450,450,,640,,0.4222222222222222,0.4222222222222222
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,440,,,,,
(price collection was done by over the phone due to prevailling covid pandemic ),,,,,,,,,
