Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Variety,,,2021,2022,,"% Change 3rd week of Aug. 2022, compared to:",,,,,
Sinhala Name,,Common Name,Average of Aug. 3rd week,Average of Aug. 2nd week,Average of Aug. 3rd week,Last week ,Last Year,, ,,
1,තෝරා,Seer,2200,4000,4060,0.015,0.8454545454545455,,,,
2,පරව් (ලොකු),Trevally (L),1400,3130,3004,-0.040255591054313096,1.1457142857142857,,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),1300,3080,2710,-0.12012987012987013,1.0846153846153845,,,,
4,තලපත්,Sail fish,1533.33,3020,3236,0.07152317880794702,1.1104393705203708,,,,
5,බලයා,Skipjack tuna,821.67,1870,1786.66,-0.044566844919786054,1.174425255881315,,,,
6,කෙළවල්ලා,Yellowfin tuna,1260,2860,3085,0.07867132867132867,1.4484126984126984,,,,
7,සාලයා (මට්ට),Sardinella,340,1064,1033.33,-0.028825187969924882,2.039205882352941,,,,
8,මෝරා,Shark,960,2020,2210,-0.028825187969924882,,,,, 
9,හුරුල්ලා,Herrings,580,1333.67,1285,-0.036493285445425086,1.2155172413793103,,,,
10,කුම්බලා,Indian mackerel,692.5,1698.75,1706.66,0.004656364974245817,1.464490974729242,,,,
11,කාරල්ලා,Pony fish,300,900,820,-0.08888888888888889,1.7333333333333334,,,,
12,කටුවල්ලා,Katuwalla,,,,,,,,,
13,හාල්මැස්සා,Anchovies,,,,,,,,,
14,ඉස්සා (M),Prawns (M),1100,1890,2012,0.06455026455026455,0.8290909090909091,,,,
15, කොප්පරා,Marlins,1780,3350,3610,0.07761194029850746,1.0280898876404494,,,,
16,අලගොඩුවා,Frigate tuna,,1220,1240,0.01639344262295082,,,,,
17,ඇටවල්ලා,Kawakawa,520,1370,1386.66,0.0121605839416059,1.6666538461538463,,,,
18,ඇටිස්සා,Red Bream,960,,,,,,,,
19,බෝල්ලා,Big eye scade,540,1445,1366.66,-0.05421453287197226,1.530851851851852,,, ,
20,ගින්නටි පරව්,Ginnati paraw,820,1977.5,1893.33,-0.042563843236409646,,,,,
21,හබරලි,Needle fish,760,,1275,,,,, ,
22,හැඩැල්ලා,Indian Anchovy,990,2040,2026.66,-0.00653921568627447,1.0471313131313131,,,,
23,ජීලාවා,Barracuda,1010,,,,,,,,
24,ලින්නා,Indian Scade,542,1313.33,1104,-0.15938872941301876,1.03690036900369,,,,
25,ලේන පරව්,Rainbow runner,620,1455,1256,-0.13676975945017184,1.0258064516129033,,,,
26,සුද්දා,Threadfin bream,702.5,1823.33,1930,0.05850284918253968,1.7473309608540926,,,,
27,සූඩයා,White Sardinella,200,780,720,-0.07692307692307693,2.6,,,,
28,දැල්ලා,Cuttle fish,1180,1995,2066.66,0.035919799498746796,0.7514067796610169,,,,
29,කකුළුවා,Sea Crabs(L),,3040,3133.33,0.03070065789473682,,,,,
30,තිලාපියා,Thilapia (M),,980,1020,0.04081632653061224,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,,
Maharagama and Dematagoda fish markets.,,,440,,,,,,,,
**Retail Price collection done by Telephone,,,,,,,,,,,
