--- 01-Wholesale.csv ---

Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Variety,,,2022,2023,,% Change   compared to:3rd week of Nov.2023,, ,,,,,,,,
Sinhala Name,,Common Name,3rd week of Nov,2nd week of Nov,3rd week of Nov,Last week ,Last Year,,, , , ,,,,
1,තෝරා,Seer (L),1675,1342.786,1542.86,0.14899917038157967,-0.07888955223880603,, ,,,,, ,,
2,පරව් (ලොකු),Trevally (L),1050,878.57,1033.33,0.17614987991850378,-0.015876190476190547,  , , ,, ,, ,,
3,ගල්මාළු (ලොකු),Rock fish (L),914.29,866.67,935.71,0.07966123207218444,0.02342801518117892, , , , ,,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),706.25,770,620,-0.19480519480519481,-0.12212389380530973,, ,, , , ,,,
5,තලපත්,Sail fish,1842.86,1571.43,1457.14,-0.07272993388187826,-0.20930510185255516,,,,, ,,,,
6,බලයා,Skipjack tuna,575,600,664.29,0.10714999999999994,0.15528695652173907,,, ,, , ,,,
7,කෙළවල්ලා,Yellowfin tuna,1016.67,1121.43,1183.33,0.05519738191416304,0.1639273313857987, ,,,,,,,,
8,සාලයා (මට්ට),Sardinella,521.43,204.29,264.29,0.29370013216505964,-0.4931438544003988,,,,,,,,,
9,මෝරා,Sharks,766.67,1066.67,980,-0.08125287108477793,0.27825531193342645,,,,, , ,,,
10,හුරුල්ලා,Herrings,512.5,371.43,364.29,-0.01922300298845001,-0.28919024390243897,,,,,,,,,
11,කුම්බලා,Indian Mackerel,539.29,460.71,414.29,-0.10075752642660234,-0.23178623746036447,,,,,,,,,
,කාරල්ලා,Pony fish,256,258.33,250,-0.03224557736228849,-0.0234375,,,,,,,,,
,කටුවල්ලා,Katuwalla,300,295,400,0.3559322033898305,0.3333333333333333,,, ,,,,,,
14,හාල්මැස්සා,Anchovy,339.29,362.5,341.67,-0.0574620689655172,0.007014648236022268,,, ,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1533.33,1266.67,1300,0.026313088649766652,-0.15217206993928242,,,,,,,,,
16, කොප්පරා,Marlins,2164.29,1757.14,1657.14,-0.05691066164335226,-0.23432626866085407,, ,,,,,,,
17,අලගොඩුවා,Frigate tuna(L),566.25,500,616.67,0.2333399999999999,0.08904194260485644,,,,,,,,,
18,ඇටවල්ලා,Kawakawa,671.43,631,714.29,0.13199683042789218,0.06383390673636867,,, ,,,,,,
19,ඇටිස්සා,Red Bream(L),975,914.29,1000,0.09374487307090752,0.02564102564102564,,,,,,,,,
20,බෝල්ලා,Big eye scade,571.43,355,414.29,0.1670140845070423,-0.27499431251421863,,,, ,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,650,596,683.33,0.14652684563758397,0.05127692307692314,, ,,, ,,,,
22,හබරලි,Needle fish,707.14,650,750,0.15384615384615385,0.0606103459003875,,,,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1021.43,1057.14,1242.86,0.1756815558960968,0.21678431218977312,, , ,,,,,,
24,ජීලාවා,Barracuda(L),917.86,807.14,1016.67,0.2595956091879971,0.10765258318262039,,, ,,,,,,
25,ලින්නා,Indian Scad(L),532.14,454.29,493.57,0.08646459310132287,-0.07248092607208628,,, ,,,,,,
26,ලින්නා,Indian Scad(S),424.17,416.67,391.67,-0.059999520003839964,-0.07662022302378763,,,,,,,,,
27,ලේන පරව්,Rainbow Runner,566.67,591.67,490.71,-0.17063565839065692,-0.13404627031605693,,,,,,,,,
28,සුද්දා,Threadfin  Bream,735.71,529.17,635.71,0.20133416482415875,-0.13592312188226338,,, ,,,,,, 
29,සූඩයා,White Sardinella,302.5,144.29,144.17,-0.0008316584655901625,-0.523404958677686,,,,,, ,,,
30,දැල්ලා,Squids /Cuttle fish,1650,1500,1620,0.08,-0.01818181818181818,,,,,,,,,
31,කකුළුවා(L),Sea Crabs(L),2042.86,1937.5,2083.33,0.0752670967741935,0.01981046180354994,,,, ,,,,,
32,තිලාපියා,Tilapia (M),400,,425,,0.0625,,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,,,,

--- 02-Retail.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Variety,,,2022,2023,2023,Compared to Average of 3rd week of  November,,,,,
Sinhala Name,,Common Name,Average of 3rd week of  November,Average of 2ndweek of  November,Average of 3rd week of  November,Last week ,Last Year,,,,
1,තෝරා,Seer,3056,3040,3360,0.10526315789473684,0.09947643979057591,,,,
2,පරව් (ලොකු),Trevally (L),2220,2010,2198,0.09353233830845771,-0.00990990990990991,,,, 
3,ගල්මාළු (ලොකු),Rock Fish (L),1910,1950,1920,-0.015384615384615385,0.005235602094240838,,,,
4,තලපත්,Sail fish,2913.33,2573,2553,-0.00777302759424796,-0.12368320787552387,,,,
5,බලයා,Skipjack tuna,1150,1090,1156,0.060550458715596334,0.0052173913043478265,,,,
6,කෙළවල්ලා,Yellowfin tuna,2215,2165,2197,0.014780600461893764,-0.008126410835214447,,,,
7,සාලයා (මට්ට),Sardinella,652,457,505,0.1050328227571116,-0.2254601226993865,,,,
8,මෝරා,Shark,1645,1800,1740,-0.03333333333333333,0.057750759878419454,,,,
9,හුරුල්ලා,Herrings,895,608,625,0.027960526315789474,-0.3016759776536313,,,,
10,කුම්බලා,Indian mackerel,925,802,825,0.028678304239401497, ,,,,
11,කාරල්ලා,Pony fish,,520,,,,,,,
12,කටුවල්ලා,Katuwalla,,,,,,,,,
13,හාල්මැස්සා,Anchovies,626.66,567,,,,,,,
14,ඉස්සා (M),Prawns (M),1842.5,1712,1721.67,0.005648364485981351,-0.06557937584803253,,,,
15, කොප්පරා,Marlins,3590,2967.5,2945,-0.007582139848357203,-0.1796657381615599,,,,
16,අලගොඩුවා,Frigate tuna,860,820,910,0.10975609756097561,0.05813953488372093,,,,
17,ඇටවල්ලා,Kawakawa,870,847,890,0.05076741440377804,0.022988505747126436,,,,
18,ඇටිස්සා,Red Bream(L),,1700,1720,0.011764705882352941,,,,,
19,බෝල්ලා,Big eye scade,815,563,708,0.25754884547069273,-0.1312883435582822,,,,
20,ගින්නටි පරව්,Ginnati paraw,946.66,920,1020,0.10869565217391304,0.07747237656603219,,,,
21,හබරලි,Needle fish,973.33,977,,,,,,,
22,හැඩැල්ලා,Indian Anchovy,1380,1310,1506.67,0.15012977099236646,0.09178985507246382,,,,
23,ජීලාවා,Barracuda,1990,1560,1988,0.2743589743589744,-0.0010050251256281408,,,,
24,ලින්නා,Indian Scade,836.66,657.5,680,0.034220532319391636,-0.18724451987665236,,,,
25,ලේන පරව්,Rainbow runner,840,909,920,0.0121012101210121,0.09523809523809523,,,,
26,සුද්දා,Threadfin bream,1227.5,830,970,0.1686746987951807,-0.20977596741344195,,,,
27,සූඩයා,White Sardinella,480,265,280,0.05660377358490566,-0.4166666666666667,,,,
28,දැල්ලා,Cuttle fish,2032.5,1915,2165,0.13054830287206268,0.06519065190651907,,,,
29,කකුළුවා,Sea Crabs(L),2515,2527,2528,0.0003957261574990107,0.005168986083499006,,,,
30,තිලාපියා,Thilapia (M),1005,,880,,-0.12437810945273632,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,
,,,,,,, ,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,, ,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
