Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Variety,,,2019,2020,2021,,"% Change  2nd  week of August 2021, compared to:",,,,
Sinhala Name,,Common Name,August 2nd week average,August 2nd week average,August 1st week average,August 2nd week average,Last week ,Last Year,2019.0,,
1,තෝරා,Seer,1613,1736,2666.66,2340,-0.12249780624451556,0.347926267281106,0.45071295722256666,,
2,පරව් (ලොකු),Trevally (L),1136.11,1253.3333333333333,1333.33,1380,0.03500258750646882,0.1010638297872341,0.2146711145927772,,
3,ගල්මාළු (ලොකු),Rock Fish (L),740,1320,1280,1290,0.0078125,-0.022727272727272728,0.7432432432432432,, 
4,තලපත්,Sail fish,1208.33,1320,1538,1513.33,-0.016040312093628134,0.14646212121212115,0.2524144894192812,,
5,බලයා,Skipjack tuna,820,840,833.33,810,-0.027996111984447986,-0.03571428571428571,-0.012195121951219513,,
6,කෙළවල්ලා,Yellowfin tuna,1025,1200,1340,1186.6666666666667,-0.11442786069651735,-0.011111111111111047,0.15772357723577243,,
7,සාලයා (මට්ට),Sardinella,240,368,350,360,0.02857142857142857,-0.021739130434782608,0.5,,
8,මෝරා,Shark,990,920,1100,,,-1,-1.0,,
9,හුරුල්ලා,Herrings,566.67,575,640,600,-0.0625,0.043478260869565216,0.05881730107469964,,
10,කුම්බලා,Indian mackerel,550,673.3333333333334,670,640,-0.04477611940298507,-0.049504950495049556,0.16363636363636364,,
11,කාරල්ලා,Pony fish,200,180,290,,,,,,
12,කටුවල්ලා,Katuwalla,­,,,,,,,,
13,හාල්මැස්සා,Anchovies,­,,520,,,,,,
14,ඉස්සා (M),Prawns (M),1258.67,1255,1110,1193.3333333333333,0.075075075075075,-0.04913678618857908,-0.05190929049446385,,
15, කොප්පරා,Marlins,960,,1720,1720,0,,0.7916666666666666,,
16,අලගොඩුවා,Frigate tuna,460,440,610,,,,,,
17,ඇටවල්ලා,Kawakawa,486.67,540,580,620,0.06896551724137931,,0.27396387695974683,,
18,ඇටිස්සා,Red Bream,760,1000,1160,1100,-0.05172413793103448,,0.4473684210526316,,
19,බෝල්ලා,Big eye scade,460,560,500,560,0.12,,0.21739130434782608,,
20,ගින්නටි පරව්,Ginnati paraw,960,,890,940,0.056179775280898875,,-0.020833333333333332,,
21,හබරලි,Needle fish,720,400,800,,,,-1.0,,
22,හැඩැල්ලා,Indian Anchovy,860,990,1060,1100,0.03773584905660377,0.1111111111111111,0.27906976744186046,,
23,ජීලාවා,Barracuda,480,390,1190,1190,0,,1.4791666666666667,,
24,ලින්නා,Indian Scade,469.33,544,565,582,0.03008849557522124,0.06985294117647059,0.24006562546609,,
25,ලේන පරව්,Rainbow runner,640,560,626.66,653.3333333333334,0.04256428259875116,0.16666666666666674,0.02083333333333339,,
26,සුද්දා,Threadfin bream,600,616.6666666666666,730,776.6666666666666,0.06392694063926936,0.2594594594594595,0.2944444444444444,,
27,සූඩයා,White Sardinella,­,,,,,,,,
28,දැල්ලා,Cuttle fish,760,693.3333333333334,1180,1180,0,0.7019230769230769,0.5526315789473685,,
29,කකුළුවා,Sea Crabs(L),­,1200,,1440,,0.2,,,
30,තිලාපියා,Thilapia (M),525,,600,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,440,,,,,,,
