Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Variety,,,2023,2024,,Compared to Average of 4th  week of April 2024,,, ,,,,,,
Sinhala Name,,Common Name,Average of 4th  week of  April,Average of 3rd  week of  April,Average of 4th  week of  April,Last week ,Last Year,,, ,,,,,
1,තෝරා,Seer,3093,3266.67,3363.33,0.02958976572472881,0.08740058195926283,,, ,,,, ,
2,පරව් (ලොකු),Trevally (L),2410,2220,2313.33,0.04204054054054051,-0.040112033195020776,, , , ,,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),1974,2120,2126.67,0.003146226415094374,0.07734042553191493,,, ,,,,,
4,තලපත්,Sail fish,2777,2548,2563.33,0.006016483516483488,-0.07694274396831115,,,,,,,,
5,බලයා,Skipjack tuna,1473,1280,1210,-0.0546875,-0.17854718262050237,,,,,,,,
6,කෙළවල්ලා,Yellowfin tuna,2360,2060,1996,-0.031067961165048542,-0.15423728813559323,,,, ,,,,
7,සාලයා (මට්ට),Sardinella,745,655,696.67,0.06361832061068697,-0.06487248322147657,,,,, ,,,
8,මෝරා,Shark,1700,1910,2120,0.1099476439790576,0.24705882352941178,,,,,,,,
9,හුරුල්ලා,Herrings,1110,936.67,960,0.024907384671228973,-0.13513513513513514,,,,,,,,
10,කුම්බලා,Indian mackerel,1105,1093.33,1203.33,0.10061006283555743,0.08898642533936645,,,,,,,,
11,කාරල්ලා,Pony fish,693,420,,, ,,,,,,,,
12,කටුවල්ලා,Katuwalla,960,,735,, ,,,,,,,,
13,හාල්මැස්සා,Anchovies,733,910,880,-0.03296703296703297,0.20054570259208732,,,,,,,,
14,ඉස්සා (M),Prawns (M),1715,2235,2236,0.00044742729306487697,0.30379008746355685,,,,,,,,
15, කොප්පරා,Marlins,3130,3160,3170,0.0031645569620253164,0.012779552715654952,,,,,,,,
16,අලගොඩුවා,Frigate tuna,805,1205,1220,0.012448132780082987,0.515527950310559,,,,,,,,
17,ඇටවල්ලා,Kawakawa,1087,1240,1240,0,0.140754369825207,,,,,,,,
18,ඇටිස්සා,Red Bream(L),1490,1860,1710,-0.08064516129032258,0.1476510067114094,,,, ,,,,
19,බෝල්ලා,Big eye scade,1140,1160,1170,0.008620689655172414,0.02631578947368421,,,,,,,,
20,ගින්නටි පරව්,Ginnati paraw,1535,,1626.67,,0.059719869706840435,,,,,,,, 
21,හබරලි,Needle fish,1200,1320,1360,0.030303030303030304,0.13333333333333333,,,,,,,,
22,හැඩැල්ලා,Indian Anchovy,1786,1360,1440,0.058823529411764705,-0.1937290033594625,,,,,,,,
23,ජීලාවා,Barracuda,2220,2030,2040,0.0049261083743842365,-0.08108108108108109,,,,,,,,
24,ලින්නා,Indian Scade,1095,994,1016.67,0.022806841046277625,-0.0715342465753425,,,,,,,,
25,ලේන පරව්,Rainbow runner,1110,1205,1190,-0.012448132780082987,0.07207207207207207,,,,,,,,
26,සුද්දා,Threadfin bream,1490,1245,1296,0.04096385542168675,-0.13020134228187918,,,,,,,,
27,සූඩයා,White Sardinella,540,473.33,460,-0.028162170156127826,-0.14814814814814814,,,,,,,,
28,දැල්ලා,Cuttle fish,2058,1813.33,1850,0.020222463644234683,-0.1010689990281827,,,,,,,,
29,කකුළුවා,Sea Crabs(L),2577,2670,2673.33,0.001247191011235928,0.03738067520372523,,,,,,,,
30,තිලාපියා,Thilapia (M),,1020,1050,0.029411764705882353, ,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
