Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2018,2019,,"% Change 3rd week August 2019, compared to:",
Sinhala Name,,Common Name,3rd week August,2nd week August,3rd week August,Last week ,Last Year
1,තෝරා,Seer (Nl),1620,1504.17,1540,0.023820445827266817,-0.04938271604938271
2,පරව් (ලොකු),Trevally (L),612.5,683.33,633.33,-0.07317108863945677,0.03400816326530619
3,ගල්මාළු (ලොකු),Rock fish (L),­,­,350,­,­
4,තලපත්,Sail fish,632,718.75,724.29,0.007707826086956471,0.14602848101265817
5,බලයා,Skipjack tuna,392,366.67,416,0.13453514058963095,0.061224489795918366
6,කෙළවල්ලා,Yellowfin tuna,725,660,658.33,-0.0025303030303029683,-0.09195862068965512
7,සාලයා (මට්ට),Sardinella,231,218.33,251.43,0.15160536802088578,0.08844155844155847
8,මෝරා,Sharks,600,612.5,587.5,-0.04081632653061224,-0.020833333333333332
9,හුරුල්ලා,Herrings,325,403.75,390,-0.034055727554179564,0.2
10,කුම්බලා,Indian Mackerel,576,485,531.43,0.0957319587628865,-0.07737847222222231
11,කාරල්ලා,Pony fish,180,­,150,­,-0.16666666666666666
12,කටුවල්ලා,Katuwalla,­,270,­,­,­
13,හාල්මැස්සා,Anchovy,428,305,320,0.04918032786885246,-0.2523364485981308
14,ඉස්සා (M),"Prawns (M) 3""",1020,900,914.29,0.015877777777777737,-0.10363725490196082
15, කොප්පරා,Marlins,812,877.5,888,0.011965811965811967,0.09359605911330049
16,අලගොඩුවා,Frigate tuna,314,350,395,0.12857142857142856,0.25796178343949044
17,ඇටවල්ලා,Atawalla,452,380,445,0.17105263157894737,-0.015486725663716814
18,ඇටිස්සා,Red Bream,665,600,650,0.08333333333333333,-0.022556390977443608
19,බෝල්ලා,Big eye scade,430,355,380,0.07042253521126761,-0.11627906976744186
20,ගින්නටි පරව්,Ginnati Paraw,641,725,724.17,-0.001144827586206953,0.12975039001560057
21,හබරලි,Needle fish,573,553,564.29,0.020415913200723262,-0.015200698080279296
22,හැඩැල්ලා,Indian Anchovies,831,825,654.29,-0.20692121212121217,-0.21264741275571605
23,ජීලාවා,Barracuda,700,300,680,1.2666666666666666,-0.02857142857142857
24,ලින්නා,Indian Scad,344,355,371.67,0.04695774647887328,0.08043604651162796
25,ලේන පරව්,Rainbow Runner,362.5,350,471.43,0.34694285714285716,0.300496551724138
26,සුද්දා,Threadfin  Bream,583.3,530,383.33,-0.2767358490566038,-0.342825304303103
27,සූඩයා,White Sardinella,180,166.67,158,-0.05201895962080751,-0.12222222222222222
28,දැල්ලා,Squids /Cuttle fish,846,700,907.14,0.2959142857142857,0.07226950354609928
29,කකුළුවා,Sea Crabs,500,610,590,-0.03278688524590164,0.18
30,තිලාපියා,Tilapia (M),420,346,326.67,-0.05586705202312134,-0.22221428571428567
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,
