Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Variety,,,2023,2024,,Compared to Average of 1st  week of April 2024,,,,,,,,,
Sinhala Name,,Common Name,Average of 1st  week of  April,Average of 4th  week of  March,Average of 1st  week of  April,Last week ,Last Year,,, ,,,,,
1,තෝරා,Seer,2912,3176,3176,0,0.09065934065934066,,, ,,,, ,
2,පරව් (ලොකු),Trevally (L),2305,2095,2160,0.031026252983293555,-0.06290672451193059,, , , ,,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2300,2006.67,2040,0.01660960696078574,-0.11304347826086956,,, ,,,,,
4,තලපත්,Sail fish,2295,2313.33,2480,0.07204765424734044,0.08061002178649238,,,,,,,,
5,බලයා,Skipjack tuna,1355,1096.67,1320,0.20364375792170836,-0.025830258302583026,,,,,,,,
6,කෙළවල්ලා,Yellowfin tuna,1856,1746.67,1896.67,0.08587769870668185,0.02191271551724142,,,, ,,,,
7,සාලයා (මට්ට),Sardinella,695,645,616,-0.04496124031007752,-0.11366906474820145,,,,,,,,
8,මෝරා,Shark,1900,1890,2040,0.07936507936507936,0.07368421052631578,,,,,,,,
9,හුරුල්ලා,Herrings,980,986.67,864,-0.12432728267809902,-0.11836734693877551,,,,,,,,
10,කුම්බලා,Indian mackerel,1010,1066.67,1050,-0.01562807616226206,0.039603960396039604,,,,,,,,
11,කාරල්ලා,Pony fish,,450,460,0.022222222222222223,,,,,,,,,
12,කටුවල්ලා,Katuwalla,885,690,,,-1,,,,,,,,
13,හාල්මැස්සා,Anchovies,760,660,760,0.15151515151515152,0,,,,,,,,
14,ඉස්සා (M),Prawns (M),1775,2216.67,2220,0.0015022533800700723,0.2507042253521127,,,,,,,,
15, කොප්පරා,Marlins,2980,2795,3166.67,0.13297674418604655,0.06264093959731547,,,,,,,,
16,අලගොඩුවා,Frigate tuna,1020,960,1020,0.0625,0,,,,,,,,
17,ඇටවල්ලා,Kawakawa,1035,1010,1030,0.019801980198019802,-0.004830917874396135,,,,,,,,
18,ඇටිස්සා,Red Bream(L),1575,1600,1720,0.075,0.09206349206349207,,,, ,,,,
19,බෝල්ලා,Big eye scade,1030,950,980,0.031578947368421054,-0.04854368932038835,,,,,,,,
20,ගින්නටි පරව්,Ginnati paraw,1390,1210,1230,0.01652892561983471,-0.11510791366906475,,,,,,,, 
21,හබරලි,Needle fish,1100,1050,1080,0.02857142857142857,-0.01818181818181818,,,,,,,,
22,හැඩැල්ලා,Indian Anchovy,1627,1666.67,1693.33,0.015995968008063896,0.04076828518746154,,,,,,,,
23,ජීලාවා,Barracuda,1927,1793.33,1860,0.03717664902722872,-0.03476907109496627,,,,,,,,
24,ලින්නා,Indian Scade,997.5,916.67,884,-0.03563987040047123,-0.11378446115288221,,,,,,,,
25,ලේන පරව්,Rainbow runner,1060,1126.67,1170,0.038458466099212656,0.10377358490566038,,,,,,,,
26,සුද්දා,Threadfin bream,1360,1212,1220,0.006600660066006601,-0.10294117647058823,,,,,,,,
27,සූඩයා,White Sardinella,420,410,420,0.024390243902439025,0,,,,,,,,
28,දැල්ලා,Cuttle fish,1940,1780,1760,-0.011235955056179775,-0.09278350515463918,,,,,,,,
29,කකුළුවා,Sea Crabs(L),2453,2640,2650,0.003787878787878788,0.08030982470444353,,,,,,,,
30,තිලාපියා,Thilapia (M),1100,,1020,,-0.07272727272727272,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
