Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Variety,,,2022,2023,,"% Change 2nd week of Apr. 2023, compared to:",, ,,,,,
Sinhala Name,,Common Name,2nd week of Apr.,1st week of Apr.,2nd week of Apr.,Last week ,Last Year,,,,,,
1,තෝරා,Seer (L),1142.86,1333.33,1850,0.387503468758672,0.6187459531351173,,,,,,
2,පරව් (ලොකු),Trevally (L),790,975,1430,0.4666666666666667,0.810126582278481,  ,, , ,,
3,ගල්මාළු (ලොකු),Rock fish (L),850,1150,1460,0.26956521739130435,0.7176470588235294, ,, ,,,
4,ගල්මාළු (පොඩි),Rock fish (S),633.33,900,1200,0.3333333333333333,0.8947468144569181,, ,,, , 
5,තලපත්,Sail fish,1300,1266.67,1550,0.2236809903131833,0.19230769230769232,,,,,,
6,බලයා,Skipjack tuna,528.57,704.17,850,0.20709487765738394,0.6081124543579846,,,,,,
7,කෙළවල්ලා,Yellowfin tuna,1050,915,1121.67,0.22586885245901647,0.06825714285714293, ,,,,, 
8,සාලයා (මට්ට),Sardinella,225.71,437,654.17,0.49695652173913035,1.898276549554738,,,,,,
9,මෝරා,Sharks,,900,1300,0.4444444444444444,,,,,,,
10,හුරුල්ලා,Herrings,475,685,785.71,0.14702189781021904,0.6541263157894738,,,,,,
11,කුම්බලා,Indian Mackerel,595.83,725,921.43,0.2709379310344827,0.546464595606129,,,,,,
12,කාරල්ලා,Pony fish,343.33,341.67,433.33,0.2682705534580149,0.26213846736376084,,,,,,
13,කටුවල්ලා,Katuwalla,325,437.5,666.67,0.5238171428571428,1.0512923076923075,,, ,,,
14,හාල්මැස්සා,Anchovy,356.25,543.75,525,-0.034482758620689655,0.47368421052631576,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1012.5,1325,1325,0,0.30864197530864196,,,,,,
16, කොප්පරා,Marlins,1470,1458.33,1950,0.33714591347637374,0.32653061224489793,, ,,,,
17,අලගොඩුවා,Frigate tuna(L),437.5,616.67,940,0.5243160847779202,1.1485714285714286,,,,,,
18,ඇටවල්ලා,Kawakawa,558.33,770.83,1075,0.39460062530000123,0.925384629161965,,, ,,,
19,ඇටිස්සා,Red Bream(L),900,1190,1500,0.2605042016806723,0.6666666666666666,,,,,,
20,බෝල්ලා,Big eye scade,529.17,690,853.57,0.23705797101449283,0.6130355084377423,,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,683.33,950,1225,0.2894736842105263,0.792691671666691,, ,,, ,
22,හබරලි,Needle fish,875,885,1150,0.2994350282485876,0.3142857142857143,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1110,1020,1300,0.27450980392156865,0.17117117117117117,, , ,,,
24,ජීලාවා,Barracuda(L),825,941.67,1400,0.4867204009897311,0.696969696969697,,, ,,,
25,ලින්නා,Indian Scad(L),571,770.83,900,0.1675726165302336,0.5761821366024519,,,,,,
26,ලින්නා,Indian Scad(S),306.25,533.33,766.67,0.43751523447021523,1.503412244897959,,,,,,
27,ලේන පරව්,Rainbow Runner,495.83,670,850,0.26865671641791045,0.7142972389730352,,,,,,
28,සුද්දා,Threadfin  Bream,650,940,1100,0.1702127659574468,0.6923076923076923,,, ,,,
29,සූඩයා,White Sardinella,129,310,380,0.22580645161290322,1.945736434108527,,,,,, 
30,දැල්ලා,Squids /Cuttle fish,1103.57,1471.43,1750,0.18931923367064687,0.5857625705664344,,,,,,
31,කකුළුවා(L),Sea Crabs(L),1350,1730,1870,0.08092485549132948,0.3851851851851852,,,, ,,
32,තිලාපියා,Tilapia (M),,350,,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,
