Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Variety,,,2021,2022,,"% Change 4th week of Aug. 2022, compared to:",,,,,
Sinhala Name,,Common Name,Average of Aug. 4th week,Average of Aug. 3rd week,Average of Aug. 4th week,Last week ,Last Year,,,,
1,තෝරා,Seer,2402.5,4060,4010,-0.012315270935960592,0.6690946930280958,,,,
2,පරව් (ලොකු),Trevally (L),1460,3004,3390,0.1284953395472703,1.321917808219178,,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),1350,2710,2810,0.03690036900369004,1.0814814814814815,,,,
4,තලපත්,Sail fish,1565,3236,3333.33,0.030077255871446208,1.129923322683706,,,,
5,බලයා,Skipjack tuna,816.33,1786.66,1810,0.013063481580155103,1.2172405767275487,,,,
6,කෙළවල්ලා,Yellowfin tuna,1200,3085,2985,-0.03241491085899514,1.4875,,,,
7,සාලයා (මට්ට),Sardinella,360,1033.33,893.33,-0.13548430801389671,1.4814722222222223,,,,
8,මෝරා,Shark,960,2210,1973.33,-0.028825187969924882,,,,,
9,හුරුල්ලා,Herrings,592.5,1285,1352,0.052140077821011675,1.2818565400843882,,,,
10,කුම්බලා,Indian mackerel,667.5,1706.66,1707.5,0.0004921894226148841,1.5580524344569289,,,,
11,කාරල්ලා,Pony fish,,820,,,,,,,
12,කටුවල්ලා,Katuwalla,,,,,,,,,
13,හාල්මැස්සා,Anchovies,500,,1120,,1.24,,,,
14,ඉස්සා (M),Prawns (M),1102.5,2012,2030,0.008946322067594433,0.8412698412698413,,,, 
15, කොප්පරා,Marlins,1580,3610,3765,0.04293628808864266,1.3829113924050633,,,,
16,අලගොඩුවා,Frigate tuna,480,1240,1253.33,0.010749999999999942,,,,,
17,ඇටවල්ලා,Kawakawa,570,1386.66,,,,, ,,
18,ඇටිස්සා,Red Bream,,,,,,,,,
19,බෝල්ලා,Big eye scade,600,1366.66,1386.66,0.014634217727891355,1.3111000000000002,,,,
20,ගින්නටි පරව්,Ginnati paraw,820,1893.33,1940,0.024649691284667794,,,,,
21,හබරලි,Needle fish,666.67,1275,1230,-0.03529411764705882,0.8449907750461249,,,,
22,හැඩැල්ලා,Indian Anchovy,1067.5,2026.66,1812.5,-0.10567140023486923,0.6978922716627635,,,,
23,ජීලාවා,Barracuda,1040,,3193.33,,2.070509615384615,,,,
24,ලින්නා,Indian Scade,521.67,1104,1100,-0.0036231884057971015,1.1086127245193322,,,,
25,ලේන පරව්,Rainbow runner,635,1256,1260,0.0031847133757961785,0.984251968503937,,,,
26,සුද්දා,Threadfin bream,793.33,1930,1780,-0.07772020725388601,1.2437069063315391,,,,
27,සූඩයා,White Sardinella,290,720,660,-0.08333333333333333,1.2758620689655173,,,,
28,දැල්ලා,Cuttle fish,1146.67,2066.66,1980,-0.041932393330301,0.7267391664559113,,,,
29,කකුළුවා,Sea Crabs(L),1650,3133.33,3140,0.002128725668857118,0.9030303030303031,,,,
30,තිලාපියා,Thilapia (M),,1020,960,-0.058823529411764705,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,,
Maharagama and Dematagoda fish markets.,,,440,,,,,,,,
**Retail Price collection done by over the phone,,,,,,,,,,,
