Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Variety,,,2021,2022,,"% Change 4th week of Aug. 2022, compared to:",, ,,
Sinhala Name,,Common Name,4th week of Aug.,3rd week of Aug.,4th week of Aug.,Last week ,Last Year,,,
1,තෝරා,Seer (Nl),1260,2825,2400,-0.1504424778761062,0.9047619047619048,,2400.0,
2,පරව් (ලොකු),Trevally (L),665,1560,1750,0.12179487179487179,1.631578947368421,  ,1750.0,
3,ගල්මාළු (ලොකු),Rock fish (L),710,1712.5,1900,0.10948905109489052,1.676056338028169, ,1900.0,
4,ගල්මාළු (පොඩි),Rock fish (S),550,1066.67,1637.5,0.5351514526517104,1.9772727272727273,,2433.33,
5,තලපත්,Sail fish,1035,2214.29,2433.33,0.09892109886238928,1.3510434782608696,,935.71,
6,බලයා,Skipjack tuna,388.33,866.67,935.71,0.07966123207218444,1.4095743311101385,,1650.0,
7,කෙළවල්ලා,Yellowfin tuna,540,1840,1650,-0.10326086956521739,2.0555555555555554, ,685.71,
8,සාලයා (මට්ට),Sardinella,225.83,719.29,685.71,-0.04668492541255951,2.0363990612407563,,1300.0,
9,මෝරා,Sharks,625,1221.67,1300,0.06411715111282092,1.08,,1050.0,
10,හුරුල්ලා,Herrings,360,850,1050,0.23529411764705882,1.9166666666666667,,1235.71,
11,කුම්බලා,Indian Mackerel,400,1150,1235.71,0.07453043478260872,2.089275,,537.5,
12,කාරල්ලා,Pony fish,176,500,537.5,0.075,2.053977272727273,,616.67,
13,කටුවල්ලා,Katuwalla,285,533.33,616.67,0.15626347664672888,1.1637543859649122,,680.0,
14,හාල්මැස්සා,Anchovy,318.33,,680,,,,1550.0,
15,ඉස්සා (M),"Prawns (M) 3""",841.67,1570,1550,-0.012738853503184714,0.8415768650421187,,2475.0,
16, කොප්පරා,Marlins,1175,2350,2475,0.05319148936170213,1.1063829787234043,,700.0, 
17,අලගොඩුවා,Frigate tuna(L),307.5,633.33,700,0.10526897509986888,1.2764227642276422,,1010.71,
18,ඇටවල්ලා,Kawakawa,430,740,1010.71,0.3658243243243244,1.3504883720930234,,1900.0,
19,ඇටිස්සා,Red Bream(L),708.33,1860,1900,0.021505376344086023,1.6823655640732427,,1050.0,
20,බෝල්ලා,Big eye scade,327.5,900,1050,0.16666666666666666,2.2061068702290076,,1353.13,
21,ගින්නටි පරව්,Ginnati Paraw,650,950,1353.13,0.42434736842105275,1.0817384615384618,,1140.0, 
22,හබරලි,Needle fish,503.33,1320,1140,-0.13636363636363635,1.264915661693124,,1357.14,
23,හැඩැල්ලා,Indian Anchovies,837.5,1375,1357.14,-0.012989090909090836,0.6204656716417911,,1583.33, 
24,ජීලාවා,Barracuda(L),712.5,1300,1583.33,0.2179461538461538,1.222217543859649,,787.86,
25,ලින්නා,Indian Scad(L),340.83,757.14,787.86,0.04057373801410575,1.3115922894111436,,858.33,
26,ලින්නා,Indian Scad(S),274.17,670,743.33,0.10944776119402991,1.7112010796221322,,1366.67,
27,ලේන පරව්,Rainbow Runner,385.83,842.86,858.33,0.018354175070593014,1.2246326102169351,,450.71,
28,සුද්දා,Threadfin  Bream,445.83,1475,1366.67,-0.07344406779661013,2.065450956642667,,1635.71,
29,සූඩයා,White Sardinella,160,542.86,450.71,-0.1697491065836496,1.8169374999999999,,2175.0,
30,දැල්ලා,Squids /Cuttle fish,910,1628.57,1635.71,0.004384214372117932,0.7974835164835166,,500.0,
31,කකුළුවා(L),Sea Crabs(L),1150,2040,2175,0.0661764705882353,0.8913043478260869,,,
32,තිලාපියා,Tilapia (M),400,700,500,-0.2857142857142857,0.25,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,
