Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Variety,,,2024,2025,,% Change   compared to:1st week of Oct. 2025,, ,,,, ,,
Sinhala Name,,Common Name,1st  week of Oct.,4th  week of Sep,1st  week of Oct.,Last week ,Last Year,, , ,,,,
1,තෝරා,Seer,3726.67,4320,4390,0.016203703703703703,0.17799536851934836,, , ,, ,,
2,පරව් (ලොකු),Trevally (L),2260,2656,2626.67,-0.01104292168674696,0.16224336283185845, , , , ,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2090,2240,2190,-0.022321428571428572,0.04784688995215311,, ,, ,,,
4,තලපත්,Sail fish,2896.67,2936,3016,0.027247956403269755,0.04119557975192201,,, , , ,,
5,බලයා,Skipjack tuna,1200,1840,1950,0.059782608695652176,0.625,,,, ,,,
6,කෙළවල්ලා,Yellowfin tuna,2270,2793.33,2875,0.02923750505668864,0.2665198237885463,,, , , ,, 
7,සාලයා (මට්ට),Sardinella,532,610,590,-0.03278688524590164,0.10902255639097744,,, , ,, ,
8,මෝරා,Shark,1722.5,2080,2040,-0.019230769230769232,0.18432510885341075,,,,,,,
9,හුරුල්ලා,Herrings,930,1120,995,-0.11160714285714286,0.06989247311827956,, ,,,,,
10,කුම්බලා,Indian mackerel,910,1280,1005,-0.21484375,0.1043956043956044,,,,,,, 
11,කාරල්ලා,Pony fish,520,,420,,-0.19230769230769232,,, ,, ,,
12,කටුවල්ලා,Katuwalla,640,,550,,-0.140625,, ,,,,,
13,හාල්මැස්සා,Anchovies,,,,,,,,, , ,,
14,ඉස්සා (M),Prawns (M),1965,2186.67,2236.67,0.022865818802105482,0.1382544529262087,, , ,,,,
15, කොප්පරා,Marlins,3190,3520,3580,0.017045454545454544,0.12225705329153605,,,,,,,
16,අලගොඩුවා,Frigate tuna,920,1190,1193.33,0.002798319327731031,0.29709782608695645,,, , ,,,
17,ඇටවල්ලා,Kawakawa,1010,1153.33,1120,-0.028898927453547493,0.10891089108910891,,, , ,,,
18,ඇටිස්සා,Red Bream(L),1710,1920,1840,-0.041666666666666664,0.07602339181286549,,,,, ,,
19,බෝල්ලා,Big eye scade,920,1106.67,1050,-0.051207677085310044,0.14130434782608695,,,,, ,,
20,ගින්නටි පරව්,Ginnati paraw,,1546.67,,,,,, ,,, ,
21,හබරලි,Needle fish,1160,1360,1190,-0.125,0.02586206896551724,,, ,,,,
22,හැඩැල්ලා,Indian Anchovy,1593.33,1420,1540,0.08450704225352113,-0.03347078131962615,,                                                                                                                                                                                                                                                                                                                                     ,,,,,
23,ජීලාවා,Barracuda(L),2120,,2480,,0.16981132075471697,,,,,,,
24,ලින්නා,Indian Scade,856.67,931.66,852,-0.08550329519352551,-0.005451340656261991,,, ,,,,
25,ලේන පරව්,Rainbow runner,980,940,936.67,-0.0035425531914894054,-0.044214285714285755,,,,,,,
26,සුද්දා,Threadfin bream,910,1333.33,1213.33,-0.09000022500056251,0.33332967032967026,,,,,,,
27,සූඩයා,White Sardinella,340,420,390,-0.07142857142857142,0.14705882352941177,,,,, ,,
28,දැල්ලා,Cuttle fish,2010,2100,2205,0.05,0.09701492537313433,,,,,,,
29,කකුළුවා,Sea Crabs(L),2720,3240,3326.67,0.026750000000000024,0.22304044117647062,,,,,,,
30,තිලාපියා,Thilapia (M),,960,966.67,0.006947916666666624,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,, ,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,
,,,,,,,, ,,,, ,,
