Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Variety,,,2020,2021,2022,,"% Change 4th week of Feb. 2022, compared to:",,, ,,
Sinhala Name,,Common Name,4th  week of Feb.,4th  week of Feb.,3rd  week of Feb.,4th  week of Feb.,Last week ,Last Year,2020.0,,,
1,තෝරා,Seer (Nl),1292.86,,1300,1500,0.15384615384615385,,0.16021843045650735,,,
2,පරව් (ලොකු),Trevally (L),606,550,983.33,833.33,-0.1525428899758982,0.5151454545454546,0.3751320132013202,,,
3,ගල්මාළු (ලොකු),Rock fish (L),387.5,,925,873.33,-0.055859459459459415,,, ,,
4,ගල්මාළු (පොඩි),Rock fish (S),,,600,675,0.125,,,,,
5,තලපත්,Sail fish,657.14,741.67,1116.67,1216.67,0.08955197148665227,0.6404465597907427,0.8514623976625987,,,
6,බලයා,Skipjack tuna,307.86,338.33,575,618.33,0.0753565217391305,0.827594360535572,1.0084778795556422,,,
7,කෙළවල්ලා,Yellowfin tuna,635,506,987.5,1100,0.11392405063291139,1.173913043478261,0.7322834645669292,,,
8,සාලයා (මට්ට),Sardinella,265,160,271.67,256,-0.05768027386167046,0.6,-0.033962264150943396,,,
9,මෝරා,Sharks,650,500,,800,,0.6,0.23076923076923078,,,
10,හුරුල්ලා,Herrings,531.25,446,575,606.43,0.054660869565217304,0.3597085201793721,0.14151529411764696,,,
11,කුම්බලා,Indian Mackerel,550,410,620,626,0.00967741935483871,0.526829268292683,0.13818181818181818,,,
12,කාරල්ලා,Pony fish,150,140,195,200,0.02564102564102564,0.42857142857142855,0.3333333333333333,,,
13,කටුවල්ලා,Katuwalla,333.33,293.33,391.67,356,-0.09107156534838005,0.21365015511539912,0.06801068010680111,,,
14,හාල්මැස්සා,Anchovy,336,203.33,275,330,0.2,0.6229774258594403,-0.017857142857142856,,,
15,ඉස්සා (M),"Prawns (M) 3""",1037.5,876,1032.5,1100,0.06537530266343826,0.2557077625570776,0.060240963855421686,,,
16, කොප්පරා,Marlins,865,846.67,1300,1483.33,0.14102307692307686,0.7519576694579942,0.7148323699421965,,,
17,අලගොඩුවා,Frigate tuna(L),437.5,390,516.67,562.5,0.08870265353126762,0.4423076923076923,0.2857142857142857,,,
18,ඇටවල්ලා,Atawalla,476.67,,660,650,-0.015151515151515152,,0.36362682778442107,,,
19,ඇටිස්සා,Red Bream(L),685,632,900,797.5,-0.11388888888888889,0.26186708860759494,0.16423357664233576,,,
20,බෝල්ලා,Big eye scade,557.5,383.33,586,580,-0.010238907849829351,0.5130566352750894,0.04035874439461883,,,
21,ගින්නටි පරව්,Ginnati Paraw,675,500,700,633.33,-0.09524285714285709,0.26666000000000006,-0.06173333333333327,,,
22,හබරලි,Needle fish,600,469,675,625,-0.07407407407407407,0.3326226012793177,0.041666666666666664,,,
23,හැඩැල්ලා,Indian Anchovies,800,902.5,975,925,-0.05128205128205128,0.024930747922437674,0.15625,,,
24,ජීලාවා,Barracuda(L),675,560,862.5,900,0.043478260869565216,0.6071428571428571,,,,
25,ලින්නා,Indian Scad(L),430,279.17,543,490,-0.09760589318600368,0.7552029229501737,0.13953488372093023,,,
26,ලින්නා,Indian Scad(S),,,390,366,-0.06153846153846154,,,,, 
27,ලේන පරව්,Rainbow Runner,468.33,350,500,500,0,0.42857142857142855,0.06762325710503281,,,
28,සුද්දා,Threadfin  Bream,350,494.17,747.5,712.5,-0.046822742474916385,0.44181152235060805,,,,
29,සූඩයා,White Sardinella,200.71,95,186.67,151.43,-0.18878234317244325,0.5940000000000001,-0.24552837427133675,,,
30,දැල්ලා,Squids /Cuttle fish,741.67,692.5,1212.5,1212.5,0,0.7509025270758123,0.6348241131500534,,,
31,කකුළුවා(L),Sea Crabs(L),450,600,1150,1500,0.30434782608695654,1.5,2.3333333333333335,,,
32,තිලාපියා,Tilapia (M),475,350,350,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,
