Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Variety,,,2022,2023,,"% Change 2nd week of May 2023, compared to:",, ,,,,,
Sinhala Name,,Common Name,2nd week of May,1st week of May,2nd week of May,Last week ,Last Year,,,, ,,
1,තෝරා,Seer (L),1500,1650,1650,0,0.1,, ,,,,
2,පරව් (ලොකු),Trevally (L),1006.67,1225,1250,0.02040816326530612,0.24171774265648133,  ,, , ,,
3,ගල්මාළු (ලොකු),Rock fish (L),950,1350,1280,-0.05185185185185185,0.3473684210526316, ,, ,,,
4,ගල්මාළු (පොඩි),Rock fish (S),700,1200,980,-0.18333333333333332,,, ,,, , 
5,තලපත්,Sail fish,1420,1962.5,1785.71,-0.090084076433121,0.2575422535211268,,,,,,
6,බලයා,Skipjack tuna,715,1000,1021.43,0.02142999999999995,0.4285734265734265,,,,,,
7,කෙළවල්ලා,Yellowfin tuna,1287.5,1375,1371.43,-0.0025963636363635903,0.06518834951456316, ,,,,, 
8,සාලයා (මට්ට),Sardinella,352.5,581.25,440.71,-0.241789247311828,0.250241134751773,,,,,,
9,මෝරා,Sharks,,933.33,1040,0.11428969389176385,,,,,,,
10,හුරුල්ලා,Herrings,641.67,887.5,739.29,-0.1669971830985916,0.15213427462714482,,,,,,
11,කුම්බලා,Indian Mackerel,835,1100,975,-0.11363636363636363,0.16766467065868262,,,,,,
12,කාරල්ලා,Pony fish,300,266.68,340,0.2749362531873406,0.13333333333333333,,,,,,
13,කටුවල්ලා,Katuwalla,500,550,640,0.16363636363636364,0.28,,, ,,,
14,හාල්මැස්සා,Anchovy,450,533.33,591.67,0.10938818367614782,0.3148222222222221,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1150,1212.5,1271.43,0.048602061855670155,0.10559130434782614,,,,,,
16, කොප්පරා,Marlins,1625,2300,2107.14,-0.08385217391304353,0.2967015384615384,, ,,,,
17,අලගොඩුවා,Frigate tuna(L),691.67,875,900,0.02857142857142857,0.30119854844073046,,,,,,
18,ඇටවල්ලා,Kawakawa,683.33,962.5,1039.29,0.07978181818181815,0.5209196142420206,,, ,,,
19,ඇටිස්සා,Red Bream(L),950,1483.33,1266.67,-0.14606324958033604,0.3333368421052632,,,,,,
20,බෝල්ලා,Big eye scade,700,966.67,900,-0.0689687276940424,0.2857142857142857,,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,1100,1450,1300,-0.10344827586206896,0.18181818181818182,, ,,, ,
22,හබරලි,Needle fish,750,1200,1040,-0.13333333333333333,0.38666666666666666,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1160,1333.33,1333.33,0,0.1494224137931034,, , ,,,
24,ජීලාවා,Barracuda(L),1033.33,1233.33,1340,0.0864894229443864,0.29677837670444107,,, ,,,
25,ලින්නා,Indian Scad(L),750,868.75,914.29,0.052420143884892044,0.2190533333333333,,,,,,
26,ලින්නා,Indian Scad(S),490,731.25,762.5,0.042735042735042736,0.5561224489795918,,,,,,
27,ලේන පරව්,Rainbow Runner,825,933.33,957.14,0.025510805395733496,0.16016969696969696,,,,,,
28,සුද්දා,Threadfin  Bream,800,1233.33,1140,-0.07567317749507425,0.425,,, ,,,
29,සූඩයා,White Sardinella,336.67,400,358.33,-0.10417500000000005,0.06433599667330017,,,,,, 
30,දැල්ලා,Squids /Cuttle fish,1162.5,1725,1471.43,-0.14699710144927533,0.2657462365591398,,,,,,
31,කකුළුවා(L),Sea Crabs(L),1550,1800,2020,0.12222222222222222,0.3032258064516129,,,, ,,
32,තිලාපියා,Tilapia (M),,,425,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,
