"","Area (Ha)","-","38","205","","110","101","193","105","137","87"
"","Production (Mt)","-","161","300","388","421","375","1,040","1,124","1,386","451"
"","No. of Farms","-","-","-","-","na","2","2","4","5","6"
"","No. of Ponds","-","","","","23","26","26","39","55","68"
"Mannar","","","","","","","","","","",""
"","Area (Ha)","-","","","","22","24","24","23.74","43.6","43.9"
"","Production (Mt)","-","","","","542","745","930","1,255","911","627"
"","No. of Farms","-","-","-","-","-","-","-","1","1","1"
"","No. of Ponds","","","","","","","","15","15","17"
"Other*","","","","","","","","","","",""
"","Area (Ha)","-","-","-","-","-","","-","7.2","7","7.24"
"","Production (Mt)","-","-","-","-","-","-","-","125","188","99"
"","No. of Farms(1)","na","na","na","na","66","50","2","5","55","57"
"","No. of Ponds","1,795","2,368","4,459","4,184","3,465","2,688","3,264","3,008","2,658","2,174"
"Total","","","","","","","","","","",""
"","Area (Ha)","902","1,224","2,243","2,011","1,758","1,453","1,956","2,073","1,556","1,346"
"","Production (Mt)","2,230","3,480","5,150","7,090","6,400","7,360","14,410","14,080","11,600","7,321"
