"","Table 5.4:  Production of Fish Fingerlings (Mn)","","","","","","","","","",""
"Source of Production","2008","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Aquaculture Centres","","","","","","","","","","",""
"Iginiyagala","1.90","10.34","10.40","11.04","9.86","3.67","4.95","7.36","7.90","5.01","6.27"
"Dambulla","2.42","13.36","7.50","6.60","9.30","6.54","9.01","7.79","5.86","5.35","4.65"
"Udawalawe","2.24","12.28","13.41","10.89","15.55","7.80","6.22","7.63","9.89","4.51","6.11"
"Carp centre","1.19","4.08","5.96","4.70","6.50","3.35","2.40","4.21","5.23","2.31","2.47"
"Thilapia centre","1.05","8.20","7.45","6.19","8.91","3.18","1.96","2.35","2.37","1.06","1.42"
"Udawalawe (Carp)-New","","","","","0.14","1.27","1.86","1.07","2.29","1.14","2.22"
"Nuwara - Eliya","0.15","0.24","0.33","0.16","0.18","0.22","0.17","0.37","0.53","0.36","0.40"
"Kalawewa","-","1.84","3.93","5.22","7.01","3.44","3.78","4.26","7.16","2.12","1.63"
"Polonnaruwa","-","1.35","-","-","-","-","-","-","-","-","-"
"Iranamadu","-","0.38","0.64","0.94","2.01","3.92","3.76","4.51","5.47","2.44","3.77"
"Muruthawela","-","-","1.42","3.21","4.29","2.51","2.64","3.15","4.26","2.01","2.39"
"Sewanapitiya","","","","","","1.08","5.81","7.06","6.64","3.71","2.33"
"Sub-Total","6.71","39.79","37.63","38.06","48.20","29.18","36.34","42.14","47.71","25.51*","27.54"
"Other","","","","","","","","","","",""
"Community based Mini -","","","","","","","","","","",""
"","6.60","7.24","10.34","13.39","16.74","15.03","12.07","17.23","20.90","10.09","4.94"
"Hatcheries","","","","","","","","","","",""
"Water bassed Mini-","","","","","","","","","","",""
"","","","","","0.46","0.04","0.42","0.22","-","20.31","-"
"Hatcheries","","","","","","","","","","",""
"Private  Ponds","5.50","5.84","4.00","3.30","7.12","14.26","15.14","26.75","47.00","15.90","17.01"
"Pens & Cages","1.00","2.40","18.12","28.16","38.79","30.09","31.91","25.24","29.82","20.31","25.73"
"Sub-Total","13.10","15.48","32.46","44.85","63.11","59.42","59.54","69.45","97.72","66.61","47.68"
"Total","19.81","55.27","70.09","82.91","111.31","88.60","95.88","111.59","145.43","92.12","75.22"
"Source:  National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","","","","","",""
