"","Table 3.3 :  Operating Fishing Boats by District - 2024","","","","","",""
"Fisheries District","IMUL","IDAY","OFRP","MTRB","NTRB","NBSB","Total Boats"
"Negombo","","36","","","","",""
"","649","","1,318","5","1,234","39","3,281"
"Colombo","","16","","","","",""
"","11","","377","2","173","15","594"
"Kalutara","","2","","","","",""
"","572","","391","-","173","44","1,182"
"Galle","","19","","","","",""
"","488","","512","182","222","27","1,450"
"Matara","","117","","","","",""
"","927","","729","248","514","3","2,538"
"Tangalle","","29","","","","",""
"","750","","673","157","477","74","2,160"
"Kalmunai","","36","","","","",""
"","235","","892","133","910","161","2,367"
"Batticaloa","","9","","","","",""
"","427","","1,850","15","4,198","115","6,614"
"Trincomalee","","8","","","","",""
"","532","","3,742","79","2,572","134","7,067"
"Mullaitivu","","-","","","","",""
"","-","","1,461","1","292","52","1,806"
"Kilinochchi","","-","","","","",""
"","1","","1,211","158","254","-","1,624"
"Jaffna","","361","","","","",""
"","98","","5,069","971","1,388","134","8,021"
"Mannar","","246","","","","",""
"","26","","2,705","515","442","31","3,965"
"Puttalam","","-","","","","",""
"","50","","2,272","193","1,131","110","3,756"
"Chilaw","","1","","","","",""
"","103","","1,621","50","1,057","14","2,846"
"Total","4,869","880","24,823","2,709","15,037","953",""
"","","","","","","","49,271"
"Source: Statistics Unit, Ministry of Fisheries","","","","","","",""
