"","","Summary Statistics at a Glance","","","",""
"","Description","Unit","","Indicator","",""
"6. Social Information, cont…...","","","2021","2022","2023","2024"
"6.5","Inland Fishers (Men & women)","Numbers","91,020","92,060","94,750","94,990"
"6.6","Marine Fishing Household Population","Numbers","803,820","804,340","805,440","807,550"
"6.7","Inland Fishing Household Population","Numbers","320,060","343,116","323,370","223,610"
"6.8","Direct and Indirect Employments (Marine & Inland)","Numbers","586,000","586,000","586,000","586,000"
"6.9","Fishing and Related Livelihoods","Million","2.7","2.7","2.7","2.7"
"6.10","Fisher Organizations (FO) - Marine","Numbers","1,025","1,038","1,042","1,043"
"6.11","Fisher Organizations (FO) - Inland","Numbers","463","490","493","493"
"6.12","No. of Memberships in FO - Marine","Numbers","84,933","86,804","86,908","86,884"
"6.13","No. of Memberships in FO - Inland","Numbers","21,884","19,077","19,117","19,077"
"7. Fish Trade and Processing","","","2021","2022","2023","2024"
"7.1","Active Fish Processing Plants (EU Approved)","Numbers","39","38","44","44"
"7.2","Active Fish Packing Centers","Numbers","17","18","22","13"
"7.3","Active Fish Processing Plants (Other)","Numbers","16","12","13","8"
"","","Rs.Mn","63,222","97,243","99,118","86,241"
"7.4","Annual Export Earnings","","","","",""
"","","US$ (million)","318","302","303","285"
"7.5","Annual Export Volume","Mt","26,749","25,730","24,503","22,556"
"","","Rs.Mn","25,080","21,664","26,734","36,672"
"7.6","Annual Import Expenditure","","","","",""
"","","US$ (million)","126","70","82","122"
"7.7","Annual Import Volume","Mt","56,176","41,737","48,808","58,351"
"","","Rs.Mn","38,142","75,579","72,384","49,569"
"7.8","Balance of Fish Trade (8)","","","","",""
"","","US$ (million)","192","232","221","164"
"","","Mt","9,936","9,317","8,006","4,813"
"7.9","Volume of Tuna Export","","","","",""
"","","Percentage","37.1","36.2","32.6","21.3"
"","","Rs.Mn.","24,816","37,731","34,624","19,777"
"7.10","Value of Tuna Export","","","","",""
"","","Percentage","39.3","38.8","34.9","22.9"
"","","Mt","8,527","8,211","7,492","6,618"
"7.11","Total Fish and Fishery Products Export to EU","","","","",""
"","","Percentage","31.9","31.9","30.6","29.3"
"","","Mt","4,601","4,159","3,115","1,824"
"7.12","Tuna Export to EU","","","","",""
"","","Percentage","46.3","44.6","38.9","37.9"
"8.  Other Selected Imports","","Unit","2021","2022","2023","2024"
"8.1","Imports of frozen mackerel For canned fish industry","Mt","5,408.7","2,131.0","3,261","9,387"
"","Value of imported frozen mackerel","Rs.Mn.","1,378.3","741.0","1,135","3,267"
"8.2","Imports of baits for multiday fishery","Mt","2,199.0","26.8","26.5","26.5"
"","Value of imported baits","Rs.Mn.","522.1","14.8","16.3","8.2"
"9.  Supply of Fishery Products","","Unit","2021","2022","2023","2024"
"9.1","Supply of Dried fish","Mt","83,925","52,882","51,876","60,041"
"","Imported volume","Mt","32,585","29,922","29,536","35,191"
"","Domestically produced volume","Mt","51,340","22,960","22,340","24,850"
"9.2","Supply of Canned fish","Mt","18,009","9,259","19,707","7,829"
"","Imported volume","Mt","8,758","3,431","7,904","4,476"
"","Domestically produced volume","Mt","9,251","5,828","11,803","12,305"
"","Domestically produced volume","Millions of cans","","","",""
"","","","21.8","13.9","29.2","31.1"
