Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2018,2019,,"% Change 2nd week June 2019, compared to:",
Sinhala Name,,Common Name, 2nd week June, 1st week June, 2nd week June,Last week ,Last Year
1,තෝරා,Seer (Nl),1167,1460,1458,-0.0013698630136986301,0.2493573264781491
2,පරව් (ලොකු),Trevally (L),630,682.5,726,0.06373626373626373,0.1523809523809524
3,ගල්මාළු (ලොකු),Rock fish (L),­,­,400,­,­
4,තලපත්,Sail fish,650,700,748,0.06857142857142857,0.15076923076923077
5,බලයා,Skipjack tuna,400,417.5,480,0.1497005988023952,0.2
6,කෙළවල්ලා,Yellowfin tuna,600,687.5,724,0.05309090909090909,0.20666666666666667
7,සාලයා (මට්ට),Sardinella,188,226,252.5,0.1172566371681416,0.34308510638297873
8,මෝරා,Sharks,577,700,600,-0.14285714285714285,0.03986135181975736
9,හුරුල්ලා,Herrings,426,434,450,0.03686635944700461,0.056338028169014086
10,කුම්බලා,Indian Mackerel,572,550,590,0.07272727272727272,0.03146853146853147
11,කාරල්ලා,Pony fish,150,150,­,­,­
12,කටුවල්ලා,Katuwalla,300,280,330,0.17857142857142858,0.1
13,හාල්මැස්සා,Anchovy,365,357.5,340,-0.04895104895104895,-0.0684931506849315
14,ඉස්සා (M),"Prawns (M) 3""",1069,910,933.33,0.025637362637362684,-0.12691300280636106
15, කොප්පරා,Marlins,758,850,855,0.0058823529411764705,0.1279683377308707
16,අලගොඩුවා,Frigate tuna,360,413.33,465,0.12500907265381178,0.2916666666666667
17,ඇටවල්ලා,Atawalla,395,450,560,0.24444444444444444,0.4177215189873418
18,ඇටිස්සා,Red Bream,760,750,765,0.02,0.006578947368421052
19,බෝල්ලා,Big eye scade,542,470,507.5,0.0797872340425532,-0.06365313653136531
20,ගින්නටි පරව්,Ginnati Paraw,683,724,680,-0.06077348066298342,-0.004392386530014641
21,හබරලි,Needle fish,562,572.5,601,0.04978165938864629,0.0693950177935943
22,හැඩැල්ලා,Indian Anchovies,908,850,950,0.11764705882352941,0.046255506607929514
23,ජීලාවා,Barracuda,650,720,650,-0.09722222222222222,0
24,ලින්නා,Indian Scad,397,466,473,0.015021459227467811,0.19143576826196473
25,ලේන පරව්,Rainbow Runner,386,417.5,533.33,0.2774371257485031,0.3816839378238343
26,සුද්දා,Threadfin  Bream,­,675,­,­,­
27,සූඩයා,White Sardinella,155,­,­,­,­
28,දැල්ලා,Squids /Cuttle fish,826,800,900,0.125,0.08958837772397095
29,කකුළුවා,Sea Crabs,450,595,580,-0.025210084033613446,0.28888888888888886
30,තිලාපියා,Tilapia (M),350,383.33,362.5,-0.05433960295306912,0.03571428571428571
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,
