Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Variety,,,2022,2023,2023,Compared to Average of 4th week of  November,,,,,
Sinhala Name,,Common Name,Average of 4th week of  November,Average of 3rd week of  November,Average of 4th week of  November,Last week ,Last Year,,,,
1,තෝරා,Seer,2956,3360,3593.33,0.06944345238095236,0.215605548037889,,,,
2,පරව් (ලොකු),Trevally (L),2286.67,2198,2120,-0.03548680618744313,-0.07288764885182386,,,, 
3,ගල්මාළු (ලොකු),Rock Fish (L),1932.5,1920,1890,-0.015625,-0.02199223803363519,,,,
4,තලපත්,Sail fish,2896,2553,2597,0.017234625930278104,-0.10324585635359115,,,,
5,බලයා,Skipjack tuna,1190,1156,1207,0.04411764705882353,0.014285714285714285,,,,
6,කෙළවල්ලා,Yellowfin tuna,2292,2197,1996,-0.09148839326354119,-0.12914485165794065,,,,
7,සාලයා (මට්ට),Sardinella,640,505,530,0.04950495049504951,-0.171875,,,,
8,මෝරා,Shark,1660,1740,1650,-0.05172413793103448,-0.006024096385542169,,,,
9,හුරුල්ලා,Herrings,902.5,625,712,0.1392,-0.2110803324099723,,,,
10,කුම්බලා,Indian mackerel,863.33,825,810,-0.01818181818181818, ,,,,
11,කාරල්ලා,Pony fish,,,400,,,,,,
12,කටුවල්ලා,Katuwalla,,,,,,,,,
13,හාල්මැස්සා,Anchovies,650,,,,,,,,
14,ඉස්සා (M),Prawns (M),1747.5,1721.67,1795,0.04259236671371397,0.027181688125894134,,,,
15, කොප්පරා,Marlins,3580,2945,2980,0.011884550084889643,-0.16759776536312848,,,,
16,අලගොඩුවා,Frigate tuna,900,910,920,0.01098901098901099,0.022222222222222223,,,,
17,ඇටවල්ලා,Kawakawa,910,890,960,0.07865168539325842,0.054945054945054944,,,,
18,ඇටිස්සා,Red Bream(L),,1720,1610,-0.06395348837209303,,,,,
19,බෝල්ලා,Big eye scade,855,708,705,-0.00423728813559322,-0.17543859649122806,,,,
20,ගින්නටි පරව්,Ginnati paraw,1140,1020,1010,-0.00980392156862745,-0.11403508771929824,,,,
21,හබරලි,Needle fish,1040,,1030,,-0.009615384615384616,,,,
22,හැඩැල්ලා,Indian Anchovy,1390,1506.67,1530,0.015484479016639295,0.10071942446043165,,,,
23,ජීලාවා,Barracuda,1850,1988,1813,-0.0880281690140845,-0.02,,,,
24,ලින්නා,Indian Scade,870,680,772,0.13529411764705881,-0.11264367816091954,,,,
25,ලේන පරව්,Rainbow runner,900,920,940,0.021739130434782608,0.044444444444444446,,,,
26,සුද්දා,Threadfin bream,1243.33,970,933.33,-0.03780412371134016,-0.24933042715932208,,,,
27,සූඩයා,White Sardinella,420,280,330,0.17857142857142858,-0.21428571428571427,,,,
28,දැල්ලා,Cuttle fish,2143.33,2165,2180,0.006928406466512702,0.01710889130465214,,,,
29,කකුළුවා,Sea Crabs(L),2370,2528,2440,-0.03481012658227848,0.029535864978902954,,,,
30,තිලාපියා,Thilapia (M),1050,880,850,-0.03409090909090909,-0.19047619047619047,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,
,,,,,,, ,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,, ,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
