Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Variety,,,2018,2019,,"% Change 4th week September 2019, compared to:",,,
Sinhala Name,,Common Name,4th week September,3rd week September,4th week September,Last week ,Last Year,,                                                                             
1,තෝරා,Seer (Nl),1266.67,1442.86,1282.14,-0.11138987843588416,0.012213125754932245,,
2,පරව් (ලොකු),Trevally (L),475,576.67,540,-0.06358922780793168,0.1368421052631579,,
3,ගල්මාළු (ලොකු),Rock fish (L),573.33,400,425,0.0625,-0.2587166204454678,,
4,තලපත්,Sail fish,585,700,704,0.005714285714285714,0.20341880341880342,,
5,බලයා,Skipjack tuna,271.67,335.83,360,0.07197093767680081,0.3251371148820259,,
6,කෙළවල්ලා,Yellowfin tuna,516.67,724.29,682.86,-0.05720084496541434,0.3216559893161981,,
7,සාලයා (මට්ට),Sardinella,165,216,196.43,-0.09060185185185182,0.19048484848484853,,
8,මෝරා,Sharks,526,591.67,613,0.0360505011239374,0.16539923954372623,,
9,හුරුල්ලා,Herrings,214.17,398,356.43,-0.1044472361809045,0.6642386888920018,,
10,කුම්බලා,Indian Mackerel,420.83,395,460,0.16455696202531644,0.09307796497398003,,
11,කාරල්ලා,Pony fish,177.5,176.67,163.33,-0.07550800928284358,-0.07983098591549288,,
12,කටුවල්ලා,Katuwalla,170,­,­,­,­,,
13,හාල්මැස්සා,Anchovy,264,324.17,282.5,-0.12854366536076753,0.07007575757575757,,
14,ඉස්සා (M),"Prawns (M) 3""",795,1160,1028.57,-0.11330172413793109,0.2937987421383647,,
15, කොප්පරා,Marlins,770,880,892,0.013636363636363636,0.15844155844155844,,
16,අලගොඩුවා,Frigate tuna,256,348,360,0.034482758620689655,0.40625,,
17,ඇටවල්ලා,Atawalla,303.33,350,375,0.07142857142857142,0.23627732172881027,,
18,ඇටිස්සා,Red Bream,605,733.33,700,-0.045450206591848195,0.15702479338842976,,
19,බෝල්ලා,Big eye scade,326.67,326,309.17,-0.051625766871165595,-0.05357088192977622,,
20,ගින්නටි පරව්,Ginnati Paraw,513.33,662.5,630,-0.04905660377358491,0.22728069662790007,,
21,හබරලි,Needle fish,391.67,520,486.43,-0.06455769230769229,0.24193836648198735,,
22,හැඩැල්ලා,Indian Anchovies,536.67,642.14,721.43,0.12347774628585662,0.3442711535953193,,
23,ජීලාවා,Barracuda,560,­,700,­,0.25,,
24,ලින්නා,Indian Scad,352,284.29,325.71,0.145696296035738,-0.07468750000000006,,
25,ලේන පරව්,Rainbow Runner,308,412.5,375,-0.09090909090909091,0.21753246753246752,,
26,සුද්දා,Threadfin  Bream,367.5,456.43,458.33,0.0041627412746751465,0.24715646258503396,,
27,සූඩයා,White Sardinella,107,159,143.33,-0.09855345911949678,0.33953271028037396,,
28,දැල්ලා,Squids /Cuttle fish,754.17,850,875,0.029411764705882353,0.16021586644920913,,
29,කකුළුවා,Sea Crabs,450,600,600,0,0.3333333333333333,,
30,තිලාපියා,Tilapia (M),325,352,362.5,0.029829545454545456,0.11538461538461539,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,
