Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Variety,,,2023,2024,,Compared to Average of 1st  week of  February 2024,,,,,,,,
Sinhala Name,,Common Name,Average of 1st  week of  February,Average of 4th  week of  January,Average of 1st  week of  February,Last week ,Last Year,,, ,,,,
1,තෝරා,Seer,3600,3365,3420,0.01634472511144131,-0.05,,,,,,, 
2,පරව් (ලොකු),Trevally (L),2440,2210,2336,0.05701357466063348,-0.04262295081967213,, ,, ,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2393,2040,2280,0.11764705882352941,-0.04722106142916841,,,,,,,
4,තලපත්,Sail fish,2629.4,2883,2820,-0.021852237252861603,0.07248802008062673,,,,,,,
5,බලයා,Skipjack tuna,1352,1093,1195,0.09332113449222323,-0.11612426035502958,,,,,,,
6,කෙළවල්ලා,Yellowfin tuna,2313.33,1913,2223,0.1620491374803973,-0.03904760669683959,,,, ,,,
7,සාලයා (මට්ට),Sardinella,692,535,610,0.14018691588785046,-0.11849710982658959,,,,,,,
8,මෝරා,Shark,1713,1720,1893,0.10058139534883721,0.10507880910683012,,,,,,,
9,හුරුල්ලා,Herrings,1103,875,920,0.05142857142857143,-0.1659111514052584,,,,,,,
10,කුම්බලා,Indian mackerel,1288,970,1003,0.03402061855670103,-0.22127329192546583,,,,,,,
11,කාරල්ලා,Pony fish,,,,,,,,,,,,
12,කටුවල්ලා,Katuwalla,,,720,,,,,,,,,
13,හාල්මැස්සා,Anchovies,790,900,,,,,,,,,,
14,ඉස්සා (M),Prawns (M),1992,1883,1873,-0.0053106744556558685,-0.05973895582329317,,,,,,,
15, කොප්පරා,Marlins,2980,3480,3420,-0.017241379310344827,0.1476510067114094,,,,,,,
16,අලගොඩුවා,Frigate tuna,1100,933,980,0.05037513397642015,-0.10909090909090909,,,,,,,
17,ඇටවල්ලා,Kawakawa,1247,1030,1120,0.08737864077669903,-0.10184442662389735,,,,,,,
18,ඇටිස්සා,Red Bream(L),,1713,1810,0.056625802685347344,,,,,,,,
19,බෝල්ලා,Big eye scade,1100,935,913,-0.023529411764705882,-0.17,,,,,,,
20,ගින්නටි පරව්,Ginnati paraw,,1190,1220,0.025210084033613446,,,,,,,,
21,හබරලි,Needle fish,,1390,1440,0.03597122302158273,,,,,,,,
22,හැඩැල්ලා,Indian Anchovy,1960,1620,1690,0.043209876543209874,-0.1377551020408163,,,,,,,
23,ජීලාවා,Barracuda,2227,2060,1740,-0.1553398058252427,-0.21867983834755275,,,,,,,
24,ලින්නා,Indian Scade,1041.16,793,798,0.006305170239596469,-0.2335471973567944,,,,,,,
25,ලේන පරව්,Rainbow runner,1173,990,1147,0.15858585858585858,-0.02216538789428815,,,,,,,
26,සුද්දා,Threadfin bream,1480,1160,1240,0.06896551724137931,-0.16216216216216217,,,,,,,
27,සූඩයා,White Sardinella,453,387,407,0.05167958656330749,-0.10154525386313466,,,,,,,
28,දැල්ලා,Cuttle fish,2100,1810,1887,0.042541436464088395,-0.10142857142857142,,,,,,,
29,කකුළුවා,Sea Crabs(L),2790,2593,2687,0.036251446201311224,-0.036917562724014336,,,,,,,
30,තිලාපියා,Thilapia (M),,880,,,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
