Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2019,2019/2020,,"% Change 1st  week January 2020, compared to:",
Sinhala Name,,Common Name,1st Week January , 4thWeek December,1st Week January ,Last week ,Last Year
1,තෝරා,Seer (Nl),1770,1566.67,1564.29,-0.0015191457039453802,-0.11622033898305087
2,පරව් (ලොකු),Trevally (L),605,540,566.67,0.049388888888888816,-0.06335537190082652
3,ගල්මාළු (ලොකු),Rock fish (L),­,550,­,­,­
4,තලපත්,Sail fish,662.5,681.67,671.43,-0.015021931433098141,0.013479245283018793
5,බලයා,Skipjack tuna,375.71,387.5,344.29,-0.11150967741935479,-0.08362833036118272
6,කෙළවල්ලා,Yellowfin tuna,581.67,531.67,530,-0.0031410461376416934,-0.08883043650179649
7,සාලයා (මට්ට),Sardinella,138.33,210,200,-0.047619047619047616,0.44581797151738584
8,මෝරා,Sharks,582.5,626.67,­,­,­
9,හුරුල්ලා,Herrings,275.83,450,450,0,0.6314396548598775
10,කුම්බලා,Indian Mackerel,424.29,550,463,-0.15818181818181817,0.09123476867237026
11,කාරල්ලා,Pony fish,135,143.33,128.33,-0.10465359659526965,-0.04940740740740732
12,කටුවල්ලා,Katuwalla,140,220,­,­,­
13,හාල්මැස්සා,Anchovy,­,300,­,­,­
14,ඉස්සා (M),"Prawns (M) 3""",860,925,1010,0.0918918918918919,0.1744186046511628
15, කොප්පරා,Marlins,820,770,820,0.06493506493506493,0
16,අලගොඩුවා,Frigate tuna,366.67,400,358,-0.105,-0.023645239588731055
17,ඇටවල්ලා,Atawalla,280,466.67,400,-0.14286326526239101,0.42857142857142855
18,ඇටිස්සා,Red Bream,665,625,680,0.088,0.022556390977443608
19,බෝල්ලා,Big eye scade,387.5,438,382.5,-0.1267123287671233,-0.012903225806451613
20,ගින්නටි පරව්,Ginnati Paraw,500,600,­,­,­
21,හබරලි,Needle fish,400.71,465,483.57,0.03993548387096773,0.20678296024556417
22,හැඩැල්ලා,Indian Anchovies,741.67,1150,1100,-0.043478260869565216,0.48313940162066693
23,ජීලාවා,Barracuda,633.33,700,630,-0.1,-0.005257922410118012
24,ලින්නා,Indian Scad,276.43,309,245.82,-0.20446601941747575,-0.11073327786419714
25,ලේන පරව්,Rainbow Runner,370,432,333.33,-0.22840277777777782,-0.09910810810810815
26,සුද්දා,Threadfin  Bream,400,650,575,-0.11538461538461539,0.4375
27,සූඩයා,White Sardinella,97.5,151,163.33,0.08165562913907293,0.6751794871794873
28,දැල්ලා,Squids /Cuttle fish,787,825,746.67,-0.0949454545454546,-0.051245235069885695
29,කකුළුවා,Sea Crabs,467.5,475,516.67,0.0877263157894736,0.1051764705882352
30,තිලාපියා,Tilapia (M),280,374,317.5,-0.15106951871657753,0.13392857142857142
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,
