--- 01-Wholesale.csv ---

Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2018,2019,,"% Change 4th week February 2019, compared to:",
Sinhala Name,,Common Name,4th week February,3rd week February,4th week February,Last week ,Last Year
1,තෝරා,Seer (Nl),1483.33,1220,1278.57,0.04800819672131142,-0.1380407596421565
2,පරව් (ලොකු),Trevally (L),516.67,516,530,0.027131782945736434,0.02579983354946105
3,ගල්මාළු (ලොකු),Rock fish (L),450,665,433.33,-0.34837593984962406,-0.03704444444444448
4,තලපත්,Sail fish,620,637.5,692,0.08549019607843138,0.11612903225806452
5,බලයා,Skipjack tuna,326.67,305,365,0.19672131147540983,0.11733553739247553
6,කෙළවල්ලා,Yellowfin tuna,490,550,511.43,-0.07012727272727272,0.04373469387755104
7,සාලයා (මට්ට),Sardinella,133.33,144,150,0.041666666666666664,0.12502812570314248
8,මෝරා,Sharks,550,616.67,597.14,-0.031670099080545466,0.08570909090909089
9,හුරුල්ලා,Herrings,296.25,346.25,349.29,0.008779783393501864,0.17903797468354438
10,කුම්බලා,Indian Mackerel,405,457.5,409.17,-0.10563934426229504,0.010296296296296336
11,කාරල්ලා,Pony fish,136.67,123.33,100,-0.18916727479121057,-0.26831052901148744
12,කටුවල්ලා,Katuwalla,130,210,250,0.19047619047619047,0.9230769230769231
13,හාල්මැස්සා,Anchovy,­,283.33,228,-0.1952846504076518,­
14,ඉස්සා (M),"Prawns (M) 3""",816.67,740,825.83,0.11598648648648655,0.011216280749874592
15, කොප්පරා,Marlins,827.5,683.33,830,0.21464007141498245,0.0030211480362537764
16,අලගොඩුවා,Frigate tuna,330,286.67,253.33,-0.11630097324449716,-0.2323333333333333
17,ඇටවල්ලා,Atawalla,350,300,350,0.16666666666666666,0
18,ඇටිස්සා,Red Bream,587,583.33,605,0.037148783707335396,0.030664395229982964
