Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2022,2023,2023,"% Change 2nd week of June 2023, compared to:",
Sinhala Name,,Common Name,Average of 2nd week of June,Average of 1st week of June,Average of 2nd week of June,Last week ,Last Year
1,තෝරා,Seer,3326.67,3642.5,3973,0.0907343857240906,0.19428738047356664
2,පරව් (ලොකු),Trevally (L),2548,2895,2916,0.007253886010362694,0.14442700156985872
3,ගල්මාළු (ලොකු),Rock Fish (L),1913.33,2460,2878,0.16991869918699187,0.504183805198267
4,තලපත්,Sail fish,2600,3396.67,3557.5,0.047349315653272155,0.3682692307692308
5,බලයා,Skipjack tuna,1526.66,1694.5,1997,0.1785187370905872,0.3080843147786671
6,කෙළවල්ලා,Yellowfin tuna,2548,2931.67,3090,0.05400676065177865,0.21271585557299844
7,සාලයා (මට්ට),Sardinella,850,876,893,0.019406392694063926,0.05058823529411765
8,මෝරා,Shark,,2167,,,
9,හුරුල්ලා,Herrings,1200,1373.33,1498,0.09077934655181208,0.24833333333333332
10,කුම්බලා,Indian mackerel,1400,1446.64,1560,0.07836089144500352,0.11428571428571428
11,කාරල්ලා,Pony fish,,660,700,0.06060606060606061,
12,කටුවල්ලා,Katuwalla,,,,,
13,හාල්මැස්සා,Anchovies,820,920,940,0.021739130434782608,0.14634146341463414
14,ඉස්සා (M),Prawns (M),1452,1907,1930,0.012060828526481384,0.32920110192837465
15, කොප්පරා,Marlins,2993.33,3850,4000,0.03896103896103896,0.3363043834124537
16,අලගොඩුවා,Frigate tuna,1093.33,1343,1373,0.022338049143708117,0.2557965115747305
17,ඇටවල්ලා,Kawakawa,1160,1400,1493,0.06642857142857143,0.28706896551724137
18,ඇටිස්සා,Red Bream(L),,1893,,,
19,බෝල්ලා,Big eye scade,1240,1394,1525,0.09397417503586801,0.22983870967741934
20,ගින්නටි පරව්,Ginnati paraw,,1873,1980,0.057127602776294716,
21,හබරලි,Needle fish,1500,1580,1600,0.012658227848101266,0.06666666666666667
22,හැඩැල්ලා,Indian Anchovy,1660,2035,2105,0.0343980343980344,
23,ජීලාවා,Barracuda,2493.33,2695,2847,0.05640074211502783,0.14184644631877855
24,ලින්නා,Indian Scade,1060,1403,1460,0.040627227369921595,0.37735849056603776
25,ලේන පරව්,Rainbow runner,1380,1538,1573,0.022756827048114433,0.1398550724637681
26,සුද්දා,Threadfin bream,1495,1585,1743,0.09968454258675079,0.16588628762541807
27,සූඩයා,White Sardinella,,,620,,
28,දැල්ලා,Cuttle fish,1630,2143,2133,-0.004666355576294913,0.3085889570552147
29,කකුළුවා,Sea Crabs(L),2933.33,2630,2743,0.042965779467680605,-0.06488530100602384
30,තිලාපියා,Thilapia (M),,1070,1160,0.08411214953271028,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,
,,,,,,, 
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,, ,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
