Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Variety,,,2025,2026,,% Change   compared to:2nd week of Apr. 2026,, ,,
Sinhala Name,,Common Name,2nd week of Apr.,1st week of Apr.,2nd week of Apr.,Last week ,Last Year,,, 
1,තෝරා,Seer,3295,3746.6666666666665,3740,-0.0017793594306049418,0.13505311077389984,,,
2,පරව් (ලොකු),Trevally (L),2200,2470,2516,0.01862348178137652,0.14363636363636365, ,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2160,2380,2390,0.004201680672268907,0.10648148148148148,,,
4,තලපත්,Sail fish,2696.67,2856,2882,0.009103641456582634,0.06872550219344596,,,
5,බලයා,Skipjack tuna,1510,1890,1843.3,-0.024708994708994732,0.220728476821192,,,
6,කෙළවල්ලා,Yellowfin tuna,2425,2620,2732.6666666666665,0.04300254452926203,0.12687285223367692,,,
7,සාලයා (මට්ට),Sardinella,702,950,1000,0.05263157894736842,0.42450142450142453,,,
8,මෝරා,Shark,2050,2045,1926.6666666666667,-0.05786471067644658,-0.06016260162601622,,,
9,හුරුල්ලා,Herrings,1206.67,1397.5,1320,-0.055456171735241505,0.09391963005627049,,,
10,කුම්බලා,Indian mackerel,1206.67,1385,1440,0.039711191335740074,0.1933668691522951,,,
11,කාරල්ලා,Pony fish,,,,,,,,
12,කටුවල්ලා,Katuwalla,,,720,,,,,
13,හාල්මැස්සා,Anchovies,520,930.5,720,-0.2262224610424503,0.38461538461538464,,,
14,ඉස්සා (M),Prawns (M),2466.67,3140,2953.3333333333335,-0.05944798301486195,0.1972956793301631,,,
15, කොප්පරා,Marlins,3100,3050,3270,0.07213114754098361,0.054838709677419356,,,
16,අලගොඩුවා,Frigate tuna,1120,1320,1380,0.045454545454545456,0.23214285714285715,,,
17,ඇටවල්ලා,Kawakawa,1203.33,1343.125,1410,0.049790600279199626,0.17174839819500892,,,
18,ඇටිස්සා,Red Bream(L),1853.33,,1920,,0.03597308628252933,,,
19,බෝල්ලා,Big eye scade,1166.67,1385,1400,0.010830324909747292,0.19999657143836724,,,
20,ගින්නටි පරව්,Ginnati paraw,,1613.3333333333333,1640,0.01652892561983476,,,,
21,හබරලි,Needle fish,1220,1360,1664,0.2235294117647059,0.3639344262295082,,,
22,හැඩැල්ලා,Indian Anchovy,,2200,2240,0.01818181818181818,,,,
23,ජීලාවා,Barracuda(L),1960,2150,2340,0.08837209302325581,0.19387755102040816,,,
24,ලින්නා,Indian Scade,987.5,1065,1118,0.04976525821596244,0.1321518987341772,,,
25,ලේන පරව්,Rainbow runner,1020,,,,,,,
26,සුද්දා,Threadfin bream,1180,1460,,,,,,
27,සූඩයා,White Sardinella,490,613.3333333333334,660,0.07608695652173907,0.3469387755102041,,,
28,දැල්ලා,Cuttle fish,2000,2400,2400,0,0.2,,,
29,කකුළුවා,Sea Crabs(L),2840,3330,3360,0.009009009009009009,0.18309859154929578,,,
30,තිලාපියා,Thilapia (M),,1030,1050,0.019417475728155338,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,
,,,,,,, ,,,
,,,,,,, , ,,
