Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Variety,,,2019,2020,2021,,"% Change 1st  week of September 2021, compared to:",,
Sinhala Name,,Common Name,September 1st  week average,September 1st  week average,August 4th week average,September 1st  week average,Last week ,Last Year,2019.0
1,තෝරා,Seer,1501.4,1220,2402.5,2351,-0.021436004162330904,0.9270491803278689,0.5658718529372585
2,පරව් (ලොකු),Trevally (L),1080,1160,1460,1365,-0.06506849315068493,0.17672413793103448,0.2638888888888889
3,ගල්මාළු (ලොකු),Rock Fish (L),813.33,970,1350,1323.33,-0.01975555555555561,0.3642577319587628,
4,තලපත්,Sail fish,1227.5,1253.888888888889,1565,1532.5,-0.020766773162939296,0.22219760744350905,0.2484725050916497
5,බලයා,Skipjack tuna,900,800,816.33,820,0.0044957308931436535,0.025,-0.08888888888888889
6,කෙළවල්ලා,Yellowfin tuna,1116,1063.33,1200,1336,0.11333333333333333,0.2564302709412883,0.1971326164874552
7,සාලයා (මට්ට),Sardinella,280,304.17,360,346.66,-0.03705555555555549,0.13969161981786504,0.23807142857142866
8,මෝරා,Shark,880,690,960,960,0,0.391304347826087,0.09090909090909091
9,හුරුල්ලා,Herrings,453.33,442,592.5,626.66,0.05765400843881851,0.4177828054298642,0.3823483996205854
10,කුම්බලා,Indian mackerel,777.5,505.33,667.5,743.33,0.1136029962546817,0.47097936002216384,-0.043948553054662325
11,කාරල්ලා,Pony fish,270,140,,,,,
12,කටුවල්ලා,Katuwalla,­,,,,,,
13,හාල්මැස්සා,Anchovies,520,,500,640,0.28,,0.23076923076923078
14,ඉස්සා (M),Prawns (M),1166.67,1140,1102.5,1260,0.14285714285714285,0.10526315789473684,0.07999691429453051
15, කොප්පරා,Marlins,960,950,1580,1620,0.02531645569620253,0.7052631578947368,0.6875
16,අලගොඩුවා,Frigate tuna,415,,480,,,,
17,ඇටවල්ලා,Kawakawa,480,512.5,570,550,-0.03508771929824561,0.07317073170731707,0.14583333333333334
18,ඇටිස්සා,Red Bream,790,670,,,,,
19,බෝල්ලා,Big eye scade,416,448,600,610,0.016666666666666666,0.36160714285714285,0.46634615384615385
20,ගින්නටි පරව්,Ginnati paraw,960,920,820,833.33,0.01625609756097566,-0.0942065217391304,-0.13194791666666664
21,හබරලි,Needle fish,720,,666.67,760,0.13999430002849994,,0.05555555555555555
22,හැඩැල්ලා,Indian Anchovy,841.67,800,1067.5,1160,0.08665105386416862,0.45,0.37821236351539206
23,ජීලාවා,Barracuda,826.67,520,1040,1112.66,0.06986538461538469,1.1397307692307694,
24,ලින්නා,Indian Scade,428,442,521.67,634,0.21532769758659698,0.4343891402714932,0.48130841121495327
25,ලේන පරව්,Rainbow runner,530,520,635,700,0.10236220472440945,0.34615384615384615,0.32075471698113206
26,සුද්දා,Threadfin bream,516,516.67,793.33,730,-0.07982806650448115,0.41289411036057844,0.41472868217054265
27,සූඩයා,White Sardinella,­,,290,,,,
28,දැල්ලා,Cuttle fish,906,813.33,1146.67,1277.5,0.11409559855930644,0.5707031586195025,0.41004415011037526
29,කකුළුවා,Sea Crabs(L),1300,1050,1650,1693.33,0.026260606060606016,0.6126952380952381,0.3025615384615384
30,තිලාපියා,Thilapia (M),505,450,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,440,,,,,
