Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Variety,,,2019,2020,2021,,"% Change 1st week Sept. 2021, compared to:",,, ,
Sinhala Name,,Common Name,1st week of Sept.,1st week of Sept.,4th  week Aug.,1st week of Sept.,Last week ,Last Year,2019.0,,
1,තෝරා,Seer (Nl),1430,1140,1260,1310.1,0.03976190476190469,0.1492105263157894,-0.0838461538461539,, 
2,පරව් (ලොකු),Trevally (L),606,623.3333333333334,665,704.17,0.058902255639097685,0.12968449197860948,0.16199669966996694,,
3,ගල්මාළු (ලොකු),Rock fish (L),­,600,710,787.5,0.10915492957746478,,, ,
4,ගල්මාළු (පොඩි),Rock fish (S),,,550,600,0.09090909090909091,,,,
5,තලපත්,Sail fish,700,680,1035,1044,0.008695652173913044,0.5352941176470588,0.49142857142857144,,
6,බලයා,Skipjack tuna,365,381.6666666666667,388.33,409.29,0.053974712229289616,0.07237554585152839,0.12134246575342471,,
7,කෙළවල්ලා,Yellowfin tuna,810,590,540,680,0.25925925925925924,0.15254237288135594,-0.16049382716049382,,
8,සාලයා (මට්ට),Sardinella,262.14,195,225.83,201.43,-0.10804587521587036,0.03297435897435901,-0.23159380483710987,,
9,මෝරා,Sharks,633.33,533.3333333333334,625,625,0,0.17187499999999992,-0.013152700803688504,,
10,හුරුල්ලා,Herrings,393,296.6666666666667,360,403.57,0.12102777777777776,0.36034831460674144,0.026895674300254437,,
11,කුම්බලා,Indian Mackerel,565.71,401.6666666666667,400,492.786,0.231965,0.22685311203319497,-0.1289070371745241,,
12,කාරල්ලා,Pony fish,162.5,150,176,188.33,0.07005681818181825,0.2555333333333334,,,
13,කටුවල්ලා,Katuwalla,­,,285,266.67,-0.06431578947368416,,,,
14,හාල්මැස්සා,Anchovy,300,350,318.33,412.5,0.2958250871736878,0.17857142857142858,0.375,,
15,ඉස්සා (M),"Prawns (M) 3""",1078.57,1137.5,841.67,950,0.12870840115484697,-0.16483516483516483,-0.11920413139620047,,
16, කොප්පරා,Marlins,880,874.1666666666666,1175,1195,0.01702127659574468,0.3670162059103909,0.35795454545454547,,
17,අලගොඩුවා,Frigate tuna(L),391.25,380,307.5,337.5,0.0975609756097561,-0.1118421052631579,-0.13738019169329074,,
18,ඇටවල්ලා,Atawalla,408.33,341.6666666666667,430,430,0,0.2585365853658536,0.053069820978130476,,
19,ඇටිස්සා,Red Bream(L),780,740,708.33,787.5,0.11176993774088342,0.06418918918918919,0.009615384615384616,,
20,බෝල්ලා,Big eye scade,370.71,,327.5,392.86,0.1995725190839695,,0.05975020905829364,,
21,ගින්නටි පරව්,Ginnati Paraw,778.33,728.75,650,653,0.004615384615384616,-0.1039451114922813,-0.1610242442151787,,
22,හබරලි,Needle fish,568.53,508.3333333333333,503.33,607.14,0.20624639898277472,0.1943737704918033,0.06791198353648886,,
23,හැඩැල්ලා,Indian Anchovies,676.67,925,837.5,790,-0.056716417910447764,-0.14594594594594595,0.16748193358653413,,
24,ජීලාවා,Barracuda(L),­,636,712.5,781.25,0.09649122807017543,0.22838050314465408,,,
25,ලින්නා,Indian Scad(L),330,330,340.83,428.33,0.2567262271513658,0.29796969696969694,0.29796969696969694,,
26,ලින්නා,Indian Scad(S),,,274.17,400,0.4589488273698799,,,,
27,ලේන පරව්,Rainbow Runner,392.86,355,385.83,421.67,0.09289065132312167,0.1878028169014085,0.07333401211627552,,
28,සුද්දා,Threadfin  Bream,503,412.5,445.83,416.67,-0.06540609649417933,0.010109090909090948,-0.17163021868787273,,
29,සූඩයා,White Sardinella,184,143,160,112,-0.3,-0.21678321678321677,-0.391304347826087,,
30,දැල්ලා,Squids /Cuttle fish,895,683.3333333333334,910,1000,0.0989010989010989,0.4634146341463414,0.11731843575418995,,
31,කකුළුවා(L),Sea Crabs(L),550,625,1150,1466.67,0.27536521739130443,1.346672,1.6666727272727273,,
32,තිලාපියා,Tilapia (M),335,333.3333333333333,400,366.67,-0.08332499999999995,0.10001000000000011,0.09453731343283586,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,
