Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Variety,,,2022,2023,2023,Compared to Average of 2nd week of  November,,,,,,
Sinhala Name,,Common Name,Average of 2ndweek of  November,Average of 1stweek of  November,Average of 2ndweek of  November,Last week ,Last Year,,,,,
1,තෝරා,Seer,3295,2796,3040,0.08726752503576538,-0.07738998482549317,,,,,
2,පරව් (ලොකු),Trevally (L),2350,1940,2010,0.03608247422680412,-0.14468085106382977,,,,, 
3,ගල්මාළු (ලොකු),Rock Fish (L),2012.5,2060,1950,-0.05339805825242718,-0.031055900621118012,,,,,
4,තලපත්,Sail fish,2970,2570,2573,0.0011673151750972762,-0.13367003367003366,,,,,
5,බලයා,Skipjack tuna,1152,1180,1090,-0.07627118644067797,-0.05381944444444445,,,,,
6,කෙළවල්ලා,Yellowfin tuna,2372,1996.67,2165,0.08430536843844998,-0.0872681281618887,,,,,
7,සාලයා (මට්ට),Sardinella,740,450,457,0.015555555555555555,-0.3824324324324324,,,,,
8,මෝරා,Shark,1620,1645,1800,0.09422492401215805,0.1111111111111111,,,,,
9,හුරුල්ලා,Herrings,905,620,608,-0.01935483870967742,-0.3281767955801105,,,,,
10,කුම්බලා,Indian mackerel,904,760,802,0.05526315789473684, ,,,,,
11,කාරල්ලා,Pony fish,686.66,,520,,,,,,,
12,කටුවල්ලා,Katuwalla,,730,,,,,,,,
13,හාල්මැස්සා,Anchovies,760,520,567,0.09038461538461538,-0.25394736842105264,,,,,
14,ඉස්සා (M),Prawns (M),1846,1692,1712,0.01182033096926714,-0.07258938244853738,,,,,
15, කොප්පරා,Marlins,3705,2940,2967.5,0.00935374149659864,-0.199055330634278,,,,,
16,අලගොඩුවා,Frigate tuna,906.66,760,820,0.07894736842105263,-0.09558158515871437,,,,,
17,ඇටවල්ලා,Kawakawa,960,775,847,0.09290322580645162,-0.11770833333333333,,,,,
18,ඇටිස්සා,Red Bream(L),1900,1780,1700,-0.0449438202247191,,,,,,
19,බෝල්ලා,Big eye scade,877.5,577.5,563,-0.025108225108225107,-0.3584045584045584,,,,,
20,ගින්නටි පරව්,Ginnati paraw,1120,940,920,-0.02127659574468085,-0.17857142857142858,,,,,
21,හබරලි,Needle fish,1073.33,986.67,977,-0.009800642565396698,-0.08974872592772021,,,,,
22,හැඩැල්ලා,Indian Anchovy,1480,1360,1310,-0.03676470588235294,-0.11486486486486487,,,,,
23,ජීලාවා,Barracuda,1750.5,1746.67,1560,-0.10687193345050872,-0.10882604970008569,,,,,
24,ලින්නා,Indian Scade,836,663.33,657.5,-0.008788988889391464,-0.21351674641148324,,,,,
25,ලේන පරව්,Rainbow runner,840,910,909,-0.001098901098901099,0.08214285714285714,,,,,
26,සුද්දා,Threadfin bream,1230,846.67,830,-0.019688898862602857,-0.3252032520325203,,,,,
27,සූඩයා,White Sardinella,470,212.5,265,0.24705882352941178,-0.43617021276595747,,,,,
28,දැල්ලා,Cuttle fish,2102.5,1910,1915,0.002617801047120419,-0.089179548156956,,,,,
29,කකුළුවා,Sea Crabs(L),2590,2566.67,2527,-0.015455824083345374,-0.024324324324324326,,,,,
30,තිලාපියා,Thilapia (M),,,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,
,,,,,,, ,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,, ,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
