"","Table 5.7:  Production of Fish Fingerlings by species in Aquaculture Centers of NAQDA, 2024(Mn)","","","","","",""
"Aquaculture Development","","","","Common/Jia","","",""
"","Tilapia","Rohu","Catla","","Mrigal","Other(1)","Total"
"Centre","","","","n  Carp","","",""
"Inginiyagala","1.75","0.74","0.48","0.02","2.02","0.00","6.27"
"Dambulla","3.89","0.16","0.28","0.20","0.10","0.72","4.65"
"Udawalawe (Carp)","0.00","0.97","0.29","0.10","0.95","0.00","2.47"
"Udawalawe (Tilapia)","1.06","0.00","0.00","0.00","0.00","0.00","1.42"
"Udawalawe new","0.90","0.00","0.00","0.00","0.24","0.00","2.22"
"Nuwara-Eliya","0.00","0.00","0.00","0.36","0.00","0.00","0.40"
"Kala wewa","1.36","0.34","0.10","0.19","0.13","0.00","1.63"
"Iranamadu","1.19","0.36","0.89","0.00","0.00","0.19","3.77"
"Muruthawela","0.44","0.44","0.45","0.01","0.48","0.00","2.39"
"Sewanapitiya","1.92","0.33","0.18","0.12","1.16","0.00","2.33"
"Sub - Total","12.51","3.33","2.67","1.00","5.09","0.91","27.54"
"Other","","","","","","",""
"Community bassed Mini- Hatcheries","","","","","","","4.94"
"Water based Mini hatcheries","","","","","","","-"
"Private Ponds","","","","","","","17.01"
"Pens & Cages","","","","","","","25.73"
"Sub - Total","","","","","","","47.68"
"Total","","","","","","","75.22"
"Source:  National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","",""
"(1) Other carp varieties, Hirikanaya, etc.","","","","","","",""
