"","Table 6.2 : Export Quantity of Fish and Fishery Products ( Mt)","","","","","","","","","",""
"Exported Item","1983","1990","1995","2000","2005","2015","2020","2021","2022","2023","2024"
"Shrimps","1,720","1,855","2,781","4,855","1,800","1,341","1,781","4,747","5,486","4,020","3,432"
"Lobsters","207","165","283","164","183","204","99","196","114","127","82"
"Crabs","na","na","898","554","1,012","1,710","1,360","1,662","1,850","1,678","2,187"
"Beche de Mer","56","36","248","87","258","169","326","336","418","401","252"
"Ornamental Fish","na","na","na","na","na","na","na","na","na","na","na"
"Chank & Shells","144","na","746","698","546","289","221","306","271","269","465"
"Shark Fins","57","51","127","119","74","39","55","95","79","100","100"
"Molluscs","na","1","51","15","300","1,371","1,477","2,168","2,088","3,115","2,211"
"Fish Maws","na","na","1","1","1","2","2","4","7","7","10"
"Food Fish","209","821","1,978","11,873","10,960","11,807","13,858","16,130","14,959","14,380","13,451"
"Others","-","-","12","188","851","529","2,119","1,105","458","407","367"
"Export Quantity","2,393","2,931","7,126","18,554","15,985","17,461","21,298","26,749","25,730","24,504","22,556"
"","Source :  Custom Returns/ Statistics Unit - Ministry of Fisheries","","","","","","","","","",""
