"","","","","","","","","","Productio","Production","","","","","","","",""
"","Ice","","n","Ice","on","Ice","on","Ice","","","","","n","Ice","on","","","on"
"District
District","","","","","","","","","n Capacity","Capacity","Ice plants","","","","","Ice plants","",""
"","plants","","Capacity","plants","Capacity","plants","Capacity","plants","","","","","Capacity","plants","Capacity","","","Capacity"
"","","","","","","","","","(Mt/day)","(Mt/day)","","","","","","","",""
"","","","(Mt/day)","","(Mt/day)","","(Mt/day)","","","","","","(Mt/day)","","(Mt/day)","","","(Mt/day)"
"Colombo 
Colombo
1","","17","339","3","103","2","10","3","25","15","-","","-","-","-","-","","-"
"Gampaha                 Negombo","-","","-","-","-","10","329","6","245","709","","11","917","11","763","","11","763"
"2","","","","","","","","","","","","","","","","","",""
"Kalutara               Kalutara
3","","2","20","4","106","2","60","5","185","368","","8","330","7","264","","7","264"
"Matale             
Matale
5","-","","-","-","-","1","8","-","-","-","","1","44","1","44","","1","44"
"Galle
Galle
7","","1","50","3","100","3","76","9","189","155","","10","352","8","267","","8","267"
"Matara             
Matara
8","","2","10","8","180","5","180","2","20","449","","10","355","10","351","","10","351"
"Hambantota                
Tangalle
9","","1","10","5","32","3","40","6","44","245","","19","657","18","873","","18","873"
"Jaffna
Jaffna
10","","12","85","1","3","6","8","4","313","91","","5","135","5","135","","5","135"
"Mannar
11 Mannar","","3","12","2","20","4","34","-","-","50","","6","167","5","167","","5","167"
"Mullaitivu
13 Mullaitivu","","3","23","-","-","-","-","8","17","64","","2","47","2","40","","2","40"
"Kilinochchi                 
Kilinochchi
14","-","","-","-","-","-","-","-","-","6","","2","85","2","26","","2","26"
"Batticaloa               Batticaloa
15","","4","28","1","10","-","-","4","36","204","","6","166","6","403","","6","403"
"16
Kalmunai
Ampara","","3","11","5","10","-","-","5","148","121","","3","30","3","29","","3","29"
"Trincomalee         Trincomalee
17","","5","30","3","20","2","100","6","140","963","","8","285","9","345","","9","345"
"Kurunegala                
18","-","","-","-","-","-","-","1","10","-","","1","23","1","6","","1","6"
"Puttalam","","9","64","3","75","3","90","5","175","50","","5","268","5","132","","5","132"
"19
Puttalam","","","","","","","","","","","","","","","","","",""
"Chilaw","-","","-","-","-","5","121","6","140","281","","7","132","12","352","","12","352"
"Anuradhapura                
20","-","","-","-","-","1","10","1","10","10","","2","11","2","11","","2","11"
"Polonnaruwa            
21","-","","-","","","-","-","-","-","2","","1","15","1","15","","1","15"
"22 Monaragala","-","","-","","","","","","","-","","1","2","1","2","","1","2"
"Total
Total","","62","682","35","584","47","1,066","71","1,697","3,781","","108","4,020","109","4,223","","109","4,223"
"Source: Statistics Unit, Ministry of Fisheries","","","","","","","","","","","","","","","","","",""
