"","","","","","","Exported Quantity by Countries","","","","",""
"","Total","","","","","","","","","",""
"","","European Union","","Other European","","U. S. A.","","Japan","","Other Non",""
"Year/ Month","Quantity","","","","","","","","","",""
"","","Quantity","","Quantity","","Quantity","","Quantity","","Quantity",""
"","(Mt)","","%","","%","","%","","%","","%"
"","","(Mt)","","(Mt)","","(Mt)","","(Mt)","","(Mt)",""
"2008","6,147","4,073","66.3","121","2.0","651","10.6","1,083","17.6","219","3.6"
"2010","4,856","3,138","64.6","160","3.3","286","5.9","788","16.2","484","10.0"
"2015","9,845","1,491","15.1","517","5.2","3,027","30.7","908","9.2","3,902","39.6"
"2020","8,992","3,576","39.8","1,317","14.6","864","9.6","164","1.8","3,071","34.2"
"2021","9,936","4,601","46.3","1,912","19.2","457","4.6","2","0.0","2,963","29.8"
"2022","9,317","4,159","44.6","1,832","19.7","646","6.9","-","-","2,681","28.8"
"2023","8,006","3,115","38.9","1,431","17.9","1,135","14.2","4","-","2,321","29.0"
"2024","4,813","1,824","37.9","698","14.5","803","16.7","-","-","1,488","30.9"
"Source :  Custom Returns/ Statistics Unit -  Ministry of Fisheries","","","","","","","","","","",""
