"Description","1980/81","1990/91","1995/96","2006/07","2009/10","2012/13","2016","2019"
"Average Household Size","4.9","4.9","4.5","4.1","4.0","3.9","3.8","3.7"
"Avg. Household Expenditure (Rs) (1)","1,232","3,905","6,525","22,952","31,331","41,444","54,999","63,130"
"Avg. Household Expenditure for Food Items (Rs) (1)","801","2,377","3,552","8,641","13,267","15,651","19,114","22,130"
"Food Ratio (2) (%)","65.0","64.6","54.4","37.6","42.3","37.8","34.8","35.1"
"Contribution of fish to food basket (%)(3)","4.9","5.1","6.6","8.6","8.8","9.2","9.5","9.4"
"Contribution of dried fish to food basket  (%)","3.2","4.0","4.6","4.0","3.7","4.2","4.0","4.0"
