"","Table 3.4:  Inland Fishing Crafts*  by District (2006 - 2023)","","","","","","","",""
"","District","2006","","2019","","2020","2021","2022","2023"
"1","Colombo","53","","30","","35","30","78","53"
"2","Gampaha","19","","30","","30","30","25","25"
"3","Kalutara","35","","75","","80","80","46","25"
"4","Kandy","59","","125","","125","130","126","131"
"5","Matale","324","","380","","380","390","376","292"
"6","Nuwara Eliya","15","","120","","110","120","122","123"
"7","Galle","33","","80","","20","20","20","20"
"8","Matara","29","","120","","140","140","134","85"
"9","Hambantota","502","","830","","820","810","795","754"
"10","Jaffna **","","-","","-","30","30","30","40"
"11","Mannar","50","","360","","370","390","381","375"
"12","Vavunia","138","","260","","260","260","244","244"
"13","Mullaitivu","30","","380","","380","380","320","381"
"14","Kilinochchi","84","","240","","230","230","290","235"
"15","Batticaloa","171","","640","","620","620","631","721"
"16","Ampara","579","","1,350","","1,310","1,300","1,260","1,302"
"17","Trincomalee","314","","440","","460","460","417","356"
"18","Kurunegala","498","","630","","610","610","673","699"
"19","Puttalam","192","","255","","300","310","302","248"
"20","Anuradhapura","1,736","","1,510","","1,560","1,570","1,775","1,526"
"21","Polonnaruwa","1,349","","1,010","","1,070","1,080","842","1,067"
"22","Badulla","365","","390","","330","330","354","326"
"23","Monaragala","314","","415","","410","410","425","406"
"24","Ratnapura","157","","190","","190","200","205","205"
"25","Kegalle **","","-","10","","10","10","8","8"
"","Total","7,046","","9,870","","9,880","9,940","9,879","9,647"
"Source :  Statistics Unit, Ministry of Fisheries and  National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","","","",""
