"Administrative","","","","","","","","","","",""
"","","","Daily production","","","Daily production","","","Daily production","","Daily production"
"","Fisheries District","","","","","","","","","",""
"District","","","","","","","","","","",""
"","","Number","capacity","Number","","capacity","Number","","capacity","Number","capacity"
"","","","(Mt/ day)","","","(Mt/ day)","","","(Mt/ day)","","(Mt/ day)"
"Colombo","Colombo","-","-","-","","-","","1","-","1","-"
"Gampaha","Negombo","11","762.50","-","","-","-","","-","11","762.5"
"Kalutara","Kaluthara","7","264.00","-","","-","-","","-","7","264.0"
"Matale","Matale","1","43.50","-","","-","-","","-","1","43.5"
"Galle","Galle","8","267.00","-","","-","-","","-","8","267.0"
"Matara","Matara","10","351.30","-","","-","-","","-","10","351.3"
"Hambanthota","Tangalle","18","873.45","","2","4.50","-","","-","20","878.0"
"Jaffna","Jaffna","5","135.00","","1","-","-","","-","6","135.0"
"Mannar","Mannar","5","166.50","-","","-","-","","-","5","166.5"
"Mullaitivu","Mullaitivu","2","39.50","-","","-","","1","3.50","3","43.0"
"Kilinochchi","Kilinochchi","2","25.50","-","","-","-","","-","2","25.5"
"Batticaloa","Batticaloa","6","403.00","","1","3.00","-","","-","7","406.0"
"Ampara","Kalmunai","3","28.50","-","","-","","2","-","5","28.5"
"Trincomalee","Trincomalee","9","344.65","-","","-","-","","-","9","344.7"
"Kurunegala","Kurunegala","1","6.00","-","","-","-","","-","1","6.0"
"","Puttalam","5","132.40","","1","-","","1","-","7","132.4"
"Puttalam","","","","","","","","","","",""
"","Chilaw","12","352.00","-","","-","-","","","12","352.0"
"Anuradhapura","Anuradhapura","2","11.00","-","","-","-","","-","2","11.0"
"Polonnaruwa","Polonnaruwa","1","15.00","-","","-","-","","-","1","15.0"
"Monaragala","Monaragala","1","2.00","-","","-","-","","-","1","2.0"
"Total","","109","4,222.80","","5","7.50","","5","3.50","119","4,233.8"
