"","Table 5.7:  Production of Fish Fingerlings by species in Aquaculture Centers of NAQDA, 2023(Mn)","","","","","",""
"Aquaculture Development","","","","Common/Jia","","",""
"","Tilapia","Rohu","Catla","","Mrigal","Other(1)","Total"
"Centre","","","","n  Carp","","",""
"Inginiyagala","1.75","0.74","0.48","0.02","2.02","0.00","5.01"
"Dambulla","3.89","0.16","0.28","0.20","0.10","0.72","5.35"
"Udawalawe (Carp)","0.00","0.97","0.29","0.10","0.95","0.00","2.31"
"Udawalawe (Tilapia)","1.06","0.00","0.00","0.00","0.00","0.00","1.06"
"Udawalawe new","0.90","0.00","0.00","0.00","0.24","0.00","1.14"
"Nuwara-Eliya","0.00","0.00","0.00","0.36","0.00","0.00","0.36"
"Kala wewa","1.36","0.34","0.10","0.19","0.13","0.00","2.12"
"Iranamadu","1.19","0.36","0.89","0.00","0.00","0.19","2.63"
"Muruthawela","0.44","0.44","0.45","0.01","0.48","0.00","1.82"
"Sewanapitiya","1.92","0.33","0.18","0.12","1.16","0.00","3.71"
"Sub - Total","12.51","3.33","2.67","1.00","5.09","0.91","25.50"
"Other","","","","","","",""
"Community bassed Mini- Hatcheries","","","","","","","10.09"
"Private Ponds","","","","","","","15.90"
"Pens & Cages","","","","","","","20.31"
"Sub - Total","","","","","","","46.30"
"Total","","","","","","","71.80"
"Source:  National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","",""
"(1) Other carp varieties, Hirikanaya, etc.","","","","","","",""
