"Table 3.2 :  Operating Fishing Boats by District - 2022","","","","","","","",""
"","Fisheries District","IMUL","IDAY","OFRP","MTRB","NTRB","NBSB","Total Boats"
"1","Negombo","","41","","","","",""
"","","954","","1,453","2","1,272","31","3,753"
"2","Colombo","","13","","","","",""
"","","11","","397","1","210","22","654"
"3","Kalutara","","1","","","","",""
"","","540","","362","-","189","49","1,141"
"4","Galle","","13","","","","",""
"","","563","","440","192","226","34","1,468"
"5","Matara","","68","","","","",""
"","","936","","769","229","495","6","2,503"
"6","Tangalle","","14","","","","",""
"","","676","","745","95","550","86","2,166"
"7","Kalmunai","","49","","","","",""
"","","222","","954","139","919","125","2,408"
"8","Batticaloa","","9","","","","",""
"","","416","","1,490","13","4,106","96","6,130"
"9","Trincomalee","","15","","","","",""
"","","487","","3,507","68","2,353","175","6,605"
"10","Mullaitivu","","-","","","","",""
"","","1","","1,298","-","294","55","1,648"
"11","Kilinochchi","","-","","","","",""
"","","-","","1,096","131","268","-","1,495"
"12","Jaffna","","377","","","","",""
"","","102","","4,532","692","1,433","136","7,272"
"13","Mannar","","208","","","","",""
"","","38","","3,410","624","577","40","4,897"
"14","Puttalam","","23","","","","",""
"","","59","","2,369","170","1,031","111","3,763"
"15","Chilaw","","-","","","","",""
"","","83","","1,708","18","954","14","2,777"
"","Total","5,088","831","24,530","2,374","14,877","980","48,680"
