Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Variety,,,2020,2021,2022,,"% Change 1st week of March 2022, compared to:",,
Sinhala Name,,Common Name,March 1st week average,March 1st week average,February 4th week average,March 1st week average,Last week ,Last Year,2020.0
1,තෝරා,Seer,1452,1360,2395,2228,-0.0697286012526096,0.638235294117647,0.5344352617079889
2,පරව් (ලොකු),Trevally (L),1188,1120,1597.5,1692,0.059154929577464786,0.5107142857142857,0.42424242424242425
3,ගල්මාළු (ලොකු),Rock Fish (L),650,,1380,1490,0.07971014492753623,,1.2923076923076924
4,තලපත්,Sail fish,1158,1280,1811.67,1803.33,-0.004603487390087679,0.40885156249999993,0.5572797927461139
5,බලයා,Skipjack tuna,615,660,980,1068,0.08979591836734693,0.6181818181818182,0.7365853658536585
6,කෙළවල්ලා,Yellowfin tuna,982,1090,1586.67,1586,-0.000422268020445381,0.45504587155963305,0.615071283095723
7,සාලයා (මට්ට),Sardinella,301,200,341.17,356.66,0.04540258522144388,0.7833000000000001,0.18491694352159477
8,මෝරා,Shark,750,,1290,1310,0.015503875968992248,,0.7466666666666667
9,හුරුල්ලා,Herrings,588,520,745,765,0.026845637583892617,0.47115384615384615,0.3010204081632653
10,කුම්බලා,Indian mackerel,688,510,786,788,0.002544529262086514,0.5450980392156862,0.14534883720930233
11,කාරල්ලා,Pony fish,180,150,300,310,0.03333333333333333,1.0666666666666667,0.7222222222222222
12,කටුවල්ලා,Katuwalla,400,400,540,,,,
13,හාල්මැස්සා,Anchovies,425,,620,,,,
14,ඉස්සා (M),Prawns (M),1344,1080,1328,1348,0.015060240963855422,0.24814814814814815,0.002976190476190476
15, කොප්පරා,Marlins,895,980,2065,2080,0.007263922518159807,1.1224489795918366,1.324022346368715
16,අලගොඩුවා,Frigate tuna,,,627.5,690,0.099601593625498,,
17,ඇටවල්ලා,Kawakawa,440,,730,746.67,0.022835616438356108,,0.6969772727272726
18,ඇටිස්සා,Red Bream,773,,1106.67,,,,
19,බෝල්ලා,Big eye scade,565,420,665,688,0.03458646616541353,0.638095238095238,0.2176991150442478
20,ගින්නටි පරව්,Ginnati paraw,960,680,1100,1070,-0.02727272727272727,0.5735294117647058,0.11458333333333333
21,හබරලි,Needle fish,520,573.3333333333334,856.66,,,,
22,හැඩැල්ලා,Indian Anchovy,933,,1333.33,1346.67,0.010005025012562641,,0.4433762057877814
23,ජීලාවා,Barracuda,825,800,1560,1693.33,0.08546794871794867,1.1166625,1.052521212121212
24,ලින්නා,Indian Scade,453,360,641.66,666.66,0.0389614437552598,0.8518333333333332,0.4716556291390728
25,ලේන පරව්,Rainbow runner,740,,793.33,800,0.008407598351253525,,0.08108108108108109
26,සුද්දා,Threadfin bream,800,552.5,850,886.66,0.04312941176470585,0.6048144796380089,0.10832499999999996
27,සූඩයා,White Sardinella,160,140,195,,,,
28,දැල්ලා,Cuttle fish,856,,1346.67,1413.33,0.049499877475550694,,0.6510864485981308
29,කකුළුවා,Sea Crabs(L),1600,,2440,,,,
30,තිලාපියා,Thilapia (M),,,,650,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,440,,,,,
**Rrtail Price collection done by Telephone,,,,,,,,,
