Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Variety,,,2024,2025,,% Change   compared to:2nd week of Nov. 2025,, ,,,, ,,
Sinhala Name,,Common Name,2nd  week of Nov.,1st  week of Nov.,2nd  week of Nov.,Last week ,Last Year,, , ,, ,,
1,තෝරා,Seer,3580,3975,3570,-0.1018867924528302,-0.002793296089385475,,, , , ,,
2,පරව් (ලොකු),Trevally (L),2526.67,2512,2336,-0.07006369426751592,-0.07546296113065816, , , , ,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2140,2286.67,2340,0.023322123437137816,0.09345794392523364,, ,, ,,,
4,තලපත්,Sail fish,2888,2820,2963.33,0.050826241134751746,0.02608379501385039,,, , , ,,
5,බලයා,Skipjack tuna,1140,1766.67,1700,-0.037737664645915804,0.49122807017543857,,,, ,,,
6,කෙළවල්ලා,Yellowfin tuna,2370,2660,2576,-0.031578947368421054,0.08691983122362869,,, , , ,, 
7,සාලයා (මට්ට),Sardinella,650,580,585,0.008620689655172414,-0.1,,, , ,, ,
8,මෝරා,Shark,1740,2150,2090,-0.027906976744186046,0.20114942528735633,,,,,,,
9,හුරුල්ලා,Herrings,1026.67,984,904,-0.08130081300813008,-0.11948337830071987,, ,,,,,
10,කුම්බලා,Indian mackerel,1006.67,810,,,,,,,,,, 
11,කාරල්ලා,Pony fish,,,,,,,, ,, ,,
12,කටුවල්ලා,Katuwalla,,,590,,,, ,,,,,
13,හාල්මැස්සා,Anchovies,610,,,,,,,, , ,,
14,ඉස්සා (M),Prawns (M),1966.67,1996,2148,0.07615230460921844,0.09220153864145988,, , ,,,,
15, කොප්පරා,Marlins,3390,3200,3530,0.103125,0.04129793510324484,,,,,, ,
16,අලගොඩුවා,Frigate tuna,970,1080,1130,0.046296296296296294,0.16494845360824742,,, , ,,,
17,ඇටවල්ලා,Kawakawa,953.33,1173.33,1195,0.018468802468188893,0.2535008863667355,,, , ,,,
18,ඇටිස්සා,Red Bream(L),1795,1980,1950,-0.015151515151515152,0.08635097493036212,,,,, ,,
19,බෝල්ලා,Big eye scade,940,906.67,913.33,0.007345561229554393,-0.028372340425531873,,,,, ,,
20,ගින්නටි පරව්,Ginnati paraw,985,1340,1340,0,0.3604060913705584,,, ,,, ,
21,හබරලි,Needle fish,1020,1066.67,1040,-0.025003046865478613,-0.10457843137254898,,, ,,,,
22,හැඩැල්ලා,Indian Anchovy,1745,,1700,,-0.025787965616045846,,                                                                                                                                                                                                                                                                                                                                     ,,,,,
23,ජීලාවා,Barracuda(L),1840,2380,2490,0.046218487394957986,0.3532608695652174,,,,,,,
24,ලින්නා,Indian Scade,796,910,925,0.016483516483516484,0.1620603015075377,,, ,,,,
25,ලේන පරව්,Rainbow runner,893.33,925,908,-0.018378378378378378,0.01642170306605617,,,,,,,
26,සුද්දා,Threadfin bream,980,1015,953.33,-0.06075862068965513,-0.027214285714285674,,,,,,,
27,සූඩයා,White Sardinella,400,350,335,-0.04285714285714286,-0.1625,,,,, ,,
28,දැල්ලා,Cuttle fish,2150,2250,2300,0.022222222222222223,0.06976744186046512,,,,,,,
29,කකුළුවා,Sea Crabs(L),2540,3075,3090,0.004878048780487805,0.21653543307086615,,,,,,,
30,තිලාපියා,Thilapia (M),990,1080,980,-0.09259259259259259,-0.010101010101010102,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,, ,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,
,,,,,,, , ,,,, ,,
