Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Variety,,,2022,2023,2023,Average of 2nd week of September,,,,,
Sinhala Name,,Common Name,Average of 2nd week of September,Average of 1st week of September,Average of 2nd week of September,Last week ,Last Year,,,,
1,තෝරා,Seer,3912.4,3540,3890,0.09887005649717515,-0.005725385952356633,,,,
2,පරව් (ලොකු),Trevally (L),2892,2895,2696,-0.06873920552677029,-0.0677731673582296,,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2633.33,2090,2240,0.07177033492822966,-0.1493660118557112,,,,
4,තලපත්,Sail fish,3275,3180,3146.67,-0.010481132075471675,-0.03918473282442746,,,,
5,බලයා,Skipjack tuna,1760,1490,1490,0,-0.1534090909090909,,,,
6,කෙළවල්ලා,Yellowfin tuna,2910,2695,2730,0.012987012987012988,-0.061855670103092786,,,,
7,සාලයා (මට්ට),Sardinella,1080,827,865,0.045949214026602174,-0.19907407407407407,,,,
8,මෝරා,Shark,2160,1900,1920,0.010526315789473684,-0.1111111111111111,,,,
9,හුරුල්ලා,Herrings,1272.5,1016,920,-0.09448818897637795,-0.2770137524557957,,,,
10,කුම්බලා,Indian mackerel,1465,1287,1307,0.01554001554001554,-0.10784982935153584,,,,
11,කාරල්ලා,Pony fish,920,680,,,,,,,
12,කටුවල්ලා,Katuwalla,,,,,,,,,
13,හාල්මැස්සා,Anchovies,,833,880,0.056422569027611044,,,,,
14,ඉස්සා (M),Prawns (M),2183.33,1893,1862,-0.016376122556788168,-0.14717427049506943,,,,
15, කොප්පරා,Marlins,3823,3980,3980,0,0.04106722469264975,,,,
16,අලගොඩුවා,Frigate tuna,1400,967,980,0.01344364012409514,-0.3,,,,
17,ඇටවල්ලා,Kawakawa,1480,1053,1080,0.02564102564102564,-0.2702702702702703,,,,
18,ඇටිස්සා,Red Bream(L),,2130,2300,0.07981220657276995,,,,,
19,බෝල්ලා,Big eye scade,1490,1110,1020,-0.08108108108108109,-0.31543624161073824,,,,
20,ගින්නටි පරව්,Ginnati paraw,,1747,1797,0.028620492272467088,,,,,
21,හබරලි,Needle fish,,,1480,,,,,,
