Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Variety,,,2022,2023,2023,"% Change 1st week of September 2023, compared to:",,,,,,,
Sinhala Name,,Common Name,Average of 1st week of September,Average of 4th week of August,Average of 1st week of September,Last week ,Last Year,,,,,,
1,තෝරා,Seer,4240,3553,3540,-0.003658879819870532,-0.1650943396226415,,,,,,
2,පරව් (ලොකු),Trevally (L),2912,2496,2895,0.15985576923076922,-0.005837912087912088,,,,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2715,2210,2090,-0.05429864253393665,-0.2302025782688766,, ,,,,
4,තලපත්,Sail fish,3190,2912,3180,0.09203296703296704,-0.003134796238244514,,,,,,
5,බලයා,Skipjack tuna,1766.67,1420,1490,0.04929577464788732,-0.15660536489553797,,,,,,
6,කෙළවල්ලා,Yellowfin tuna,2854,2630,2695,0.024714828897338403,-0.055711282410651715,,,,,,
7,සාලයා (මට්ට),Sardinella,890,705,827,0.17304964539007092,-0.07078651685393259,,,,,,
8,මෝරා,Shark,2013.33,1947,1900,-0.024139702105803802,-0.05628982829441767,,,,,,
9,හුරුල්ලා,Herrings,1236,990,1016,0.026262626262626262,-0.1779935275080906,,,,,,
10,කුම්බලා,Indian mackerel,1404,1240,1287,0.03790322580645161,-0.08333333333333333,,,,,,
11,කාරල්ලා,Pony fish,820,700,680,-0.02857142857142857,-0.17073170731707318,,,,,,
12,කටුවල්ලා,Katuwalla,,,,,,,,,,,
13,හාල්මැස්සා,Anchovies,1020,860,833,-0.031395348837209305,-0.18333333333333332,,,,,,
14,ඉස්සා (M),Prawns (M),2083.33,1853,1893,0.021586616297895305,-0.09135854617367385,,,,,,
15, කොප්පරා,Marlins,3827.5,3910,3980,0.017902813299232736,0.039843239712606136,,,,,,
16,අලගොඩුවා,Frigate tuna,1320,880,967,0.09886363636363636,-0.2674242424242424,,,,,,
17,ඇටවල්ලා,Kawakawa,1340,920,1053,0.14456521739130435,-0.21417910447761193,,,,,,
18,ඇටිස්සා,Red Bream(L),2000,2160,2130,-0.013888888888888888,0.065,,,,,,
19,බෝල්ලා,Big eye scade,1325,1155,1110,-0.03896103896103896,-0.16226415094339622,,,,,,
20,ගින්නටි පරව්,Ginnati paraw,,1920,1747,-0.09010416666666667,,,,,,,
21,හබරලි,Needle fish,,1335,,,,,,,,,
22,හැඩැල්ලා,Indian Anchovy,1837.5,1344.44,1270,-0.055368778078605255,-0.308843537414966,,,,,,
