--- 01-Wholesale.csv ---

Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Variety,,,2023,2024,,% Change   compared to:2nd week of Sep. 2024,, , ,, , ,,,,
Sinhala Name,,Common Name,2nd  week of Sep.,1st  week of Sep.,2nd  week of Sep.,Last week ,Last Year,, , , , ,,,,
1,තෝරා,Seer (L),2121.43,1921.43,1842.86,-0.04089141941158417,-0.13131236948661987,, , ,,,, , ,
2,පරව් (ලොකු),Trevally (L),1325,1120,1171.43,0.045919642857142916,-0.11590188679245278,  , , , , ,, ,,
3,ගල්මාළු (ලොකු),Rock fish (L),1625,1083.33,1233.33,0.13846196449835232,-0.24102769230769236, , , , ,,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),1166.67,880,957.14,0.0876590909090909,-0.17959662972391513,, , , , , ,,,
5,තලපත්,Sail fish,1966.67,1950,1907.14,-0.02197948717948713,-0.030269440221287747,,,,, ,,,,
6,බලයා,Skipjack tuna,928.57,821.43,764.29,-0.06956161815370755,-0.17691719525722355, ,, ,, , ,,,
7,කෙළවල්ලා,Yellowfin tuna,1316.67,1300,1478.52,0.1373230769230769,0.12292373943357097, ,,,,,,,,
8,සාලයා (මට්ට),Sardinella,535.71,303.57,314.29,0.035313107355799414,-0.4133206398984525,,,,,,,,,
9,මෝරා,Sharks,1200,1025,1020,-0.004878048780487805,-0.15,,, ,, , ,,,
10,හුරුල්ලා,Herrings,571.43,621.43,710.71,0.14366863524451684,0.24373939065152356,,,,,,,,,
11,කුම්බලා,Indian Mackerel,1100,778.57,741.67,-0.04739458237538062,-0.3257545454545455,,,,,,,,,
12,කාරල්ලා,Pony fish,400,283.33,329.17,0.16179013870751432,-0.17707499999999995,,,,,,,,,
13,කටුවල්ලා,Katuwalla,650,475,600,0.2631578947368421,-0.07692307692307693,,, ,,,,,,
14,හාල්මැස්සා,Anchovy,470,587.5,600,0.02127659574468085,0.2765957446808511,,, ,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1433.33,1585.71,1535.71,-0.031531616752117346,0.07142807308854214,,,,,,,,,
16, කොප්පරා,Marlins,2300,2225,2185.71,-0.017658426966292117,-0.04969130434782607,, ,,,,,,,
17,අලගොඩුවා,Frigate tuna(L),806.25,540,640,0.18518518518518517,-0.2062015503875969,,,,,,,,,
18,ඇටවල්ලා,Kawakawa,933.33,716.67,789.29,0.1013297612569244,-0.15432912260400938,,, ,,,,,,
19,ඇටිස්සා,Red Bream(L),1620,1342.86,1385.71,0.031909506575518026,-0.14462345679012342,,,,,,,,,
20,බෝල්ලා,Big eye scade,766.67,666.67,785,0.17749411252943742,0.023908591701775263,,,, ,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,1278.57,1020,1216.67,0.19281372549019615,-0.04841346191448248,, ,,, ,,,,
22,හබරලි,Needle fish,1121.43,871.43,971.43,0.11475391023949141,-0.13375779139134863,,, ,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1050,1166.67,1285.71,0.102033994188588,0.22448571428571432,, , , , ,,,,
24,ජීලාවා,Barracuda(L),1500,1280,1350,0.0546875,-0.1,,, ,,,,,,
25,ලින්නා,Indian Scad(L),735.71,439.29,536.43,0.22112954995561002,-0.27086759728697457,,, ,,,,,,
26,ලින්නා,Indian Scad(S),490,341.67,405,0.1853542892264465,-0.17346938775510204,,,,,,,,,
27,ලේන පරව්,Rainbow Runner,782.14,537.5,600,0.11627906976744186,-0.2328739100416805,,, ,,, ,,,
28,සුද්දා,Threadfin  Bream,1028.57,660.71,835.71,0.26486658291837567,-0.18750303819866407,,, ,,,,,, 
29,සූඩයා,White Sardinella,408.33,219.29,208.5,-0.04920425007980297,-0.4893835868047902, ,,,,, , ,,
30,දැල්ලා,Squids /Cuttle fish,1740,1557.14,1607.14,0.0321101506608269,-0.07635632183908041,,,,,,,,,
31,කකුළුවා(L),Sea Crabs(L),2250,2275,2228.57,-0.020408791208791136,-0.009524444444444372,,,, ,,,,,
32,තිලාපියා,Tilapia (M),400,,366.67,,-0.08332499999999995,,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,,,,

--- 02-Retail.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Variety,,,2023,2024,,Compared to Average of 2nd week of  Sep. 2024,, ,,,,,,,
Sinhala Name,,Common Name,Average of 2nd week of  Sep.,Average of 1stweek of  Sep.,Average of 2nd week of  Sep.,Last week ,Last Year,, ,, ,,,,
1,තෝරා,Seer,3890,3693.33,3690,-0.0009016253624777443,-0.05141388174807198,, ,, ,, ,,
2,පරව් (ලොකු),Trevally (L),2696,2340,2390,0.021367521367521368,-0.11350148367952523, , , ,, ,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2240,2240,2280,0.017857142857142856,0.017857142857142856,, ,,,,,,
4,තලපත්,Sail fish,3146.67,3072,2946.67,-0.04079752604166664,-0.06355925470417934,,, ,,,,,
5,බලයා,Skipjack tuna,1490,1406.66,1413.33,0.004741728633784884,-0.051456375838926226,,, ,,,,,
6,කෙළවල්ලා,Yellowfin tuna,2730,2496.66,2716,0.08785337210513253,-0.005128205128205128,,, , ,,,, 
7,සාලයා (මට්ට),Sardinella,865,552,560,0.014492753623188406,-0.35260115606936415,,,, ,,, ,
8,මෝරා,Shark,1920,1750,1790,0.022857142857142857,-0.06770833333333333,,,,,,,,
9,හුරුල්ලා,Herrings,920,985,1050,0.06598984771573604,0.14130434782608695,,,,,,,,
10,කුම්බලා,Indian mackerel,1307,933.33,860,-0.07856813774334913,-0.34200459066564654,,,,,,,,
11,කාරල්ලා,Pony fish,,466.66,,,,,,,,,,,
12,කටුවල්ලා,Katuwalla,,,,, ,,,,,,,,
13,හාල්මැස්සා,Anchovies,880,880,890,,,,,,,,,,
14,ඉස්සා (M),Prawns (M),1862,2093.33,1968,-0.059871114444449716,0.05692803437164339,,,,,,,,
15, කොප්පරා,Marlins,3980,3580,3540,-0.0111731843575419,-0.11055276381909548,,,,,,,,
16,අලගොඩුවා,Frigate tuna,980,880,960,0.09090909090909091,-0.02040816326530612,,,,,,,,
17,ඇටවල්ලා,Kawakawa,1080,930,1020,0.0967741935483871,-0.05555555555555555,,,,,,,,
18,ඇටිස්සා,Red Bream(L),2300,1906.66,1940,0.01748607512613676,-0.1565217391304348,,, ,,,,,
19,බෝල්ලා,Big eye scade,1020,970,1130,0.16494845360824742,0.10784313725490197,,,,,,,,
20,ගින්නටි පරව්,Ginnati paraw,1797,,1100,,-0.38786867000556485,,,, ,,, ,
21,හබරලි,Needle fish,1480,1225,1320,0.07755102040816327,-0.10810810810810811,,, ,,,,,
22,හැඩැල්ලා,Indian Anchovy,1280,1510,1605,0.06291390728476821,0.25390625,,,,,,,,
23,ජීලාවා,Barracuda,2690,2480,2510,0.012096774193548387,-0.06691449814126393,,,,,,,,
24,ලින්නා,Indian Scade,1004,678,726.67,0.07178466076696159,-0.2762250996015937,,,,,,,,
25,ලේන පරව්,Rainbow runner,1155,895,926.67,0.03538547486033515,-0.19768831168831172,,,,,,,,
26,සුද්දා,Threadfin bream,1453,993.33,1004,0.010741646784049569,-0.30901582931865107,,,,,,,,
27,සූඩයා,White Sardinella,620,365,360,-0.0136986301369863,-0.41935483870967744,,,,,,,,
28,දැල්ලා,Cuttle fish,1867,2010,2035,0.012437810945273632,0.08998393144081414,,,,,,,,
29,කකුළුවා,Sea Crabs(L),2920,2753.33,2740,-0.004841410219624937,-0.06164383561643835,,,,,,,,
30,තිලාපියා,Thilapia (M),1100,980,980,0,-0.10909090909090909,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,,, ,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
