"","Table 7.5: Monthly Average Retail Prices of Fish at Colombo Suburb Markets - 2018","","","","","","","","","","","","",""
"","2017","","","","","","2018","","","","","","","2018"
"Item","Annual","","","","","","","","","","","","","Annual"
"","","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec",""
"","Average","","","","","","","","","","","","","Average"
"Salaya","220.00","238.50","237.75","200.00","203.43","213.00","287.50","296.50","317.50","291.67","234.58","224.38","237.17","249.00"
"Hurulla","409.00","408.75","427.00","396.25","448.25","369.75","565.25","558.00","466.25","372.25","283.96","358.83","367.37","418.00"
"Balaya","560.00","617.00","618.25","545.83","568.33","646.50","685.00","679.25","550.25","527.29","579.18","740.00","588.54","612.00"
"Kelawalla","918.00","965.75","896.25","925.75","984.00","941.25","996.00","959.50","1025.75","1021.54","900.18","902.79","896.79","951.00"
"Thora","1,415.00","1472.50","1443.25","1444.00","1481.50","1456.50","1764.50","1723.75","1726.00","1475.75","1311.42","1484.75","1780.21","1,547.00"
"Paraw","958.00","1123.00","1016.00","913.00","984.00","929.00","1048.00","1066.25","1098.00","962.56","918.20","982.17","991.75","1,003.00"
"Mora","724.00","778.25","762.00","679.50","733.68","808.00","890.75","800.75","810.83","718.33","673.90","696.46","727.29","757.00"
"Thalapath","1,004.00","1108.25","1076.75","1032.50","1113.50","989.00","1098.00","1134.50","1100.50","1117.17","1112.25","1120.42","1118.25","1,093.00"
"Kumbala","456.00","449.75","453.75","473.50","469.63","581.00","654.00","648.25","602.25","514.75","401.73","389.00","485.38","510.00"
"Mullet","662.00","656.75","672.50","630.00","667.50","692.50","762.50","740.00","781.75","668.13","650.00","780.83","685.00","699.00"
"Prawns","1,152.00","1185.00","1111.00","957.75","976.33","1092.00","1253.50","1308.25","1245.00","984.33","967.54","1032.31","979.38","1,091.00"
"Tilapiya(M)","-","-","-","-","-","325.00","440.00","-","-","-","-","-","-","383.00"
"Source  : Statistics Unit of the Ministry of Fisheries","","","","","","","","","","","","","",""
